input,role,used_as_computed_input
C:\VS\Stam_model-A-v1.0\tests\native_prediction_artifacts\g688c_z_a_effective_light_speed_rows.csv,source_data_rows_for_overlap_only,True
CR015_declared_premises.json,declared_formula_controls,True
CR015_PRECOMMIT.md,sealed_pre_run_prediction,False
CR015_runner.py,calculation_script,True
