cr_id,filename,expected_sha256,actual_sha256,match
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_contact_analysis.csv,811dc8facecf0c15990fd4b57975d89da0bc2f25ef85a45520461f037650ce64,811dc8facecf0c15990fd4b57975d89da0bc2f25ef85a45520461f037650ce64,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_contact_plot.png,f80c7233b549e7f75da673da3f652a2c00d75c98ce196739feb8fd0257515abd,f80c7233b549e7f75da673da3f652a2c00d75c98ce196739feb8fd0257515abd,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_declared_premises.json,e8636eab5ab4ee1a96d300a4d6adee453ccb040ff06bf0bf41410906a4840ef2,e8636eab5ab4ee1a96d300a4d6adee453ccb040ff06bf0bf41410906a4840ef2,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_photonic_empirical_table.csv,8cfa803ada598c915569e4ed013a1d3e34b264b57344aeb9313ac67a3b4150e8,8cfa803ada598c915569e4ed013a1d3e34b264b57344aeb9313ac67a3b4150e8,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_PRECOMMIT.md,5e7d59901279f067c2666b677472e72b733e4f201ac4a7dfea8f5bae9112d3ee,5e7d59901279f067c2666b677472e72b733e4f201ac4a7dfea8f5bae9112d3ee,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_result.md,7652f9546147c26acdc05922e26c70b90de57dd373bc18011574d926386e6939,7652f9546147c26acdc05922e26c70b90de57dd373bc18011574d926386e6939,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_runner.py,e6be0cd529249a3a82a073dfeb9a09369ff603a2efc1f7f21a614a20fba0dcc1,e6be0cd529249a3a82a073dfeb9a09369ff603a2efc1f7f21a614a20fba0dcc1,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,CR072a_summary.json,5a9a9faba57316c305e1d30b4e5d5588dc8d5eb2a4001e2417cd8c991cca910d,5a9a9faba57316c305e1d30b4e5d5588dc8d5eb2a4001e2417cd8c991cca910d,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,README.md,50e4166959c0d6f328e03c51e263210066f742d82505833fa9b8935223592ed1,50e4166959c0d6f328e03c51e263210066f742d82505833fa9b8935223592ed1,True
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE,requirements.txt,d6317ec6b066d60cce0dfd93bf5cb28d9e49674267e93604d6eeb8ba200b3214,d6317ec6b066d60cce0dfd93bf5cb28d9e49674267e93604d6eeb8ba200b3214,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_declared_premises.json,d1b9e5526c6f2697871ca8cd1d77565f08818f4282fda7f325de67d362925f6c,d1b9e5526c6f2697871ca8cd1d77565f08818f4282fda7f325de67d362925f6c,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_PRECOMMIT.md,af4b417a541250e03c2ae8287664f5a9117ccf0494781e3eb800cb2f94b27508,af4b417a541250e03c2ae8287664f5a9117ccf0494781e3eb800cb2f94b27508,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_residual_distribution.csv,01779c0bae0807624435a7f2e9c647407dc7ffb30368a470a308ac40e06ede5b,01779c0bae0807624435a7f2e9c647407dc7ffb30368a470a308ac40e06ede5b,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_residual_plot.png,d654ce0c736b0f7b9393da3d3d48fd107279579431dd33ba8bde71cdcb970ca2,d654ce0c736b0f7b9393da3d3d48fd107279579431dd33ba8bde71cdcb970ca2,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_result.md,d09371c64f1d18a8723e4e9e6e8638903029a098b8761c74f56b4eacb39f8d37,d09371c64f1d18a8723e4e9e6e8638903029a098b8761c74f56b4eacb39f8d37,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_runner.py,1438fcb9185968656fbcfe45483db9a44cfae676e7aa07349aede362cc32ca1e,1438fcb9185968656fbcfe45483db9a44cfae676e7aa07349aede362cc32ca1e,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_summary.json,c08a55afc5580206dae100b099d6280c9b5d24c7e95927faace5a3ba9d393420,c08a55afc5580206dae100b099d6280c9b5d24c7e95927faace5a3ba9d393420,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,CR073a_t_fire_per_row.csv,74a23e11f878f9428e320a7f6e46c74f70ea4d42d32d6369cbf576ed61132df1,74a23e11f878f9428e320a7f6e46c74f70ea4d42d32d6369cbf576ed61132df1,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,README.md,0c49dfdca02aa36e5a3f1012457558cd92c435928d2f5e0368e021e28c099b26,0c49dfdca02aa36e5a3f1012457558cd92c435928d2f5e0368e021e28c099b26,True
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST,requirements.txt,7ef957666f82e0d2e0775dbe945f0fe4a9bdaafbd5e29d4b1b8b6638f1c55483,7ef957666f82e0d2e0775dbe945f0fe4a9bdaafbd5e29d4b1b8b6638f1c55483,True
