arcname,role,cr_id,sha256,bytes
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE/HASHES.txt,CR_artifact,CR072a,f2a991a43f2a7fc1d73d57ab01b8c5a2174d0592981bce085a70487852f83e84,889
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE/README.md,CR_artifact,CR072a,50e4166959c0d6f328e03c51e263210066f742d82505833fa9b8935223592ed1,1748
CR072a_PHOTONIC_EMPIRICAL_CONTACT_TABLE/requirements.txt,CR_artifact,CR072a,d6317ec6b066d60cce0dfd93bf5cb28d9e49674267e93604d6eeb8ba200b3214,129
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_declared_premises.json,CR_artifact,CR073a,d1b9e5526c6f2697871ca8cd1d77565f08818f4282fda7f325de67d362925f6c,4939
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_PRECOMMIT.md,CR_artifact,CR073a,af4b417a541250e03c2ae8287664f5a9117ccf0494781e3eb800cb2f94b27508,12299
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_residual_distribution.csv,CR_artifact,CR073a,01779c0bae0807624435a7f2e9c647407dc7ffb30368a470a308ac40e06ede5b,357
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_residual_plot.png,CR_artifact,CR073a,d654ce0c736b0f7b9393da3d3d48fd107279579431dd33ba8bde71cdcb970ca2,107984
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_result.md,CR_artifact,CR073a,d09371c64f1d18a8723e4e9e6e8638903029a098b8761c74f56b4eacb39f8d37,5488
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_runner.py,CR_artifact,CR073a,1438fcb9185968656fbcfe45483db9a44cfae676e7aa07349aede362cc32ca1e,34775
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_summary.json,CR_artifact,CR073a,c08a55afc5580206dae100b099d6280c9b5d24c7e95927faace5a3ba9d393420,8662
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/CR073a_t_fire_per_row.csv,CR_artifact,CR073a,74a23e11f878f9428e320a7f6e46c74f70ea4d42d32d6369cbf576ed61132df1,4620
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/HASHES.txt,CR_artifact,CR073a,28e905caca9accae127481a27aeb5ac45b191e5a6c4bf3f69be7a95f87ffcce4,885
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/README.md,CR_artifact,CR073a,0c49dfdca02aa36e5a3f1012457558cd92c435928d2f5e0368e021e28c099b26,2622
CR073a_CROSS_PLATFORM_PR_LETTER_SCALING_TEST/requirements.txt,CR_artifact,CR073a,7ef957666f82e0d2e0775dbe945f0fe4a9bdaafbd5e29d4b1b8b6638f1c55483,134
requirements.txt,pack_level,CR074a,b886dd4096568020c6d59e1660ab75e27be619162702e3a33dd4e7f63969bc6c,285
.python-version,pack_level,CR074a,16c863195943df357aff24d69eb6f1f022b5e5a0ca2bcd74df2d8494d54b6e23,9
seeds.json,pack_level,CR074a,2828f43f66b818d1b4075ace67b8bb3857a8eaf25b26d7776be81d854da42e38,365
CAMPAIGN_RERUN.md,pack_level,CR074a,74e5c24e3e0739f1a8c815973a3a59dba5d9e861f276031b1f9fb46ee523e375,3866
STEWARDSHIP.md,stewardship_verbatim,REPO_ROOT,e3da16f1a2de85311c2084312ed828c725097292fd43173df0d242896c9da832,1017
CAMPAIGN_PAUL_REVERE_FIELD_COMPARISON.md,campaign_scope,12a_BRANCH,a99c522e8b53f21fed1f124748685c63915015a983b1645eb47ef1432e269637,24015
