candidate_id,presence,change_class,attribution,max_rel_delta,deltas
QP093A-0152,in_both,unchanged,,0,
QP093A-0153,in_both,unchanged,,0,
QP093A-0154,in_both,unchanged,,0,
QP093A-0155,in_both,unchanged,,0,
QP093A-0156,in_both,unchanged,,0,
QP093A-0157,in_both,unchanged,,0,
QP093A-0158,in_both,unchanged,,0,
QP093A-0159,in_both,unchanged,,0,
QP093A-0160,in_both,unchanged,,0,
QP093A-0161,in_both,unchanged,,0,
QP093A-0162,in_both,unchanged,,0,
QP093A-0163,in_both,unchanged,,0,
QP093A-0164,in_both,unchanged,,0,
QP093A-0165,in_both,unchanged,,0,
QP093A-0166,in_both,unchanged,,0,
QP093A-0167,in_both,unchanged,,0,
QP093A-0168,in_both,unchanged,,0,
QP093A-0169,in_both,unchanged,,0,
QP093A-0170,in_both,unchanged,,0,
QP093A-0171,in_both,unchanged,,0,
QP093A-0172,in_both,unchanged,,0,
QP093A-0173,in_both,unchanged,,0,
QP093A-0174,in_both,unchanged,,0,
QP093A-0175,in_both,unchanged,,0,
QP093A-0176,in_both,unchanged,,0,
QP093A-0177,in_both,unchanged,,0,
QP093A-0178,in_both,unchanged,,0,
QP093A-0179,in_both,unchanged,,0,
QP093A-0180,in_both,unchanged,,0,
QP093A-0181,in_both,unchanged,,0,
QP093A-0182,in_both,unchanged,,0,
QP093A-0183,in_both,unchanged,,0,
QP093A-0184,in_both,unchanged,,0,
QP093A-0185,in_both,unchanged,,0,
QP093A-0186,in_both,unchanged,,0,
QP093A-0187,in_both,unchanged,,0,
QP093A-0188,in_both,unchanged,,0,
QP093A-0189,in_both,unchanged,,0,
QP093A-0190,in_both,unchanged,,0,
QP093A-0191,in_both,unchanged,,0,
QP093A-0192,in_both,unchanged,,0,
QP093A-0193,in_both,unchanged,,0,
QP093A-0194,in_both,unchanged,,0,
QP093A-0195,in_both,unchanged,,0,
QP093A-0196,in_both,unchanged,,0,
QP093A-0197,in_both,unchanged,,0,
QP093A-0198,in_both,unchanged,,0,
QP093A-0199,in_both,unchanged,,0,
QP093A-0200,in_both,unchanged,,0,
QP093A-0201,in_both,unchanged,,0,
QP093A-0202,in_both,unchanged,,0,
QP093A-0203,in_both,unchanged,,0,
QP093A-0204,in_both,unchanged,,0,
QP093A-0205,in_both,unchanged,,0,
QP093A-0206,in_both,unchanged,,0,
QP093A-0207,in_both,unchanged,,0,
QP093A-0208,in_both,unchanged,,0,
QP093A-0209,in_both,unchanged,,0,
QP093A-0210,in_both,unchanged,,0,
QP093A-0211,in_both,unchanged,,0,
QP093A-0212,in_both,unchanged,,0,
QP093A-0213,in_both,unchanged,,0,
QP093A-0214,in_both,unchanged,,0,
QP093A-0215,in_both,unchanged,,0,
QP093A-0216,in_both,unchanged,,0,
QP093A-0217,in_both,unchanged,,0,
QP093A-0218,in_both,unchanged,,0,
QP093A-0219,in_both,unchanged,,0,
QP093A-0220,in_both,unchanged,,0,
QP093A-0221,in_both,unchanged,,0,
QP093A-0222,in_both,unchanged,,0,
QP093A-0223,in_both,unchanged,,0,
QP093A-0224,in_both,unchanged,,0,
QP093A-0225,in_both,unchanged,,0,
QP093A-0226,in_both,unchanged,,0,
QP093A-0227,in_both,unchanged,,0,
QP093A-0228,in_both,unchanged,,0,
QP093A-0229,in_both,unchanged,,0,
QP093A-0230,in_both,unchanged,,0,
QP093A-0231,in_both,unchanged,,0,
QP093A-0232,in_both,unchanged,,0,
QP093A-0233,in_both,unchanged,,0,
QP093A-0234,in_both,unchanged,,0,
QP093A-0235,in_both,unchanged,,0,
QP093A-0236,in_both,unchanged,,0,
QP093A-0237,in_both,unchanged,,0,
QP093A-0238,in_both,unchanged,,0,
QP093A-0239,in_both,unchanged,,0,
QP093A-0240,in_both,unchanged,,0,
QP093A-0241,in_both,unchanged,,0,
QP093A-0242,in_both,unchanged,,0,
QP093A-0243,in_both,unchanged,,0,
QP093A-0244,in_both,unchanged,,0,
QP093A-0245,in_both,unchanged,,0,
QP093A-0246,in_both,unchanged,,0,
QP093A-0247,in_both,unchanged,,0,
QP093A-0248,in_both,unchanged,,0,
QP093A-0249,in_both,unchanged,,0,
QP093A-0250,in_both,unchanged,,0,
QP093A-0251,in_both,unchanged,,0,
QP093A-0252,in_both,unchanged,,0,
QP093A-0253,in_both,unchanged,,0,
QP093A-0254,in_both,unchanged,,0,
QP093A-0255,in_both,unchanged,,0,
QP093A-0256,in_both,unchanged,,0,
QP093A-0257,in_both,unchanged,,0,
QP093A-0258,in_both,unchanged,,0,
QP093A-0259,in_both,unchanged,,0,
QP093A-0260,in_both,unchanged,,0,
QP093A-0261,in_both,unchanged,,0,
QP093A-0262,in_both,unchanged,,0,
QP093A-0263,in_both,unchanged,,0,
QP093A-0264,in_both,unchanged,,0,
QP093A-0265,in_both,unchanged,,0,
QP093A-0266,in_both,unchanged,,0,
QP093A-0267,in_both,unchanged,,0,
QP093A-0268,in_both,unchanged,,0,
QP093A-0269,in_both,unchanged,,0,
QP093A-0270,in_both,unchanged,,0,
QP093A-0271,in_both,unchanged,,0,
QP093A-0272,in_both,unchanged,,0,
QP093A-0273,in_both,unchanged,,0,
QP093A-0274,in_both,unchanged,,0,
QP093A-0275,in_both,unchanged,,0,
QP093A-0276,in_both,unchanged,,0,
QP093A-0277,in_both,unchanged,,0,
QP093A-0278,in_both,unchanged,,0,
QP093A-0279,in_both,unchanged,,0,
QP093A-0280,in_both,unchanged,,0,
QP093A-0281,in_both,unchanged,,0,
QP093A-0282,in_both,unchanged,,0,
QP093A-0283,in_both,unchanged,,0,
QP093A-0284,in_both,unchanged,,0,
QP093A-0285,in_both,unchanged,,0,
QP093A-0286,in_both,unchanged,,0,
QP093A-0287,in_both,unchanged,,0,
QP093A-0288,in_both,unchanged,,0,
QP093A-0289,in_both,unchanged,,0,
QP093A-0290,in_both,unchanged,,0,
QP093A-0291,in_both,unchanged,,0,
QP093A-0292,in_both,unchanged,,0,
QP093A-0293,in_both,unchanged,,0,
QP093A-0294,in_both,unchanged,,0,
QP093A-0295,in_both,unchanged,,0,
QP093A-0296,in_both,unchanged,,0,
QP093A-0297,in_both,unchanged,,0,
QP093A-0298,in_both,unchanged,,0,
QP093A-0299,in_both,unchanged,,0,
QP093A-0300,in_both,unchanged,,0,
QP093A-0301,in_both,unchanged,,0,
QP093A-0302,in_both,unchanged,,0,
QP093A-0303,in_both,unchanged,,0,
QP093A-0304,in_both,unchanged,,0,
QP093A-0305,in_both,unchanged,,0,
QP093A-0306,in_both,unchanged,,0,
QP093A-0307,in_both,unchanged,,0,
QP093A-0308,in_both,unchanged,,0,
QP093A-0309,in_both,unchanged,,0,
QP093A-0310,in_both,unchanged,,0,
QP093A-0311,in_both,unchanged,,0,
QP093A-0312,in_both,unchanged,,0,
QP093A-0313,in_both,unchanged,,0,
QP093A-0314,in_both,unchanged,,0,
QP093A-0315,in_both,unchanged,,0,
QP093A-0316,in_both,unchanged,,0,
QP093A-0317,in_both,unchanged,,0,
QP093A-0318,in_both,unchanged,,0,
QP093A-0319,in_both,unchanged,,0,
QP093A-0320,in_both,unchanged,,0,
QP093A-0321,in_both,unchanged,,0,
