pair_id,cell_id,triad_candidate_id,triad_signature,low_face_bits,high_face_bits,directed_gate_count,complementary,vertex_disjoint,edge_disjoint,physical_scale_status
CELL_QP093A-0125_PAIR_000_111,CELL_QP093A-0125,QP093A-0125,1+2+4,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0125_PAIR_001_110,CELL_QP093A-0125,QP093A-0125,1+2+4,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0125_PAIR_010_101,CELL_QP093A-0125,QP093A-0125,1+2+4,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0125_PAIR_011_100,CELL_QP093A-0125,QP093A-0125,1+2+4,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0126_PAIR_000_111,CELL_QP093A-0126,QP093A-0126,1+2+6,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0126_PAIR_001_110,CELL_QP093A-0126,QP093A-0126,1+2+6,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0126_PAIR_010_101,CELL_QP093A-0126,QP093A-0126,1+2+6,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0126_PAIR_011_100,CELL_QP093A-0126,QP093A-0126,1+2+6,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0127_PAIR_000_111,CELL_QP093A-0127,QP093A-0127,1+2+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0127_PAIR_001_110,CELL_QP093A-0127,QP093A-0127,1+2+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0127_PAIR_010_101,CELL_QP093A-0127,QP093A-0127,1+2+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0127_PAIR_011_100,CELL_QP093A-0127,QP093A-0127,1+2+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0128_PAIR_000_111,CELL_QP093A-0128,QP093A-0128,1+2+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0128_PAIR_001_110,CELL_QP093A-0128,QP093A-0128,1+2+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0128_PAIR_010_101,CELL_QP093A-0128,QP093A-0128,1+2+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0128_PAIR_011_100,CELL_QP093A-0128,QP093A-0128,1+2+9,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0129_PAIR_000_111,CELL_QP093A-0129,QP093A-0129,1+2+12,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0129_PAIR_001_110,CELL_QP093A-0129,QP093A-0129,1+2+12,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0129_PAIR_010_101,CELL_QP093A-0129,QP093A-0129,1+2+12,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0129_PAIR_011_100,CELL_QP093A-0129,QP093A-0129,1+2+12,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0130_PAIR_000_111,CELL_QP093A-0130,QP093A-0130,1+3+3,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0130_PAIR_001_110,CELL_QP093A-0130,QP093A-0130,1+3+3,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0130_PAIR_010_101,CELL_QP093A-0130,QP093A-0130,1+3+3,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0130_PAIR_011_100,CELL_QP093A-0130,QP093A-0130,1+3+3,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0131_PAIR_000_111,CELL_QP093A-0131,QP093A-0131,1+3+4,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0131_PAIR_001_110,CELL_QP093A-0131,QP093A-0131,1+3+4,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0131_PAIR_010_101,CELL_QP093A-0131,QP093A-0131,1+3+4,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0131_PAIR_011_100,CELL_QP093A-0131,QP093A-0131,1+3+4,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0132_PAIR_000_111,CELL_QP093A-0132,QP093A-0132,1+3+6,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0132_PAIR_001_110,CELL_QP093A-0132,QP093A-0132,1+3+6,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0132_PAIR_010_101,CELL_QP093A-0132,QP093A-0132,1+3+6,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0132_PAIR_011_100,CELL_QP093A-0132,QP093A-0132,1+3+6,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0133_PAIR_000_111,CELL_QP093A-0133,QP093A-0133,1+3+8,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0133_PAIR_001_110,CELL_QP093A-0133,QP093A-0133,1+3+8,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0133_PAIR_010_101,CELL_QP093A-0133,QP093A-0133,1+3+8,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0133_PAIR_011_100,CELL_QP093A-0133,QP093A-0133,1+3+8,011,100,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0134_PAIR_000_111,CELL_QP093A-0134,QP093A-0134,1+3+9,000,111,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0134_PAIR_001_110,CELL_QP093A-0134,QP093A-0134,1+3+9,001,110,2,true,true,true,OPEN_NO_UNIT_MAPPING
CELL_QP093A-0134_PAIR_010_101,CELL_QP093A-0134,QP093A-0134,1+3+9,010,101,2,true,true,true,OPEN_NO_UNIT_MAPPING
