gate_id,pair_id,cell_id,triad_candidate_id,triad_signature,source_matter_row_allowed,source_subbucket,entry_face_id,entry_state,entry_bits,exit_face_id,exit_state,exit_bits,entry_vertices,exit_vertices,entry_edges,exit_edges,complementary,vertex_disjoint,edge_disjoint,provenance_pass,physical_scale_status,material_status,species_score_status,acoustic_dependency,starbreaker_dependency
CELL_QP093A-0117_GATE_100_TO_011,CELL_QP093A-0117_PAIR_011_100,CELL_QP093A-0117,QP093A-0117,1+1+3,yes,TRIAD_ALLOWED,CELL_QP093A-0117_f_+--,+--,100,CELL_QP093A-0117_f_-++,-++,011,CELL_QP093A-0117_v_+x;CELL_QP093A-0117_v_-y;CELL_QP093A-0117_v_-z,CELL_QP093A-0117_v_+y;CELL_QP093A-0117_v_+z;CELL_QP093A-0117_v_-x,CELL_QP093A-0117_e_+x_-y;CELL_QP093A-0117_e_+x_-z;CELL_QP093A-0117_e_-y_-z,CELL_QP093A-0117_e_+y_+z;CELL_QP093A-0117_e_-x_+y;CELL_QP093A-0117_e_-x_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0117_GATE_101_TO_010,CELL_QP093A-0117_PAIR_010_101,CELL_QP093A-0117,QP093A-0117,1+1+3,yes,TRIAD_ALLOWED,CELL_QP093A-0117_f_+-+,+-+,101,CELL_QP093A-0117_f_-+-,-+-,010,CELL_QP093A-0117_v_+x;CELL_QP093A-0117_v_+z;CELL_QP093A-0117_v_-y,CELL_QP093A-0117_v_+y;CELL_QP093A-0117_v_-x;CELL_QP093A-0117_v_-z,CELL_QP093A-0117_e_+x_+z;CELL_QP093A-0117_e_+x_-y;CELL_QP093A-0117_e_-y_+z,CELL_QP093A-0117_e_+y_-z;CELL_QP093A-0117_e_-x_+y;CELL_QP093A-0117_e_-x_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0117_GATE_110_TO_001,CELL_QP093A-0117_PAIR_001_110,CELL_QP093A-0117,QP093A-0117,1+1+3,yes,TRIAD_ALLOWED,CELL_QP093A-0117_f_++-,++-,110,CELL_QP093A-0117_f_--+,--+,001,CELL_QP093A-0117_v_+x;CELL_QP093A-0117_v_+y;CELL_QP093A-0117_v_-z,CELL_QP093A-0117_v_+z;CELL_QP093A-0117_v_-x;CELL_QP093A-0117_v_-y,CELL_QP093A-0117_e_+x_+y;CELL_QP093A-0117_e_+x_-z;CELL_QP093A-0117_e_+y_-z,CELL_QP093A-0117_e_-x_+z;CELL_QP093A-0117_e_-x_-y;CELL_QP093A-0117_e_-y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0117_GATE_111_TO_000,CELL_QP093A-0117_PAIR_000_111,CELL_QP093A-0117,QP093A-0117,1+1+3,yes,TRIAD_ALLOWED,CELL_QP093A-0117_f_+++,+++,111,CELL_QP093A-0117_f_---,---,000,CELL_QP093A-0117_v_+x;CELL_QP093A-0117_v_+y;CELL_QP093A-0117_v_+z,CELL_QP093A-0117_v_-x;CELL_QP093A-0117_v_-y;CELL_QP093A-0117_v_-z,CELL_QP093A-0117_e_+x_+y;CELL_QP093A-0117_e_+x_+z;CELL_QP093A-0117_e_+y_+z,CELL_QP093A-0117_e_-x_-y;CELL_QP093A-0117_e_-x_-z;CELL_QP093A-0117_e_-y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0118_GATE_000_TO_111,CELL_QP093A-0118_PAIR_000_111,CELL_QP093A-0118,QP093A-0118,1+1+4,yes,TRIAD_ALLOWED,CELL_QP093A-0118_f_---,---,000,CELL_QP093A-0118_f_+++,+++,111,CELL_QP093A-0118_v_-x;CELL_QP093A-0118_v_-y;CELL_QP093A-0118_v_-z,CELL_QP093A-0118_v_+x;CELL_QP093A-0118_v_+y;CELL_QP093A-0118_v_+z,CELL_QP093A-0118_e_-x_-y;CELL_QP093A-0118_e_-x_-z;CELL_QP093A-0118_e_-y_-z,CELL_QP093A-0118_e_+x_+y;CELL_QP093A-0118_e_+x_+z;CELL_QP093A-0118_e_+y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0118_GATE_001_TO_110,CELL_QP093A-0118_PAIR_001_110,CELL_QP093A-0118,QP093A-0118,1+1+4,yes,TRIAD_ALLOWED,CELL_QP093A-0118_f_--+,--+,001,CELL_QP093A-0118_f_++-,++-,110,CELL_QP093A-0118_v_+z;CELL_QP093A-0118_v_-x;CELL_QP093A-0118_v_-y,CELL_QP093A-0118_v_+x;CELL_QP093A-0118_v_+y;CELL_QP093A-0118_v_-z,CELL_QP093A-0118_e_-x_+z;CELL_QP093A-0118_e_-x_-y;CELL_QP093A-0118_e_-y_+z,CELL_QP093A-0118_e_+x_+y;CELL_QP093A-0118_e_+x_-z;CELL_QP093A-0118_e_+y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0118_GATE_010_TO_101,CELL_QP093A-0118_PAIR_010_101,CELL_QP093A-0118,QP093A-0118,1+1+4,yes,TRIAD_ALLOWED,CELL_QP093A-0118_f_-+-,-+-,010,CELL_QP093A-0118_f_+-+,+-+,101,CELL_QP093A-0118_v_+y;CELL_QP093A-0118_v_-x;CELL_QP093A-0118_v_-z,CELL_QP093A-0118_v_+x;CELL_QP093A-0118_v_+z;CELL_QP093A-0118_v_-y,CELL_QP093A-0118_e_+y_-z;CELL_QP093A-0118_e_-x_+y;CELL_QP093A-0118_e_-x_-z,CELL_QP093A-0118_e_+x_+z;CELL_QP093A-0118_e_+x_-y;CELL_QP093A-0118_e_-y_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0118_GATE_011_TO_100,CELL_QP093A-0118_PAIR_011_100,CELL_QP093A-0118,QP093A-0118,1+1+4,yes,TRIAD_ALLOWED,CELL_QP093A-0118_f_-++,-++,011,CELL_QP093A-0118_f_+--,+--,100,CELL_QP093A-0118_v_+y;CELL_QP093A-0118_v_+z;CELL_QP093A-0118_v_-x,CELL_QP093A-0118_v_+x;CELL_QP093A-0118_v_-y;CELL_QP093A-0118_v_-z,CELL_QP093A-0118_e_+y_+z;CELL_QP093A-0118_e_-x_+y;CELL_QP093A-0118_e_-x_+z,CELL_QP093A-0118_e_+x_-y;CELL_QP093A-0118_e_+x_-z;CELL_QP093A-0118_e_-y_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0118_GATE_100_TO_011,CELL_QP093A-0118_PAIR_011_100,CELL_QP093A-0118,QP093A-0118,1+1+4,yes,TRIAD_ALLOWED,CELL_QP093A-0118_f_+--,+--,100,CELL_QP093A-0118_f_-++,-++,011,CELL_QP093A-0118_v_+x;CELL_QP093A-0118_v_-y;CELL_QP093A-0118_v_-z,CELL_QP093A-0118_v_+y;CELL_QP093A-0118_v_+z;CELL_QP093A-0118_v_-x,CELL_QP093A-0118_e_+x_-y;CELL_QP093A-0118_e_+x_-z;CELL_QP093A-0118_e_-y_-z,CELL_QP093A-0118_e_+y_+z;CELL_QP093A-0118_e_-x_+y;CELL_QP093A-0118_e_-x_+z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
CELL_QP093A-0118_GATE_101_TO_010,CELL_QP093A-0118_PAIR_010_101,CELL_QP093A-0118,QP093A-0118,1+1+4,yes,TRIAD_ALLOWED,CELL_QP093A-0118_f_+-+,+-+,101,CELL_QP093A-0118_f_-+-,-+-,010,CELL_QP093A-0118_v_+x;CELL_QP093A-0118_v_+z;CELL_QP093A-0118_v_-y,CELL_QP093A-0118_v_+y;CELL_QP093A-0118_v_-x;CELL_QP093A-0118_v_-z,CELL_QP093A-0118_e_+x_+z;CELL_QP093A-0118_e_+x_-y;CELL_QP093A-0118_e_-y_+z,CELL_QP093A-0118_e_+y_-z;CELL_QP093A-0118_e_-x_+y;CELL_QP093A-0118_e_-x_-z,true,true,true,true,OPEN_NO_UNIT_MAPPING,OPEN_CONVENTIONAL_ENGINEERING_INPUT,UNEMITTED_CR286_GATE,false,false
