candidate_id,p,M_native_observed,M_native_expected,distance,matches_surcharge_shape
QP093A-0306,1,1.006944444,1.0069444444444444444444444444444444444444444444444444444444444444444444444444444,4.444444444444444444444444444444444444444444444444444444444444444444444E-10,True
QP093A-0307,2,2.027777778,2.0277777777777777777777777777777777777777777777777777777777777777777777777777778,2.222222222222222222222222222222222222222222222222222222222222222222222E-10,True
QP093A-0308,3,3.0625,3.0625,0.0000,True
QP093A-0309,4,4.111111111,4.1111111111111111111111111111111111111111111111111111111111111111111111111111111,1.111111111111111111111111111111111111111111111111111111111111111111111E-10,True
QP093A-0310,6,6.25,6.25,0.00,True
QP093A-0311,8,8.444444444,8.4444444444444444444444444444444444444444444444444444444444444444444444444444444,4.444444444444444444444444444444444444444444444444444444444444444444444E-10,True
QP093A-0312,9,9.5625,9.5625,0.0000,True
QP093A-0313,12,13,13,0,True
