input,role,used_as_computed_input
CR017_declared_premises.json,declared_closure_packet,True
CR017_PRECOMMIT.md,sealed_pre_run_prediction,False
CR017_runner.py,calculation_script,True
CR012-CR016 local summary files,local_courtroom_dependencies,True
