dependency,summary_path,summary_exists,execution_status,scientific_verdict,verdict,is_local_cr_summary,passes,sha256
CR012,C:\VS\The_Courtroom\06_DISTANCE_ROAD_SN_BAO_SHARED_SHRINKAGE\CR012_NATIVE_TYPED_RULER_ROAD_BRIDGE_DERIVATION\CR012_summary.json,True,CLEAN,PASS,CR012_PASS_NATIVE_TYPED_RULER_ROAD_BRIDGE_DERIVATION,True,True,29abc83488c863d2eacf7ca2595cda4f63cd5ef969eed56fcd8631ae9523517d
CR013,C:\VS\The_Courtroom\06_DISTANCE_ROAD_SN_BAO_SHARED_SHRINKAGE\CR013_SN_LUMINOSITY_LEDGER_SHRINKAGE\CR013_summary.json,True,CLEAN,PASS,CR013_PASS_SN_LUMINOSITY_LEDGER_SHRINKAGE,True,True,bffd17d22a11fcb03b0c2dd8581550d60df91c052e59e7f8023bae7d300420cc
CR014,C:\VS\The_Courtroom\06_DISTANCE_ROAD_SN_BAO_SHARED_SHRINKAGE\CR014_BAO_RULER_PROJECTION_LEDGER_SHRINKAGE\CR014_summary.json,True,CLEAN,PASS,CR014_PASS_BAO_RULER_PROJECTION_LEDGER_SHRINKAGE,True,True,78fe728d2adf4780ccf13ec1b7cd5149889f00057f7150a63cbfe1594d17b8a2
CR015,C:\VS\The_Courtroom\06_DISTANCE_ROAD_SN_BAO_SHARED_SHRINKAGE\CR015_SN_BAO_INDEPENDENT_LEDGER_LOCK\CR015_summary.json,True,CLEAN,PASS,CR015_PASS_SN_BAO_INDEPENDENT_LEDGER_LOCK,True,True,584d3dad801b81bc62e84b22be6b45391c14fe238b0aa6b85b27bc85e3fb8217
CR016,C:\VS\The_Courtroom\06_DISTANCE_ROAD_SN_BAO_SHARED_SHRINKAGE\CR016_CMB_ACOUSTIC_RULER_PHOTON_ROAD_RATIO\CR016_summary.json,True,CLEAN,PASS,CR016_PASS_CMB_ACOUSTIC_RULER_PHOTON_ROAD_RATIO,True,True,4ec3d7baf0966db6daeec2da2c0a5b3393eff2165471a8941be03cb1935af5d6
