feature_type,feature_value,occurrence_count,escape_only_count,escape_only_fraction,reinforcer_count,reinforcement_fraction,canceller_count,neutral_count,median_delta_power_fraction,q10_delta_power_fraction,q90_delta_power_fraction,discovery_median_delta_power_fraction,validation_median_delta_power_fraction,final_median_delta_power_fraction,localized_median_delta_power_fraction,dispersed_median_delta_power_fraction,worst_door_median_delta_power_fraction,population_pass,door_stable,geometry_stable,candidate_status
dimension,1,17856,16345,0.9153785842293907,9392,0.5259856630824373,8464,0,0.00020751959123120557,-0.023410919566137993,0.029988050502995783,0.00020500880196108116,0.0002379244331054535,0.0001772318222258854,0.00026259442185821833,0.00014778166554984856,0.0001772318222258854,True,True,True,strong_candidate
dimension,2,17856,16610,0.9302195340501792,9197,0.5150649641577061,8659,0,0.0002294032215412479,-0.03483915058489223,0.041416846437523344,0.00022308314459546836,0.00043844717921201004,7.900714303602307e-05,0.0003516138583195208,-1.0137053421664544e-05,7.900714303602307e-05,True,True,False,directional_candidate
dimension,0,17856,16588,0.9289874551971327,9289,0.52021729390681,8567,0,3.950477288272502e-05,-0.014997250188238623,0.018837288527597314,3.86796468620079e-05,8.404814781735022e-05,1.702506159572072e-05,6.0631279421854737e-05,1.7305708951826652e-05,1.702506159572072e-05,True,True,True,strong_candidate
final_fate,ejecta_candidate,16058,12797,0.7969236517623615,8669,0.5398555237264915,7389,0,0.0010284550637298575,-0.048730081175707374,0.06554162002217664,0.0010448901887145227,0.0015869895367259794,0.0006184447595068395,0.0016576615824388755,0.00043993866832514237,0.0006184447595068395,True,True,True,strong_candidate
final_fate,fallback,18250,17749,0.9725479452054795,9411,0.5156712328767123,8839,0,0.00012312845239780077,-0.0185050384306408,0.019444022638066945,0.0001730420331938965,9.5867565180718e-05,6.510570339081423e-05,0.00015441752347143185,7.619526560083775e-05,6.510570339081423e-05,True,True,True,strong_candidate
final_fate,compact_remnant,19260,18997,0.9863447559709242,9798,0.5087227414330218,9462,0,1.5045126607359e-05,-0.015979139007965902,0.016775752193515632,-2.2204320708972773e-06,8.247357101732679e-05,1.856239176387268e-05,2.4024962006616917e-05,6.9216814006531e-06,-2.2204320708972773e-06,True,False,True,not_stable
route,11,4440,4139,0.9322072072072072,2326,0.5238738738738739,2114,0,0.0003934306308906409,-0.03563691909600653,0.04108776343814347,0.000354978546033674,0.0005664967087983955,0.0003187063174242942,0.000649774173205489,-4.790454089641276e-05,0.0003187063174242942,True,True,False,directional_candidate
route,10,4440,4045,0.911036036036036,2392,0.5387387387387388,2048,0,0.00030746429313975945,-0.02102101673863619,0.02675179421143233,0.0002146986166842411,0.0005456104263437112,0.00035768818797002246,0.0002650221747913681,0.0003884832974426493,0.0002146986166842411,True,True,True,strong_candidate
route,7,4440,4056,0.9135135135135135,2361,0.5317567567567567,2079,0,0.00025008543566849384,-0.023675938615407306,0.030699684004390094,0.0002706918012752689,0.0001739111462068722,0.0002527961220217412,0.00013161954080128464,0.0004179544655436373,0.0001739111462068722,True,True,True,strong_candidate
route,1,4488,4080,0.9090909090909091,2331,0.5193850267379679,2157,0,0.0001337115690002801,-0.02318548842029409,0.033562079173811266,9.425566277613967e-05,0.0001824724431249877,0.00015767876523099526,0.0002677194566841796,6.859743218083871e-06,9.425566277613967e-05,True,True,True,strong_candidate
