scenario_id,lane,anchor,seed,p_level,geometry,atom_count,ledger_count,door,carrier_count,escape_only_count,dual_count,return_only_count,neither_count,reinforcer_count,canceller_count,neutral_count,total_power_proxy,incoherent_power_expectation,coherence_gain,coarse_power_proxy,fine_coarse_relative_error,sum_individual_delta_power,reinforcement_tolerance
REF_0001,REFERENCE_LOW_DRIVE,low_drive,910001,0,localized_ledger_cells,2268,14,discovery,252,223,29,0,0,157,95,0,36.7130465389254,4.298496734648914,8.540903670576823,35.983714909694854,0.019865734336627767,69.1275963432019,1.456866926147833e-13
REF_0002,REFERENCE_LOW_DRIVE,low_drive,910001,0,dispersed_slots,2268,14,discovery,252,211,0,2,39,129,123,0,7.81203270044719,5.880330246897466,1.328502375282224,7.662144851318947,0.019186792333788207,9.743735153996916,3.1000129763679325e-14
REF_0003,REFERENCE_LOW_DRIVE,low_drive,910001,1,localized_ledger_cells,3402,21,discovery,378,330,48,0,0,227,151,0,56.678688358135865,4.790900144000188,11.830488353867397,55.613904147353836,0.018786324130402828,108.56647657227153,1.4994361999506842e-13
REF_0004,REFERENCE_LOW_DRIVE,low_drive,910001,1,dispersed_slots,3402,21,discovery,378,325,6,3,44,190,188,0,2.4121812637038724,8.667683311542481,0.27829596179311794,2.366145705953895,0.01908461791104811,-3.843320784134736,6.381431914560509e-15
REF_0005,REFERENCE_LOW_DRIVE,low_drive,910001,2,localized_ledger_cells,5346,33,discovery,594,557,37,0,0,313,281,0,29.909156166048767,5.761415925973613,5.191285710030467,29.34633214759461,0.018817783267755482,54.05689640612391,5.035211475765786e-14
REF_0006,REFERENCE_LOW_DRIVE,low_drive,910001,2,dispersed_slots,5346,33,discovery,594,542,4,4,44,304,290,0,1.3412676682007438,9.049074472216478,0.14822153053540005,1.3125974437746781,0.021375468227401356,-6.3665391358149925,2.25802637744233e-15
REF_0007,REFERENCE_LOW_DRIVE,low_drive,910001,3,localized_ledger_cells,9072,56,discovery,1008,934,74,0,0,545,463,0,18.18073204886359,6.92347531191414,2.6259546296897454,17.85196562707265,0.01808323344226879,29.437988785813044,1.803644052466626e-14
REF_0008,REFERENCE_LOW_DRIVE,low_drive,910001,3,dispersed_slots,9072,56,discovery,1008,942,17,3,46,526,482,0,1.5429497503946985,10.228250598742369,0.15085177425985383,1.5017372086580656,0.026710229368189356,-7.142351097952971,1.530704117455058e-15
REF_0009,REFERENCE_LOW_DRIVE,low_drive,910002,0,localized_ledger_cells,2268,14,discovery,252,228,24,0,0,125,127,0,7.351279631144202,7.245082118045705,1.0146578756966722,7.208928857202528,0.019364080960625547,7.4574771442426995,2.9171744568032546e-14
REF_0010,REFERENCE_LOW_DRIVE,low_drive,910002,0,dispersed_slots,2268,14,discovery,252,213,0,1,38,131,121,0,7.265224013479815,4.721359662422521,1.5387991030007746,7.139275952427835,0.017335743649238882,9.80908836453711,2.88302540217453e-14
REF_0011,REFERENCE_LOW_DRIVE,low_drive,910002,1,localized_ledger_cells,3402,21,discovery,378,344,34,0,0,191,187,0,4.291005822889803,7.5801911097260195,0.5660814827457428,4.210558212967452,0.018747961024245925,1.0018205360535877,1.135186725632223e-14
REF_0012,REFERENCE_LOW_DRIVE,low_drive,910002,1,dispersed_slots,3402,21,discovery,378,328,4,0,46,183,195,0,3.3142307328927263,4.966041169687095,0.6673788274497032,3.252324817468274,0.018678818831186026,1.6624202960983558,8.767806171673878e-15
REF_0013,REFERENCE_LOW_DRIVE,low_drive,910002,2,localized_ledger_cells,5346,33,discovery,594,553,41,0,0,306,288,0,6.753903323515782,8.784675574095925,0.7688278601240047,6.6269751317058185,0.018793308954841638,4.723131072935639,1.1370207615346436e-14
REF_0014,REFERENCE_LOW_DRIVE,low_drive,910002,2,dispersed_slots,5346,33,discovery,594,543,4,0,47,292,302,0,6.4799299025941295,5.312654013209398,1.219716150624982,6.360537061618183,0.018425020450938717,7.647205791978859,1.0908972899990117e-14
REF_0015,REFERENCE_LOW_DRIVE,low_drive,910002,3,localized_ledger_cells,9072,56,discovery,1008,939,69,0,0,574,434,0,21.817674346369927,9.19920596650892,2.3716910378787497,21.420574453643564,0.018200835085451412,34.43614272623093,2.1644518200763817e-14
REF_0016,REFERENCE_LOW_DRIVE,low_drive,910002,3,dispersed_slots,9072,56,discovery,1008,940,23,1,44,507,501,0,4.3593776764842715,8.552404141840885,0.5097254063517543,4.27704528742286,0.01888627120002381,0.16635121112765594,4.324779440956619e-15
REF_0017,REFERENCE_LOW_DRIVE,low_drive,910003,0,localized_ledger_cells,2268,14,validation,252,228,24,0,0,159,93,0,12.011324048979239,2.628046192264066,4.570438710071326,11.77008534573917,0.020084272329707838,21.394601905694408,4.7663984321346186e-14
REF_0018,REFERENCE_LOW_DRIVE,low_drive,910003,0,dispersed_slots,2268,14,validation,252,209,2,1,40,139,113,0,2.175707471604591,4.587202275339074,0.47429944027130755,2.1340208586970677,0.019160026543816246,-0.23578733212989111,8.633759807954725e-15
REF_0019,REFERENCE_LOW_DRIVE,low_drive,910003,1,localized_ledger_cells,3402,21,validation,378,340,38,0,0,223,155,0,15.164114395664154,2.3667685400844123,6.407096485710139,14.87325985473787,0.019180450195591132,27.9614602512439,4.011670475043427e-14
REF_0020,REFERENCE_LOW_DRIVE,low_drive,910003,1,dispersed_slots,3402,21,validation,378,329,3,2,44,211,167,0,3.622409469856254,6.80826147863458,0.5320608618255862,3.542502390030146,0.022059096435963876,0.43655746107792837,9.583093835598555e-15
REF_0021,REFERENCE_LOW_DRIVE,low_drive,910003,2,localized_ledger_cells,5346,33,validation,594,555,39,0,0,343,251,0,9.425987443541473,2.95398557798435,3.190938883991874,9.248701486474939,0.018808210612248084,15.897989309098598,1.5868665729867798e-14
REF_0022,REFERENCE_LOW_DRIVE,low_drive,910003,2,dispersed_slots,5346,33,validation,594,537,9,2,46,279,315,0,1.9572347266342653,7.717858828544078,0.253598150745585,1.9187551763352875,0.019660161234288317,-3.8033893752755485,3.295007957296743e-15
REF_0023,REFERENCE_LOW_DRIVE,low_drive,910003,3,localized_ledger_cells,9072,56,validation,1008,965,43,0,0,525,483,0,3.2685447938416723,6.245267727948491,0.5233634387224833,3.205141530805077,0.019398009522786582,0.2918218597348532,3.2426039621445164e-15
REF_0024,REFERENCE_LOW_DRIVE,low_drive,910003,3,dispersed_slots,9072,56,validation,1008,940,18,2,48,491,517,0,4.557205291033906,7.633035858868496,0.5970370603904717,4.4774029722286155,0.017511240707610422,1.481374723199314,4.5210369950733194e-15
