selector,candidate,nontrivial,fixed_point_free_involution_possible,satisfies_primary,selected,closed_loop_support,over_under_twist_freedom,no_extra_untie_freedom,candidate_name,candidate_value,unitary_return_error,unitary_return,smaller_return_exists
exchange_count,1,False,False,False,False,,,,,,,,
exchange_count,2,True,True,True,True,,,,,,,,
exchange_count,3,True,False,False,False,,,,,,,,
exchange_count,4,True,True,True,False,,,,,,,,
exchange_count,5,True,False,False,False,,,,,,,,
exchange_count,6,True,True,True,False,,,,,,,,
exchange_count,7,True,False,False,False,,,,,,,,
identity_support_dimension,1,,,False,False,False,False,True,,,,,
identity_support_dimension,2,,,False,False,True,False,True,,,,,
identity_support_dimension,3,,,True,True,True,True,True,,,,,
identity_support_dimension,4,,,False,False,True,True,False,,,,,
identity_support_dimension,5,,,False,False,True,True,False,,,,,
identity_support_dimension,6,,,False,False,True,True,False,,,,,
identity_support_dimension,7,,,False,False,True,True,False,,,,,
compact_phase_cycle,,,,False,False,,,,half_turn,3.141592653589793,2.0,False,False
compact_phase_cycle,,,,True,True,,,,full_turn,6.283185307179586,2.4492935982947064e-16,True,False
compact_phase_cycle,,,,False,False,,,,double_full_turn,12.566370614359172,4.898587196589413e-16,True,True
compact_phase_cycle,,,,False,False,,,,euler_number,2.718281828459045,1.9553689753020862,False,False
