node_id,coordinate,role,support_rank
FACE_-1_-1_-1,"[-1,-1,-1]",face,3
EDGE_-1_-1_+0,"[-1,-1,0]",edge,2
FACE_-1_-1_+1,"[-1,-1,1]",face,3
EDGE_-1_+0_-1,"[-1,0,-1]",edge,2
POINT_-1_+0_+0,"[-1,0,0]",point,1
EDGE_-1_+0_+1,"[-1,0,1]",edge,2
FACE_-1_+1_-1,"[-1,1,-1]",face,3
EDGE_-1_+1_+0,"[-1,1,0]",edge,2
FACE_-1_+1_+1,"[-1,1,1]",face,3
EDGE_+0_-1_-1,"[0,-1,-1]",edge,2
POINT_+0_-1_+0,"[0,-1,0]",point,1
EDGE_+0_-1_+1,"[0,-1,1]",edge,2
POINT_+0_+0_-1,"[0,0,-1]",point,1
CELL_+0_+0_+0,"[0,0,0]",cell,0
POINT_+0_+0_+1,"[0,0,1]",point,1
EDGE_+0_+1_-1,"[0,1,-1]",edge,2
POINT_+0_+1_+0,"[0,1,0]",point,1
EDGE_+0_+1_+1,"[0,1,1]",edge,2
FACE_+1_-1_-1,"[1,-1,-1]",face,3
EDGE_+1_-1_+0,"[1,-1,0]",edge,2
FACE_+1_-1_+1,"[1,-1,1]",face,3
EDGE_+1_+0_-1,"[1,0,-1]",edge,2
POINT_+1_+0_+0,"[1,0,0]",point,1
EDGE_+1_+0_+1,"[1,0,1]",edge,2
FACE_+1_+1_-1,"[1,1,-1]",face,3
EDGE_+1_+1_+0,"[1,1,0]",edge,2
FACE_+1_+1_+1,"[1,1,1]",face,3
