pairing,pair_id,left_slot,right_slot,left_kind,right_kind,q_preserved,dimension_preserved,side_flipped,left_route,right_route,point_antipodal,edge_antipodal
cross_kind,0,0,147,carrier,ledger_shadow,True,True,True,0,3,True,True
cross_kind,1,1,148,carrier,ledger_shadow,True,True,True,1,4,True,True
cross_kind,2,2,149,carrier,ledger_shadow,True,True,True,2,5,True,True
cross_kind,3,6,153,carrier,ledger_shadow,True,True,True,6,9,True,True
cross_kind,4,7,154,carrier,ledger_shadow,True,True,True,7,10,True,True
cross_kind,5,8,155,carrier,ledger_shadow,True,True,True,8,11,True,True
cross_kind,6,12,159,carrier,ledger_shadow,True,True,True,0,3,True,True
cross_kind,7,13,160,carrier,ledger_shadow,True,True,True,1,4,True,True
cross_kind,8,14,161,carrier,ledger_shadow,True,True,True,2,5,True,True
same_kind,0,0,3,carrier,carrier,True,True,True,0,3,True,True
same_kind,1,1,4,carrier,carrier,True,True,True,1,4,True,True
same_kind,2,2,5,carrier,carrier,True,True,True,2,5,True,True
same_kind,3,6,9,carrier,carrier,True,True,True,6,9,True,True
same_kind,4,7,10,carrier,carrier,True,True,True,7,10,True,True
same_kind,5,8,11,carrier,carrier,True,True,True,8,11,True,True
same_kind,6,12,15,carrier,carrier,True,True,True,0,3,True,True
same_kind,7,13,16,carrier,carrier,True,True,True,1,4,True,True
same_kind,8,14,17,carrier,carrier,True,True,True,2,5,True,True
same_kind,9,144,147,ledger_shadow,ledger_shadow,True,True,True,0,3,True,True
same_kind,10,145,148,ledger_shadow,ledger_shadow,True,True,True,1,4,True,True
same_kind,11,146,149,ledger_shadow,ledger_shadow,True,True,True,2,5,True,True
same_kind,12,150,153,ledger_shadow,ledger_shadow,True,True,True,6,9,True,True
same_kind,13,151,154,ledger_shadow,ledger_shadow,True,True,True,7,10,True,True
same_kind,14,152,155,ledger_shadow,ledger_shadow,True,True,True,8,11,True,True
same_kind,15,156,159,ledger_shadow,ledger_shadow,True,True,True,0,3,True,True
same_kind,16,157,160,ledger_shadow,ledger_shadow,True,True,True,1,4,True,True
same_kind,17,158,161,ledger_shadow,ledger_shadow,True,True,True,2,5,True,True
