label,Z,N,recipes,minimum_cells,construction,reference_stable
Te-136,52,84,44,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Te-137,52,85,40,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Te-138,52,86,37,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Te-139,52,87,33,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Te-140,52,88,30,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
I-109,53,56,234,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-110,53,57,225,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-111,53,58,217,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-112,53,59,208,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-113,53,60,200,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-114,53,61,192,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-115,53,62,184,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-116,53,63,176,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-117,53,64,169,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-118,53,65,161,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-119,53,66,154,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-120,53,67,147,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-121,53,68,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-122,53,69,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-123,53,70,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-124,53,71,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-125,53,72,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-126,53,73,108,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-127,53,74,102,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
I-128,53,75,96,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-129,53,76,91,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-130,53,77,85,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-131,53,78,80,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-132,53,79,75,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-133,53,80,70,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-134,53,81,65,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-135,53,82,61,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-136,53,83,56,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-137,53,84,52,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
I-138,53,85,48,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
I-139,53,86,44,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
I-140,53,87,40,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
I-141,53,88,37,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
I-142,53,89,33,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-108,54,54,271,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-109,54,55,261,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-110,54,56,252,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-112,54,58,234,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-113,54,59,225,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-114,54,60,217,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-115,54,61,208,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-116,54,62,200,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-117,54,63,192,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-118,54,64,184,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-119,54,65,176,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-120,54,66,169,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-121,54,67,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-122,54,68,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-123,54,69,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-124,54,70,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-125,54,71,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-126,54,72,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-127,54,73,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-128,54,74,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-129,54,75,108,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-130,54,76,102,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-131,54,77,96,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-132,54,78,91,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-133,54,79,85,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-134,54,80,80,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Xe-135,54,81,75,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-136,54,82,70,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-137,54,83,65,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-138,54,84,61,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Xe-139,54,85,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-140,54,86,52,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-141,54,87,48,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-142,54,88,44,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-143,54,89,40,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-144,54,90,37,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-145,54,91,33,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Xe-146,54,92,30,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-113,55,58,252,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-114,55,59,243,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-117,55,62,217,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-118,55,63,208,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-119,55,64,200,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-120,55,65,192,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-121,55,66,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-122,55,67,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-123,55,68,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-124,55,69,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-125,55,70,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-126,55,71,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-127,55,72,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-128,55,73,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-129,55,74,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-130,55,75,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-131,55,76,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-132,55,77,108,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-133,55,78,102,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Cs-134,55,79,96,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-135,55,80,91,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-136,55,81,85,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-137,55,82,80,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-138,55,83,75,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-139,55,84,70,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Cs-140,55,85,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-141,55,86,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-142,55,87,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-143,55,88,52,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-144,55,89,48,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-145,55,90,44,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-146,55,91,40,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-147,55,92,37,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Cs-148,55,93,33,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-114,56,58,271,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-117,56,61,243,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-119,56,63,225,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-120,56,64,217,5,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-121,56,65,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-122,56,66,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-123,56,67,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-124,56,68,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-125,56,69,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-126,56,70,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-127,56,71,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-128,56,72,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-129,56,73,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-130,56,74,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-131,56,75,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-132,56,76,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-133,56,77,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-134,56,78,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-135,56,79,108,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-136,56,80,102,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-137,56,81,96,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-138,56,82,91,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ba-139,56,83,85,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-140,56,84,80,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ba-141,56,85,75,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-142,56,86,70,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-143,56,87,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-144,56,88,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-145,56,89,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-146,56,90,52,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-147,56,91,48,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-148,56,92,44,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-149,56,93,40,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ba-150,56,94,37,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-124,57,67,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-125,57,68,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-126,57,69,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-127,57,70,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-128,57,71,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-129,57,72,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-130,57,73,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-131,57,74,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-132,57,75,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-133,57,76,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-134,57,77,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-135,57,78,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-136,57,79,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-137,57,80,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-138,57,81,108,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-139,57,82,102,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
La-140,57,83,96,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-141,57,84,91,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
La-142,57,85,85,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-143,57,86,80,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-144,57,87,75,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-145,57,88,70,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-146,57,89,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-147,57,90,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-148,57,91,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-149,57,92,52,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-150,57,93,48,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
La-151,57,94,44,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-126,58,68,217,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-127,58,69,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-128,58,70,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-129,58,71,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-130,58,72,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-131,58,73,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-132,58,74,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-133,58,75,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-134,58,76,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-135,58,77,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-136,58,78,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ce-137,58,79,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-138,58,80,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ce-139,58,81,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-140,58,82,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ce-141,58,83,108,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Ce-142,58,84,102,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Ce-143,58,85,96,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-144,58,86,91,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-145,58,87,85,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-146,58,88,80,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-147,58,89,75,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-148,58,90,70,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-149,58,91,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-150,58,92,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Ce-151,58,93,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-128,59,69,225,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-129,59,70,217,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-130,59,71,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-131,59,72,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-132,59,73,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-133,59,74,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-134,59,75,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-135,59,76,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-136,59,77,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-137,59,78,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-138,59,79,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-139,59,80,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-140,59,81,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-141,59,82,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Pr-142,59,83,120,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-143,59,84,114,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pr-144,59,85,108,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-145,59,86,102,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-146,59,87,96,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-147,59,88,91,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-148,59,89,85,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-149,59,90,80,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-150,59,91,75,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-151,59,92,70,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-152,59,93,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-153,59,94,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-154,59,95,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-155,59,96,52,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-156,59,97,48,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pr-157,59,98,44,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-130,60,70,234,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-131,60,71,225,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-132,60,72,217,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-133,60,73,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-134,60,74,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-135,60,75,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-136,60,76,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-137,60,77,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-138,60,78,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-139,60,79,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-140,60,80,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-141,60,81,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-142,60,82,140,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Nd-143,60,83,133,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
Nd-144,60,84,127,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Nd-145,60,85,120,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,True
Nd-146,60,86,114,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,True
Nd-147,60,87,108,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-148,60,88,102,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,True
Nd-149,60,89,96,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-150,60,90,91,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-151,60,91,85,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-152,60,92,80,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-153,60,93,75,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-154,60,94,70,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-155,60,95,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-156,60,96,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-157,60,97,56,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-158,60,98,52,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-159,60,99,48,8,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Nd-160,60,100,44,8,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-133,61,72,234,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-134,61,73,225,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-135,61,74,217,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-136,61,75,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-137,61,76,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-138,61,77,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-139,61,78,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-140,61,79,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-141,61,80,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-142,61,81,161,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-143,61,82,154,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-144,61,83,147,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Pm-145,61,84,140,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-146,61,85,133,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-147,61,86,127,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-148,61,87,120,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-149,61,88,114,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-150,61,89,108,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-151,61,90,102,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-152,61,91,96,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-153,61,92,91,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-154,61,93,85,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-155,61,94,80,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-156,61,95,75,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-157,61,96,70,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-158,61,97,65,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-159,61,98,61,7,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-160,61,99,56,8,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Pm-161,61,100,52,8,MULTICOMPONENT_SOURCE_OCCURRENCE_ASSEMBLY,False
Sm-135,62,73,243,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-136,62,74,234,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-137,62,75,225,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-138,62,76,217,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-139,62,77,208,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-140,62,78,200,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-141,62,79,192,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-142,62,80,184,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-143,62,81,176,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,False
Sm-144,62,82,169,6,CONNECTED_SOURCE_RECEIVER_ASSEMBLY,True
