split,source,isotope,Z,N,A,N_minus_Z,m_measured_u,B_u,R,S,M,Theta,V,pairing_sign,z_residue_mod_R,intercept,bw_volume_A,bw_surface_A_to_two_thirds,bw_coulomb_ZZminus1_over_A_third,bw_asymmetry_NmZ_squared_over_A,bw_pairing_over_sqrt_A,sam_volume_A_over_SM,sam_surface_A23_over_RV,sam_coulomb_ZZminus1_over_A13_SMV,sam_asymmetry_NmZ2_over_A_STheta,sam_pairing_over_MsqrtA,sam_z_residue_over_RM,sam_abs_NmZ_over_AR,untyped_A,untyped_Z,untyped_N_minus_Z,untyped_ZZminus1,untyped_NmZ_squared,confidence_lane
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,C-14,6,8,14,2,14.00324198843,-0.00324198843000012,12,8,126,18,27,1,5,1.0,14.0,5.808785733563703,12.447398000493653,0.2857142857142857,0.2672612419124244,0.013888888888888888,0.017928351029517602,0.000457355893610143,0.001984126984126984,0.002121120967558924,0.0033068783068783067,0.011904761904761904,14.0,6.0,2.0,30.0,4.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,N-14,7,7,14,0,14.00307400443,-0.0030740044299992775,12,8,126,18,27,-1,6,1.0,14.0,5.808785733563703,17.426357200691115,0.0,-0.2672612419124244,0.013888888888888888,0.017928351029517602,0.0006402982510542002,0.0,-0.002121120967558924,0.003968253968253968,0.0,14.0,7.0,0.0,42.0,0.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,N-15,7,8,15,1,15.00010889823,-0.00010889822999970988,12,8,126,18,27,0,6,1.0,15.0,6.082201995573399,17.030165587605524,0.06666666666666667,0.0,0.01488095238095238,0.01877222838139938,0.0006257409460466461,0.000462962962962963,0.0,0.003968253968253968,0.005555555555555556,15.0,7.0,1.0,42.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,O-16,8,8,16,0,15.99491461957,0.005085380429999731,12,8,126,18,27,1,7,1.0,16.0,6.3496042078727974,22.223614727554793,0.0,0.25,0.015873015873015872,0.019597543851459252,0.0008165643271441354,0.0,0.001984126984126984,0.004629629629629629,0.0,16.0,8.0,0.0,56.0,0.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,O-17,8,9,17,1,16.9991317565,0.0008682435000011424,12,8,126,18,27,0,7,1.0,17.0,6.611489018457944,21.779022649037937,0.058823529411764705,0.0,0.016865079365079364,0.020405830303882544,0.000800228639367943,0.0004084967320261438,0.0,0.004629629629629629,0.004901960784313725,17.0,8.0,1.0,56.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,O-18,8,10,18,2,17.99915961286,0.0008403871399984553,12,8,126,18,27,1,7,1.0,18.0,6.868285455319991,21.367999194328863,0.2222222222222222,0.23570226039551587,0.017857142857142856,0.021198411899135773,0.0007851263666346584,0.0015432098765432098,0.0018706528602818718,0.004629629629629629,0.009259259259259259,18.0,8.0,2.0,56.0,4.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,F-19,9,10,19,1,18.99840316273,0.001596837270000151,12,8,126,18,27,0,8,1.0,19.0,7.1203673589019925,26.982444728470714,0.05263157894736842,0.0,0.018849206349206348,0.02197644246574689,0.0009914184571013637,0.0003654970760233918,0.0,0.005291005291005291,0.0043859649122807015,19.0,9.0,1.0,72.0,1.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ne-20,10,10,20,0,19.99244017617,0.007559823830000312,12,8,126,18,27,1,9,1.0,20.0,7.368062997280773,33.15628348776348,0.0,0.22360679774997896,0.01984126984126984,0.022740935176792508,0.0012182643844710274,0.0,0.0017746571249998332,0.005952380952380952,0.0,20.0,10.0,0.0,90.0,0.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Ne-22,10,12,22,2,21.99138511439,0.00861488561000101,12,8,126,18,27,1,9,1.0,22.0,7.851424410539689,32.11946349766237,0.18181818181818182,0.21320071635561041,0.021825396825396824,0.024232791390554596,0.001180168411877659,0.0012626262626262627,0.0016920691774254797,0.005952380952380952,0.007575757575757576,22.0,10.0,2.0,90.0,4.0,LANE_A_HARD_MEASURED
train_cr240_lane_a_non_anchor,09a_PARTICLE_MASS_CHAIN/CR240_NEUTRON_REST_MASS_CHANNEL/CR240_extended_kernel_predictions.csv,Na-23,11,12,23,1,22.98976928196,0.010230718039998976,12,8,126,18,27,0,10,1.0,23.0,8.087579399090064,38.67972756086552,0.043478260869565216,0.0,0.022817460317460316,0.02496166481200637,0.0014212127998554352,0.00030193236714975844,0.0,0.006613756613756613,0.0036231884057971015,23.0,11.0,1.0,110.0,1.0,LANE_A_HARD_MEASURED
