galaxy,R_kpc,R_norm,Vobs_kms,Vbar_kms,Vdark_kms,X_substrate_over_matter,dark_fraction_v2
KK98-251,0.250,0.0799,4.25,2.76,3.23,1.3629,0.5768
KK98-251,0.410,0.1310,6.84,4.33,5.30,1.4959,0.5993
KK98-251,0.570,0.1821,9.56,5.88,7.54,1.6445,0.6219
KK98-251,0.740,0.2364,12.30,7.85,9.47,1.4521,0.5922
KK98-251,0.900,0.2875,15.10,9.60,11.66,1.4761,0.5961
KK98-251,1.070,0.3419,17.50,11.51,13.18,1.3117,0.5674
KK98-251,1.240,0.3962,19.70,13.39,14.45,1.1659,0.5383
KK98-251,1.400,0.4473,21.80,14.92,15.89,1.1342,0.5314
KK98-251,1.570,0.5016,24.40,16.25,18.20,1.2537,0.5563
KK98-251,1.720,0.5495,27.30,17.36,21.07,1.4724,0.5955
KK98-251,1.890,0.6038,30.30,18.38,24.09,1.7181,0.6321
KK98-251,2.060,0.6581,32.60,19.14,26.39,1.9020,0.6554
KK98-251,2.460,0.7859,33.30,20.03,26.60,1.7632,0.6381
KK98-251,2.790,0.8914,34.60,20.25,28.05,1.9181,0.6573
KK98-251,3.130,1.0000,34.20,19.51,28.09,2.0731,0.6746
UGC05721,0.090,0.0134,16.50,11.82,11.51,0.9475,0.4865
UGC05721,0.270,0.0401,38.50,23.08,30.82,1.7834,0.6407
UGC05721,0.450,0.0668,47.40,29.10,37.42,1.6535,0.6231
UGC05721,0.630,0.0935,55.50,31.80,45.48,2.0452,0.6716
UGC05721,0.810,0.1202,56.40,32.75,45.92,1.9654,0.6628
UGC05721,0.990,0.1469,59.80,33.06,49.83,2.2728,0.6945
UGC05721,1.170,0.1736,67.80,33.91,58.71,2.9982,0.7499
UGC05721,1.350,0.2003,76.40,33.96,68.44,4.0605,0.8024
UGC05721,1.530,0.2270,81.20,34.35,73.58,4.5890,0.8211
UGC05721,1.710,0.2537,82.20,34.76,74.49,4.5932,0.8212
UGC05721,1.890,0.2804,82.60,34.21,75.18,4.8283,0.8284
UGC05721,2.070,0.3071,82.30,32.14,75.76,5.5569,0.8475
UGC05721,2.250,0.3338,82.10,29.87,76.47,6.5557,0.8677
UGC05721,2.670,0.3961,81.40,28.54,76.23,7.1334,0.8771
UGC05721,3.150,0.4674,79.30,28.39,74.04,6.7997,0.8718
UGC05721,3.610,0.5356,78.50,27.52,73.52,7.1383,0.8771
UGC05721,4.040,0.5994,78.20,26.94,73.41,7.4274,0.8813
UGC05721,4.490,0.6662,78.10,27.11,73.24,7.2999,0.8795
UGC05721,4.930,0.7315,78.20,27.98,73.02,6.8097,0.8720
UGC05721,5.380,0.7982,78.30,28.67,72.86,6.4582,0.8659
UGC05721,5.860,0.8694,78.60,28.51,73.25,6.6004,0.8684
UGC05721,6.280,0.9318,78.90,28.10,73.73,6.8824,0.8731
