galaxy,n_points,R_outer_kpc,quality,bin_0.0-0.2,bin_0.2-0.4,bin_0.4-0.6,bin_0.6-0.8,bin_0.8-1.0
UGC04483,8,1.21,2,1.3089,1.9199,2.204,1.9953,2.3426
UGC04499,9,8.18,1,0.524,2.3214,2.2269,2.6378,2.4833
UGC05005,11,28.61,1,1.3251,2.7665,,4.4394,4.2917
UGC05253,73,53.29,2,0.1213,1.269,2.0351,2.3651,2.941
UGC05414,6,4.11,1,1.2859,1.181,1.6361,1.7751,2.1956
UGC05716,12,12.37,2,4.8611,5.3889,5.5287,4.6045,4.5768
UGC05721,23,6.74,1,1.9654,4.8283,7.1383,6.8097,6.8824
UGC05750,11,22.85,1,1.7231,3.2856,3.2896,,2.6219
UGC05764,10,3.62,2,19.9319,10.1678,6.9287,5.6749,4.5615
UGC05829,11,6.91,2,8.9282,7.0828,3.952,2.8598,2.202
UGC05918,8,4.46,2,6.8,9.1417,5.403,4.749,4.2511
UGC05986,15,9.41,2,1.9643,2.3527,3.1679,4.0086,5.0414
UGC05999,5,16.22,2,,1.3041,3.8859,3.6999,3.3204
UGC06399,9,7.85,1,1.8573,3.2628,3.6156,3.7976,3.9949
UGC06446,17,10.22,1,5.8474,5.82,5.6151,4.0368,4.0885
UGC06614,13,64.59,1,0.2633,0.4291,2.6018,3.1896,3.6939
UGC06628,7,7.69,2,0.6764,1.1237,0.4859,0.2165,0.0
UGC06667,9,7.85,1,28.5516,25.1604,10.9226,8.1581,7.091
UGC06786,45,34.05,1,0.8948,1.9358,3.1168,4.5773,5.8836
UGC06787,71,37.19,2,0.2887,1.5056,2.5384,4.3112,5.8115
UGC06818,8,6.98,2,0.4175,0.273,1.3375,3.3952,3.8349
UGC06917,11,10.47,1,1.2153,2.2868,2.9734,2.8397,2.9863
UGC06923,6,5.16,2,0.1991,0.6201,1.5931,1.8157,1.8336
UGC06930,10,16.61,1,1.1612,2.9255,2.4362,2.2818,2.7295
UGC06973,9,7.85,3,,0.0,0.0,0.1409,0.6285
UGC06983,17,15.68,1,1.8925,3.8958,3.8683,3.7023,3.5526
UGC07089,12,9.16,2,1.1505,0.9272,1.5043,1.8418,2.4116
UGC07125,13,18.68,1,0.7055,1.5022,1.8986,1.2235,1.2994
UGC07151,11,5.5,1,1.1513,2.3184,1.9856,2.0924,1.9897
UGC07261,7,6.67,2,4.4803,1.9978,2.4224,3.1239,3.0383
UGC07323,10,5.82,1,1.3491,0.9653,1.2587,1.5918,1.6634
UGC07399,10,6.13,1,4.1458,6.9291,6.9165,7.8106,8.3165
UGC07524,31,10.69,1,3.523,4.2471,4.0645,3.6438,2.64
UGC07559,7,2.53,2,0.6243,0.7324,1.5641,2.181,1.794
UGC07577,9,1.69,2,4.3667,0.6206,0.0708,0.3046,0.827
UGC07603,12,4.11,1,1.1296,2.8186,3.8231,5.4953,6.4969
UGC07608,8,4.78,1,2.1512,7.8838,7.2758,7.2794,6.078
UGC07690,7,4.13,2,0.9269,1.6863,1.831,1.8725,2.084
