rule,formula,n,max_abs_MeV,mean_abs_MeV,rms_MeV,exact_match,close_match,approximate_match,systematic_miss
R1_per_excess_neutron,(N-Z)·(F·S-1+D)/R^4·μ_Q,69,89.845927710472624513052432204580581705774905156667135028804271462694955739777996,33.457126827009813359998181069381628483839356764563403902158018144846986994692125,43.641785399051303728322311682158212432480737700571955253503039778395404392849167,0,1,1,67
R2_per_A_volume,A·D/R^4·μ_Q,69,90.662318343780180508344898131235070956863847126598285794576366446536461992412534,38.455674319914148423318003403377230404983916172680368634941580308155135115688842,48.220940925366285333542557611463544455587145249363263950039429978801952118736007,0,0,1,68
R3_per_pn_pair,Z·N·(1+D)/R^4·μ_Q,69,112.42081391408525780111075890278363230449783772813139119166939877913602797683169,34.514847569422697059940799577831492353365883370587355534603703409563230811802816,45.504104187958064195064998187132503609946170856499615512206858673123495999879844,0,0,3,66
R4_channel_gap_linear,(N-Z)·7093/(7117·R^4),69,90.203192849885801374398530800014571266503260320880104496796923381158311606534172,38.304954067937557442011837185802729336990027355818185287530985624751724700204865,48.032904850165603553796168109650630644665195698847825109239264426766035729545736,0,0,1,68
R5_asymmetry_squared,(N-Z)^2/A·1/(R·D)·7093^2/7117^2,69,362.19551766210294826554708779064727782740046503905220965388262776788510788394258,64.370426220566103783903752028055960455941699264423153626257716123975301971138559,106.79648482710612219758172911689239682405246555908559216970877556468706393299966,0,0,2,67
R6_volume_plus_asym_squared,R2 + R5,69,363.06079942876493131083770649703105376295383490463227616130616764892112493232438,64.520541173264921814352721258021091234189875536925748284621476026610280205874871,107.10738164006697009032625780221146591516911297424565879813112769716412632072967,0,0,1,68
