wc,passed,observed
WC-1_shuffle_BZN,False,"{""wc"": ""WC-1_shuffle_BZN"", ""passed"": ""False"", ""shuffle_max_MeV"": ""88.983851981395966630980000000000000000000000000000000000000000000000000000000000"", ""best_max_MeV"": ""89.845927710472624513052432204580581705774905156667135028804271462694955739777996"", ""ratio"": ""0.99040495489283959413689330365779546565457916729409358593692379897574212611110159""}"
WC-2_perturb_R_10,False,"{""wc"": ""WC-2_perturb_R_10"", ""passed"": ""False"", ""perturb_max_MeV"": ""135.51360882330106346204779541941829422509484333286497119572853730504426022200366"", ""best_max_MeV"": ""89.845927710472624513052432204580581705774905156667135028804271462694955739777996"", ""ratio"": ""1.5082888259553840739137291652043398315346978792965675524033610015636104816760308""}"
WC-3_perturb_D_2,False,"{""wc"": ""WC-3_perturb_D_2"", ""passed"": ""False"", ""perturb_max_MeV"": ""89.780486232321718232316166924265842349304482225656877897990726429675425038639877"", ""best_max_MeV"": ""89.845927710472624513052432204580581705774905156667135028804271462694955739777996"", ""ratio"": ""0.99927162555033333704873075609709340274054984254371121238048354780241371878700558""}"
WC-4_substrate_atom_integrity,True,"{""wc"": ""WC-4_substrate_atom_integrity"", ""passed"": ""True"", ""checks"": ""{'mu_Q = 192/7117': True, 'R^4 = 20736': True, 'F\u00b7S - 1 = 647': True, 'kappa = 7117/768': True}""}"
