scope,TP,TN,FP,FN,TPR,TNR,balanced_accuracy
overall,685,570,30,115,0.856250,0.950000,0.903125
S1,0,200,0,0,,,
S2,200,0,0,0,,,
S3,0,170,30,0,,,
S4,109,0,0,91,,,
S5,176,0,0,24,,,
S6,200,0,0,0,,,
S7,0,200,0,0,,,
