time_index,t_over_T2,A_leak_H0,P0_H0,P_plus_H0,P_minus_H0,abs_rho_0_plus_H0,abs_rho_0_minus_H0,abs_rho_plus_minus_H0,model_name,gamma_1_T2,gamma_phi_T2
0,0.000000,0.0000000000,0.2352941176,0.5294117647,0.2352941176,0.3529411765,0.2352941176,0.3529411765,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
1,0.010000,0.0148408642,0.2429030683,0.5241440296,0.2329529021,0.3507421732,0.2338281154,0.3476865669,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
2,0.020000,0.0291991194,0.2504363086,0.5189287094,0.2306349820,0.3485568708,0.2323712472,0.3425101883,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
3,0.025000,0.0362012692,0.2541747732,0.5163405417,0.2294846852,0.3474693307,0.2316462205,0.3399509710,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
4,0.030000,0.0430875263,0.2578945920,0.5137652825,0.2283401255,0.3463851839,0.2309234559,0.3374108759,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
5,0.035000,0.0498594352,0.2615958582,0.5112028674,0.2272012744,0.3453044198,0.2302029465,0.3348897604,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
6,0.040000,0.0565185203,0.2652786642,0.5086532325,0.2260681033,0.3442270278,0.2294846852,0.3323874824,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
7,0.050000,0.0695042201,0.2725892636,0.5035920483,0.2238186881,0.3420823181,0.2280548787,0.3274388775,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
8,0.070000,0.0941866762,0.2869929612,0.4936202576,0.2193867812,0.3378329032,0.2252219355,0.3177615962,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
9,0.100000,0.1281562931,0.3080655039,0.4790315743,0.2129029219,0.3315575516,0.2210383677,0.3037792858,CR223a_M4_NV_Lindblad_T1_eq_T2,1.000000,0.500000
