control,best_matches,matches,mismatches,mapping,control_prediction,canonical_prediction,evidence,broke
WC1_RAW_NUMERIC_ORDERING,not_applicable_monotone_sequence_test,,,,,,"sorted expected roles = OUTPUT,OUTPUT,FIXED_POINT,OUTPUT,FIXED_POINT,OUTPUT,FIXED_POINT,TERMINAL_CLOSURE",True
WC2_PARITY_ONLY,5,,,"{'even': 'OUTPUT', 'odd': 'FIXED_POINT'}",,,,True
WC3_PURE_POWER_VS_MIXED_POWER_ONLY,5,,,"{'has_h': 'OUTPUT', 'pure_d': 'FIXED_POINT'}",,,,True
WC4_UNRESTRICTED_GRADE_PROMOTES_16,,,,,OUTPUT,OUT_OF_SOURCE_ATOM_SET,,True
WC5_SWAPPED_PRIMITIVE_ADDRESSES,,1,7,,,,,True
WC6_INVERT_OUTPUT_FIXED_LABELS,,1,7,,,,,True
