bin,total_rows,duplicate_group_count,rows_in_a_duplicate_group,singleton_rows
antimatter_conjugate_rows,42,0,0,42
bound_composite_rows,106,0,0,106
carrier_only_rows,6,1,2,4
hidden_source_support_rows,8,0,0,8
rejected_fake_closures,8,1,8,0
unstable_resonance_rows,25,0,0,25
