row_index,candidate_id,bin,operator_class,route_combination,spin_or_hand_class,numeric_signature_key
34,QP093A-0097,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=6,g=1])",fermion_half_write,antimatter_conjugate_rows|6|1|negative|6|conjugate_axis|90.00|negative_credit|depth=1|-3.750|93.750|97.65625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003|12.20703125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|85.44921875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
35,QP093A-0098,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=6,g=1])",fermion_half_write,antimatter_conjugate_rows|6|1|positive|6|conjugate_axis|108.0|positive_debit|depth=1|4.50|103.50|107.8125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|13.4765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|94.3359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
36,QP093A-0099,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=8,g=1])",fermion_half_write,antimatter_conjugate_rows|8|1|negative|8|conjugate_axis|120.00|negative_credit|depth=1|-6.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|126.6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|133.7037037037037037037037037037037037037037037037037037037037037037037037037037037037037037037037038|16.71296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296296298|116.9907407407407407407407407407407407407407407407407407407407407407407407407407407407407407407407408
37,QP093A-0100,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=8,g=1])",fermion_half_write,antimatter_conjugate_rows|8|1|positive|8|conjugate_axis|144.0|positive_debit|depth=1|8.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|136.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|143.5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556|17.94444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444445|125.6111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
38,QP093A-0101,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=9,g=1])",fermion_half_write,antimatter_conjugate_rows|9|1|negative|9|conjugate_axis|135.00|negative_credit|depth=1|-8.4375|143.4375|152.40234375|19.05029296875|133.35205078125
39,QP093A-0102,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=9,g=1])",fermion_half_write,antimatter_conjugate_rows|9|1|positive|9|conjugate_axis|162.0|positive_debit|depth=1|10.125|151.875|161.3671875|20.1708984375|141.1962890625
40,QP093A-0103,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=12,g=1])",fermion_half_write,antimatter_conjugate_rows|12|1|negative|12|conjugate_axis|180.00|negative_credit|depth=1|-15.00|195.00|211.2499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|26.40624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|184.8437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
41,QP093A-0104,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=12,g=1])",fermion_half_write,antimatter_conjugate_rows|12|1|positive|12|conjugate_axis|216.0|positive_debit|depth=1|18.0|198.0|214.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|26.81249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|187.6874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
42,QP093A-0105,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(plus_single_write[p=1,g=2])",fermion_half_write,antimatter_conjugate_rows|1|2|negative|1|conjugate_axis|180.00|negative_credit|depth=2|-0.1041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|180.1041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667|181.3548900462962962962962962962962962962962962962962962962962962962962962962962962962962962962962962|22.66936125578703703703703703703703703703703703703703703703703703703703703703703703703703703703703702|158.6855287905092592592592592592592592592592592592592592592592592592592592592592592592592592592592591
43,QP093A-0106,antimatter_conjugate_rows,V4_1_SINGLE_WRITE,"anti(minus_single_write[p=1,g=2])",fermion_half_write,antimatter_conjugate_rows|1|2|positive|1|conjugate_axis|216.0|positive_debit|depth=2|0.1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|215.8750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|217.3741319444444444444444444444444444444444444444444444444444444444444444444444444444444444444444443|27.17176649305555555555555555555555555555555555555555555555555555555555555555555555555555555555555554|190.2023654513888888888888888888888888888888888888888888888888888888888888888888888888888888888888888
