duplicate_class,bin,member_count,candidate_ids,route_combinations,operator_classes,spin_or_hand_classes,numeric_signature_key
DUP-carrier_only_rows-01,carrier_only_rows,2,QP093A-0301;QP093A-0305,a_kernel_support;photon_road_carrier,A_FIELD_CARRIER;ROAD_LIGHT_CARRIER,environmental_A_support;transverse_vector,carrier_only_rows|1|3|neutral|0|carrier_axis|0|none|no_surface_depth|0|0|0|0|0
DUP-rejected_fake_closures-01,rejected_fake_closures,8,QP093A-0314;QP093A-0315;QP093A-0316;QP093A-0317;QP093A-0318;QP093A-0319;QP093A-0320;QP093A-0321,fake_direct_qA_as_mass;fake_nearest_known_match;fake_open_color_single;fake_parent_without_loop;fake_random_route_closure;fake_skip_ledger_compression;fake_tensor_as_particle;fake_wrong_surface_stack_disabled,DIRECT_QA_AS_MASS;FAKE_PARENT_NO_CLOSED_LOOP;NEAREST_KNOWN_PARTICLE_MATCH;OPEN_COLOR_NO_OWNER;PROMOTE_TENSOR_CARRIER;RANDOM_ROUTE_CLOSURE;SKIP_LEDGER_COMPRESSION;SURFACE_STACK_DISABLED,fake_spin,rejected_fake_closures|1|0|neutral|0|fake_axis|0|none|no_surface_depth|0|0|0|0|0
