arm,action_count,actions_per_trial_avg,fidelity_mean,fidelity_std
ARM_NONE,0,0.0000,0.013435,0.112860
ARM_PR,499,0.9980,0.069116,0.248393
ARM_FIXED_SCHEDULE_1_fires,500,1.0000,0.076659,0.260229
ARM_RATE_MATCHED,500,1.0000,0.084579,0.272561
ARM_SHUFFLED,499,0.9980,0.034588,0.179167
