arm,rng_seed_traj,rng_seed_sample,rng_seed_extra
ARM_NONE,520260621,520260622,
ARM_PR,520260621,520260622,
ARM_FIXED_SCHEDULE_1_fires,520260621,520260622,
ARM_RATE_MATCHED,520260621,520260622,630260621
ARM_SHUFFLED,520260621,520260622,740260621
