arm,fidelity_mean,fidelity_ci_low,fidelity_ci_high
ARM_NONE,0.013435,0.000000,0.000000
ARM_PR,0.069116,0.000000,0.959921
ARM_FIXED_SCHEDULE_1_fires,0.076659,0.000000,0.959547
ARM_RATE_MATCHED,0.084579,0.000000,0.962721
ARM_SHUFFLED,0.034588,0.000000,0.957514
