bound_id,operator_family,operator_class,route_class,partition_signature,partition_owners,owner_count,closure_depth,q_sign,q_abs,q_value,native_charge_axis,spin_or_hand_class,color_or_owner_closure,closure_status,stability_status,native_mass_or_weight,native_mass_fraction,formula_used,selector_rule,route_combination,address_signature,construction_hash
SAMB63-0011,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,3+4+8,3|4|8,3,0,positive,1,1,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,3204,3204,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[3+4+8],three_owner_color_closure|p=3+4+8|d=0|q=positive:1,8cf7bbb1c166e62cef1ac2168ad9a875f2dc1fb5a2daf492b638a01fb0541040
SAMB63-0012,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,3+6+6,3|6|6,3,0,negative,3,-3,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,2916,2916,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[3+6+6],three_owner_color_closure|p=3+6+6|d=0|q=negative:3,3f637b6d43d54453900b9f14d373511ff2842365cad8a3ee9b8ae6faf34dff8e
SAMB63-0013,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,4+4+4,4|4|4,3,0,positive,1,1,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,1728,1728,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[4+4+4],three_owner_color_closure|p=4+4+4|d=0|q=positive:1,9a2254feac10e1ffac38910f0aa07d481778d3bd46717a2ad8b228abeead8837
SAMB63-0014,THREE_OWNER_COLOR_CLOSURE,GROUND_BARYON_3BODY,three_owner_color_closure,8+8+8,8|8|8,3,0,positive,2,2,triadic_charge_axis,fermion_baryon_half_write,color_owner_closed,CLOSED_THREE_OWNER_WRITE,BOUND_COLOR_CLOSED_STABLE_CANDIDATE,6912,6912,R*D*(a^2+b^2+c^2),CHARGED_STABLE_THREE_OWNER_COLOR_CLOSURE,color_triad[8+8+8],three_owner_color_closure|p=8+8+8|d=0|q=positive:2,d763a85eacaef7f894bbec74fa9f8c0362af980e8c0060455f4fae3092b5ab3f
SAMB63-0015,EQUAL_NEUTRAL_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,1+1,1|1,2,1,neutral,0,0,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_NEUTRAL_CANDIDATE,12,12,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti1],two_owner_pair_closure|p=1+1|d=1|q=neutral:0,1ed1c0605073f288c97e9d756002f81f71fcf46449639df1c3bfcb6f551559ec
SAMB63-0016,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,1+2,1|2,2,3,negative,1,-1,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,27,27,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti2],two_owner_pair_closure|p=1+2|d=3|q=negative:1,b619b233afe9e94481759c94ed2f2f4c4009ac8d488f1cd31f0938a26af6fed0
SAMB63-0017,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,1+3,1|3,2,3,negative,2,-2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,42,42,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti3],two_owner_pair_closure|p=1+3|d=3|q=negative:2,0d56886b0febdc9852001ecb7877564a4e55e7f8d64296bb868aab42a395b9c4
SAMB63-0018,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,1+4,1|4,2,3,negative,3,-3,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,57,57,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti4],two_owner_pair_closure|p=1+4|d=3|q=negative:3,782d346e89b721f8f73fad284035b2b89d6455d00ab68b6433767ee4535db31c
SAMB63-0019,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,1+6,1|6,2,3,negative,5,-5,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,87,87,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti6],two_owner_pair_closure|p=1+6|d=3|q=negative:5,4d4e8f8b20b7e76c3232d46fd762f6292f369094961681e46a026c90bfc018d5
SAMB63-0020,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,1+8,1|8,2,3,negative,7,-7,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,117,117,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti8],two_owner_pair_closure|p=1+8|d=3|q=negative:7,d69254134552c206f9272aa803ccd9c4709f222ede76a92f61618faecc2bc788
SAMB63-0021,ORIENTED_CHARGED_PAIR,OCTET_COMPOSITE,two_owner_pair_closure,1+9,1|9,2,3,negative,8,-8,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,132,132,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[1|anti9],two_owner_pair_closure|p=1+9|d=3|q=negative:8,79cb36dadbfc077893f8ebcc3ce0685ec69440fddc1cebfb64a3db16df3d012f
SAMB63-0022,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,2+1,2|1,2,3,positive,1,1,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,27,27,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti1],two_owner_pair_closure|p=2+1|d=3|q=positive:1,1cd580de21ec7cebb3c9127acb5fe691289d71af0b97b25b89b618c2abd87869
SAMB63-0023,EQUAL_NEUTRAL_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,2+2,2|2,2,1,neutral,0,0,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_NEUTRAL_CANDIDATE,48,48,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti2],two_owner_pair_closure|p=2+2|d=1|q=neutral:0,9b209a2570f372f4dc49ef3c513cb76793dac950bdf60ca6633db09ca3cd792f
SAMB63-0024,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,2+3,2|3,2,3,negative,1,-1,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,75,75,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti3],two_owner_pair_closure|p=2+3|d=3|q=negative:1,33689d05a45edc325d8f8f0285633ea6d446e67c2afbc4c00d5dc1855859411d
SAMB63-0025,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,2+4,2|4,2,3,negative,2,-2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,102,102,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti4],two_owner_pair_closure|p=2+4|d=3|q=negative:2,bc305b266af07b4135bc2b10c15af7f2584f9e30a562871d9416e98bfb6c619c
SAMB63-0026,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,2+6,2|6,2,3,negative,4,-4,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,156,156,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti6],two_owner_pair_closure|p=2+6|d=3|q=negative:4,a18456f5024d8d6c4b3b30895ee4d0c654954aff2f1a14e824d9b32a34d0b6ff
SAMB63-0027,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,2+8,2|8,2,3,negative,6,-6,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,210,210,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti8],two_owner_pair_closure|p=2+8|d=3|q=negative:6,8ad71516a29192f99e3ae061a7fafcdd0dcd8d4eee81b0ed2be693f808f0c9b1
SAMB63-0028,ORIENTED_CHARGED_PAIR,OCTET_COMPOSITE,two_owner_pair_closure,2+9,2|9,2,3,negative,7,-7,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,237,237,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[2|anti9],two_owner_pair_closure|p=2+9|d=3|q=negative:7,480c8818fbaf8ba4bca7383498461d19ab51ea7130e2fcc6073434337d08199f
SAMB63-0029,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,3+1,3|1,2,3,positive,2,2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,42,42,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti1],two_owner_pair_closure|p=3+1|d=3|q=positive:2,eb1948e72d77c8d58a983afe1b953bd831afe6b251a10ae6eed85568c7b9b5cf
SAMB63-0030,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,3+2,3|2,2,3,positive,1,1,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,75,75,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti2],two_owner_pair_closure|p=3+2|d=3|q=positive:1,da538b50e6147a35be1151d969cd3ee77fc7737fef927a30f1302a0ebeb5388a
SAMB63-0031,EQUAL_NEUTRAL_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,3+3,3|3,2,1,neutral,0,0,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_NEUTRAL_CANDIDATE,108,108,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti3],two_owner_pair_closure|p=3+3|d=1|q=neutral:0,4f0942a400b00c85f16d16fdc51ef4bfdeb24caa8c279d535b2df62c60cb5865
SAMB63-0032,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,3+4,3|4,2,3,negative,1,-1,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,147,147,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti4],two_owner_pair_closure|p=3+4|d=3|q=negative:1,e643e323b62de4cb8dcafb51b66cd8c281bef3694116c24ea472ac5be2a2cf88
SAMB63-0033,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,3+6,3|6,2,3,negative,3,-3,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,225,225,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti6],two_owner_pair_closure|p=3+6|d=3|q=negative:3,cb2ed5c1ec1b1f77b5865eebcc02fd7bbc17dce2686fe49b35fee7fa4b755d76
SAMB63-0034,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,3+8,3|8,2,3,negative,5,-5,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,303,303,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti8],two_owner_pair_closure|p=3+8|d=3|q=negative:5,b5030d46e17d569bcb28ae7f3c71e2399048ca7019290b76b21ca3bb779b6f0a
SAMB63-0035,ORIENTED_CHARGED_PAIR,OCTET_COMPOSITE,two_owner_pair_closure,3+9,3|9,2,3,negative,6,-6,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,342,342,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[3|anti9],two_owner_pair_closure|p=3+9|d=3|q=negative:6,9bc9d77358c1615354e99230f69fa2244f7f9182fd4f656f94367d24cb1e130c
SAMB63-0036,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,4+1,4|1,2,3,positive,3,3,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,57,57,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti1],two_owner_pair_closure|p=4+1|d=3|q=positive:3,3432b54c99e166ad8e96b12b5febab8fb19f9d7c15ad93c7729658bde6e534f9
SAMB63-0037,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,4+2,4|2,2,3,positive,2,2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,102,102,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti2],two_owner_pair_closure|p=4+2|d=3|q=positive:2,e50b0611a2ad26ed474e85929b9d1fd6ac2c02c0e101fb3a2cdbc3691f24b6e1
SAMB63-0038,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,4+3,4|3,2,3,positive,1,1,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,147,147,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti3],two_owner_pair_closure|p=4+3|d=3|q=positive:1,d30ca709bc245f5ea7ffa969647adaac5bc6ce13e3d17f498c9e950fc4fe1055
SAMB63-0039,EQUAL_NEUTRAL_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,4+4,4|4,2,1,neutral,0,0,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_NEUTRAL_CANDIDATE,192,192,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti4],two_owner_pair_closure|p=4+4|d=1|q=neutral:0,c58d000c2f48f6ba299d45030ae30412c15db7d3f2b3f378c5b5369b9aa0e75a
SAMB63-0040,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,4+6,4|6,2,3,negative,2,-2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,294,294,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti6],two_owner_pair_closure|p=4+6|d=3|q=negative:2,494b861ac14cd16ba11422fa1e00b88b406d1dc34585052948fb03a964d29eae
SAMB63-0041,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,4+8,4|8,2,3,negative,4,-4,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,396,396,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti8],two_owner_pair_closure|p=4+8|d=3|q=negative:4,0ec1d05d6b7d9307f953e17a30707bb3183cbd382a161085a3b7fd151ab0ee9b
SAMB63-0042,ORIENTED_CHARGED_PAIR,OCTET_COMPOSITE,two_owner_pair_closure,4+9,4|9,2,3,negative,5,-5,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,447,447,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[4|anti9],two_owner_pair_closure|p=4+9|d=3|q=negative:5,edd92f42ebba724976936214a9ef006ae811935c2f2867928e6a4e3d514c589b
SAMB63-0043,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,6+1,6|1,2,3,positive,5,5,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,87,87,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti1],two_owner_pair_closure|p=6+1|d=3|q=positive:5,98b556625ec300a01e3b5b3888705aa7e54bad1ab672da6634ba4543243c3a02
SAMB63-0044,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,6+2,6|2,2,3,positive,4,4,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,156,156,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti2],two_owner_pair_closure|p=6+2|d=3|q=positive:4,6ea58083b84292747a95b39826ad103cea167070c1061c6f01724ac6463145ed
SAMB63-0045,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,6+3,6|3,2,3,positive,3,3,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,225,225,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti3],two_owner_pair_closure|p=6+3|d=3|q=positive:3,37d18aaab0eb44c2dba649a82e6401528808a4ca72357ec6196b2398a8da349e
SAMB63-0046,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,6+4,6|4,2,3,positive,2,2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,294,294,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti4],two_owner_pair_closure|p=6+4|d=3|q=positive:2,362b5ecace2005b9935abb28f95915555589bf9761b63e41c377c4675a023a72
SAMB63-0047,EQUAL_NEUTRAL_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,6+6,6|6,2,1,neutral,0,0,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_NEUTRAL_CANDIDATE,432,432,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti6],two_owner_pair_closure|p=6+6|d=1|q=neutral:0,a4e0d9920ef09a0fdfbc82c6e541e57c153ff25297e0fc598050b7ec13b4a884
SAMB63-0048,ORIENTED_CHARGED_PAIR,BOUND_COLOR_PAIR,two_owner_pair_closure,6+8,6|8,2,3,negative,2,-2,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,582,582,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti8],two_owner_pair_closure|p=6+8|d=3|q=negative:2,b83148832dc0baaeab94129b83ee411244a69769fbfadb79bc9f79a356f09e9c
SAMB63-0049,ORIENTED_CHARGED_PAIR,OCTET_COMPOSITE,two_owner_pair_closure,6+9,6|9,2,3,negative,3,-3,pair_charge_axis,boson_integer_write,owner_pair_closed,CLOSED_PAIR_WRITE,BOUND_PAIR_CHARGED_CANDIDATE,657,657,R*a*b + D*abs(a-b),ORDERED_PAIR_CLOSURE_FROM_OMEGA_7,pair_write[6|anti9],two_owner_pair_closure|p=6+9|d=3|q=negative:3,dc6fcd172bc818cdf2424dcfb6197f38a6c3334bba49c18e94dd9918f4586b31
