isotope,set,Z,N,A,B_u_obs,base_pred,base_resid,final_pred,final_resid,in_op_82pre,in_op_3d_odd,in_op_dm_sat,in_op_ms_fill
O-16,train,8,8,16,4.7370,5.6287,-0.8917,5.6287,-0.8917,0,0,0,0
O-17,train,8,9,17,0.8088,2.5245,-1.7157,2.5245,-1.7157,0,0,0,0
O-18,train,8,10,18,0.7828,0.1401,0.6427,0.1401,0.6427,0,0,0,0
F-19,train,9,10,19,1.4874,3.4967,-2.0092,3.4967,-2.0092,0,0,0,0
Ne-20,train,10,10,20,7.0419,6.6863,0.3556,6.6863,0.3556,0,0,0,0
Ne-22,train,10,12,22,8.0247,4.6362,3.3885,4.6362,3.3885,0,0,0,0
Na-23,train,11,12,23,9.5299,9.0930,0.4368,9.0930,0.4368,0,0,0,0
Mg-24,train,12,12,24,13.9336,11.4964,2.4372,11.4964,2.4372,0,0,0,0
Mg-25,train,12,13,25,13.1928,12.2629,0.9298,12.2629,0.9298,0,0,0,0
Mg-26,train,12,14,26,16.2145,10.6023,5.6122,10.6023,5.6122,0,0,0,0
Al-27,train,13,14,27,17.1968,15.4045,1.7923,15.4045,1.7923,0,0,0,0
Si-28,train,14,14,28,21.4928,16.9631,4.5297,16.9631,4.5297,0,0,0,0
P-31,train,15,16,31,24.4405,22.3993,2.0413,22.3993,2.0413,0,0,0,0
S-32,train,16,16,32,26.0155,23.7229,2.2926,23.7229,2.2926,0,0,0,0
Cl-35,train,17,18,35,29.0135,30.4888,-1.4753,30.4888,-1.4753,0,0,0,0
Ar-40,train,18,22,40,35.0399,33.9016,1.1383,33.9016,1.1383,0,0,0,0
Ca-40,train,20,20,40,34.8464,41.1347,-6.2883,41.1347,-6.2883,0,0,0,0
Ti-48,train,22,26,48,48.4917,49.6658,-1.1741,49.6658,-1.1741,0,0,0,0
Fe-56,train,26,30,56,60.6053,61.8373,-1.2320,61.8373,-1.2320,0,0,0,0
Ni-58,train,28,30,58,60.2281,62.2975,-2.0693,62.2975,-2.0693,0,0,0,0
Cu-63,train,29,34,63,65.5793,60.5144,5.0649,67.4799,-1.9006,0,1,0,0
Zn-64,train,30,34,64,66.0038,70.2160,-4.2122,70.2160,-4.2122,0,0,0,0
Br-79,train,35,44,79,76.0685,76.1170,-0.0485,76.1170,-0.0485,0,0,0,0
Kr-84,train,36,48,84,82.4393,82.6466,-0.2073,82.6466,-0.2073,0,0,0,0
Ag-107,train,47,60,107,88.4018,97.6290,-9.2272,93.0975,-4.6958,0,0,0,1
Sn-120,train,50,70,120,91.0986,97.8136,-6.7150,88.7507,2.3479,0,0,0,1
I-127,train,53,74,127,88.9839,91.7240,-2.7401,91.7240,-2.7401,0,0,0,0
Xe-132,train,54,78,132,89.2790,89.6995,-0.4206,89.6995,-0.4206,0,0,0,0
Cs-133,train,55,78,133,88.0709,87.3731,0.6979,87.3731,0.6979,0,0,0,0
Au-197,train,79,118,197,31.1410,27.4215,3.7195,27.4215,3.7195,0,0,0,0
Hg-200,train,80,120,200,29.5042,29.5688,-0.0645,29.5688,-0.0645,0,0,0,0
Pb-208,train,82,126,208,21.7483,14.5683,7.1800,21.7483,0.0000,0,0,1,0
Th-232,train,90,142,232,-35.4471,-37.7950,2.3479,-37.7950,2.3479,0,0,0,0
U-235,train,92,143,235,-40.9205,-40.3261,-0.5943,-40.3261,-0.5943,0,0,0,0
U-238,train,92,146,238,-47.3090,-49.5875,2.2786,-49.5875,2.2786,0,0,0,0
Ti-46,test,22,24,46,44.1283,45.2800,-1.1517,45.2800,-1.1517,0,0,0,0
Cr-52,test,24,28,52,55.4195,56.7100,-1.2905,56.7100,-1.2905,0,0,0,0
Mn-55,test,25,30,55,57.7125,48.7693,8.9433,55.7347,1.9779,0,1,0,0
Co-59,test,27,32,59,62.2298,55.3417,6.8881,62.3071,-0.0773,0,1,0,0
Y-89,test,39,50,89,87.7112,83.5080,4.2032,83.5080,4.2032,0,0,0,0
Zr-90,test,40,50,90,88.7725,94.2688,-5.4962,94.2688,-5.4962,0,0,0,0
Ba-138,test,56,82,138,88.2618,84.4887,3.7731,84.4887,3.7731,0,0,0,0
Nd-142,test,60,82,142,85.9501,97.5872,-11.6372,85.9501,0.0000,1,0,0,0
Sm-152,test,62,90,152,74.7630,76.9404,-2.1774,76.9404,-2.1774,0,0,0,0
Gd-158,test,64,94,158,70.6900,68.9276,1.7624,68.9276,1.7624,0,0,0,0
Dy-162,test,66,96,162,68.1812,68.7314,-0.5502,68.7314,-0.5502,0,0,0,0
Er-166,test,68,98,166,64.9241,67.9345,-3.0104,67.9345,-3.0104,0,0,0,0
Yb-172,test,70,102,172,59.2555,59.8568,-0.6013,59.8568,-0.6013,0,0,0,0
Hf-178,test,72,106,178,52.4354,51.7932,0.6421,51.7932,0.6421,0,0,0,0
W-184,test,74,110,184,45.7055,43.9024,1.8030,43.9024,1.8030,0,0,0,0
Os-190,test,76,114,190,38.7078,36.2549,2.4529,36.2549,2.4529,0,0,0,0
Pt-194,test,78,116,194,34.7601,36.5040,-1.7439,36.5040,-1.7439,0,0,0,0
Hg-202,test,80,122,202,27.3453,21.8760,5.4693,21.8760,5.4693,0,0,0,0
Pb-206,test,82,124,206,23.7855,23.3267,0.4588,23.3267,0.4588,0,0,0,0
U-234,test,92,142,234,-38.1450,-30.8910,-7.2540,-30.8910,-7.2540,0,0,0,0
