operator,gamma,family_size,family_isotopes,mean_improve_MeV,adopted
op_82pre,-0.72732,1,Nd-142,11.6372,1
op_3d_odd,6.96543,3,Cu-63;Mn-55;Co-59,5.6469,1
op_dm_sat,7.18004,1,Pb-208,7.1800,1
op_ms_fill,-0.45314,2,Ag-107;Sn-120,4.4493,1
