signature,closure_depth,q_abs,observed_fraction,tensor_fraction,source_disposition,source_subbucket,typed_guard_allowed
4+6+12,3,2,7056935763888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4471842975380979938271604938271604938271604938271604938271604938271604938271604938271604938271604939/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
4+8+8,3,2,82955/16,657087131076388888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
4+8+9,0,4,9177,589494791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
4+8+12,0,4,12768,820166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
4+9+9,3,5,3204888454861111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,414521162998529128086419753086419753086419753086419753086419753086419753086419753086419753086419753/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
4+9+12,3,5,4339202907986111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,561233709453064718364197530864197530864197530864197530864197530864197530864197530864197530864197531/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
4+12+12,3,8,273715451388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1444609326774691358024691358024691358024691358024691358024691358024691358024691358024691358024691359/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+6+6,0,0,-972,0,REJECTED,TRIAD_SURFACE_REJECTED,false
6+6+8,3,2,1223837673611111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3102088547694830246913580246913580246913580246913580246913580246913580246913580246913580246913580247/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+6+9,0,0,-1377,0,REJECTED,TRIAD_SURFACE_REJECTED,false
6+6+12,0,0,-1944,0,REJECTED,TRIAD_SURFACE_REJECTED,false
6+8+8,3,0,5900369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3687731119791666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+8+9,3,2,1629216037326388888888888888888888888888888888888888888888888888888888888888888888888888888888888889/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1651844037844810956790123456790123456790123456790123456790123456790123456790123456790123456790123457/2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+8+12,3,2,2196291232638888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,556698819384162808641975308641975308641975308641975308641975308641975308641975308641975308641975309/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+9+9,0,3,10692,43659/32,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+9+12,0,3,14094,115101/64,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
6+12+12,0,6,20412,2657812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
8+8+8,0,2,4032,511,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
8+8+9,3,0,7519373697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4699608561197916666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
8+8+12,3,0,9785979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1223247395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
8+9+9,3,1,2034171657986111111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,512074462513864776234567901234567901234567901234567901234567901234567901234567901234567901234567901/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
8+9+12,3,1,260121950954861111111111111111111111111111111111111111111111111111111111111111111111111111111111111/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,654820883480119116512345679012345679012345679012345679012345679012345679012345679012345679012345679/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
8+12+12,3,4,633745138888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,407093231577932098765432098765432098765432098765432098765432098765432098765432098765432098765432099/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
9+9+9,0,0,-2187,0,REJECTED,TRIAD_SURFACE_REJECTED,false
9+9+12,0,0,-2754,0,REJECTED,TRIAD_SURFACE_REJECTED,false
9+12+12,0,3,19926,2542640624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,LEGAL_LOCAL_TEMPLATE,TRIAD_ALLOWED,true
12+12+12,0,0,-3888,0,REJECTED,TRIAD_SURFACE_REJECTED,false
