axis,spearman_rho,p_value,note
A,-0.6006071910848414,5.058864886393866e-06,
Z,-0.6011587955752373,4.932925383986704e-06,
N,-0.5988361344268971,5.483631553252431e-06,
N_minus_Z,-0.40103578277286567,0.004293937138715377,
asymmetry_NmZ_squared_over_A,-0.21665531004486957,0.13484662516520257,
surface_A_to_two_thirds,-0.6006071910848414,5.058864886393866e-06,
coulomb_Z_squared_over_A_third,-0.6011224489795918,4.941133656068731e-06,
coulomb_ZZminus1_over_A_third,-0.6003673875532315,5.114538582308174e-06,
pairing_proxy,-0.33054953233439216,0.020354868134639312,
magic_min_distance,-0.14976817368545065,0.3043637167389486,
AGGREGATE,0.6011587955752373,,structured_residual=True; bw_axis_structured=True
