element_closure_id,Z,proton_count,neutron_count_primary,electron_count,native_element_capacity,radix_cycle,radix_slot,shell_period,shell_capacity,shell_occupancy,shell_status,electron_shell_status,nuclear_closure_status,neutral_atom_closure_status,primary_isotope_id,isotope_closure_rows,qA_total_primary,tensor_carrier_support_primary,retained_write_support_primary,matter_row_allowed,natural_synthetic_boundary_status,known_match,known_match_role,promotion_status,latest_table_layer,periodic_table_scope,known_label_status,latest_export_source,courtroom_table_layer,vault_reveal_status,vault_identity,known_identity_label,known_symbol,known_name,identity_assignment_role,known_label_used_as_construction_input,vault_reveal_source
QP094A-EZ001,1,1,1,1,126,1,1,1,2,1,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ001N001-FLOOR_PRIMARY,1,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,H|Hydrogen|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,H Hydrogen,H Hydrogen,H,Hydrogen,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ002,2,2,2,2,126,1,2,1,2,2,CLOSED_SHELL,FILLED_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ002N002-FLOOR_PRIMARY,1,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,129.7369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,He|Helium|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,He Helium,He Helium,He,Helium,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ003,3,3,3,3,126,1,3,2,8,1,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ003N003-FLOOR_PRIMARY,1,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,194.6054687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,Li|Lithium|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,Li Lithium,Li Lithium,Li,Lithium,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ004,4,4,4,4,126,1,4,2,8,2,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ004N004-FLOOR_PRIMARY,1,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,259.4739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,Be|Beryllium|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,Be Beryllium,Be Beryllium,Be,Beryllium,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ005,5,5,5,5,126,1,5,2,8,3,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ005N005-FLOOR_PRIMARY,1,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,324.3424479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,B|Boron|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,B Boron,B Boron,B,Boron,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ006,6,6,6,6,126,1,6,2,8,4,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ006N006-FLOOR_PRIMARY,1,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,389.2109374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,C|Carbon|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,C Carbon,C Carbon,C,Carbon,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ007,7,7,7,7,126,1,7,2,8,5,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ007N007-FLOOR_PRIMARY,1,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,454.0794270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,N|Nitrogen|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,N Nitrogen,N Nitrogen,N,Nitrogen,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ008,8,8,8,8,126,1,8,2,8,6,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ008N008-FLOOR_PRIMARY,1,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,O|Oxygen|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,O Oxygen,O Oxygen,O,Oxygen,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ009,9,9,9,9,126,1,9,2,8,7,OPEN_SHELL,PARTIAL_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ009N009-FLOOR_PRIMARY,1,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,583.8164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,F|Fluorine|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,F Fluorine,F Fluorine,F,Fluorine,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
QP094A-EZ010,10,10,10,10,126,1,10,2,8,8,CLOSED_SHELL,FILLED_ELECTRON_SHELL_CLOSURE,CLOSED_ELEMENT_FAMILY_WRITE,CLOSED_NEUTRAL_ATOM_WRITE,QP094A-IZ010N010-FLOOR_PRIMARY,1,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,648.6848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,yes,KNOWN_NATURAL_SURFACE_DOWNSTREAM,Ne|Neon|downstream_only,DOWNSTREAM_ONLY,ELEMENT_FAMILY_ALLOWED_AFTER_NUCLEAR_ATOMIC_CLOSURE,native_periodic_element_family,SAM_NATIVE_126_ELEMENT_FAMILY,KNOWN_Z_DOWNSTREAM,QP094A,periodic,REVEALED_KNOWN_DOWNSTREAM_LABEL,Ne Neon,Ne Neon,Ne,Neon,downstream_only,no,CR119_DOWNSTREAM_ONLY_REVEAL
