Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,ACTION,XOR_required_LIGHT,actual_LIGHT_nm
117,Ts,Tennessine,438,321,117,117,-,-,-,-
118,Og,Oganesson,442,324,118,118,-,-,-,-
119,,,446,327,119,119,-,-,-,-
120,,,450,330,120,120,-,-,-,-
121,,,463,342,121,121,-,-,-,-
122,,,467,345,122,122,-,-,-,-
123,,,471,348,123,123,-,-,-,-
124,,,475,351,124,124,-,-,-,-
125,,,479,354,125,125,-,-,-,-
126,,,483,357,126,126,-,-,-,-
