cell_id,Z,symbol,name,PARTICLE,MATTER,ELEMENT,GRAVITY,CLOCK,LIGHT,ACTION
SIS-001,1,H,Hydrogen,3,1.008,1,74.135417,stable,656,1/2
SIS-002,2,He,Helium,6,4.0026,2,148.270833,stable,587,0
SIS-003,3,Li,Lithium,9,6.94,3,222.406250,stable,670,3/2
SIS-004,4,Be,Beryllium,12,9.0122,4,296.541667,stable,234,3/2
SIS-005,5,B,Boron,15,10.81,5,370.677083,stable,250,3/2
SIS-006,6,C,Carbon,18,12.011,6,444.812500,stable,248,0
SIS-007,7,N,Nitrogen,21,14.007,7,518.947917,stable,500,1
SIS-008,8,O,Oxygen,24,15.999,8,593.083333,stable,777,0
SIS-009,9,F,Fluorine,27,18.998,9,667.218750,stable,685,1/2
SIS-010,10,Ne,Neon,30,20.18,10,741.354167,stable,585,0
SIS-011,11,Na,Sodium,33,22.99,11,815.489583,stable,589,3/2
SIS-012,12,Mg,Magnesium,36,24.305,12,889.625000,stable,285,0
SIS-013,13,Al,Aluminium,40,26.982,13,963.885417,stable,396,5/2
SIS-014,14,Si,Silicon,43,28.085,14,1038.020833,stable,251,0
SIS-015,15,P,Phosphorus,46,30.974,15,1112.156250,stable,213,1/2
SIS-016,16,S,Sulfur,49,32.06,16,1186.291667,stable,469,0
SIS-017,17,Cl,Chlorine,52,35.45,17,1260.427083,stable,542,3/2
SIS-018,18,Ar,Argon,55,39.948,18,1334.562500,stable,696,0
SIS-019,19,K,Potassium,58,39.098,19,1408.697917,stable,766,3/2
SIS-020,20,Ca,Calcium,61,40.078,20,1482.833333,stable,423,0
SIS-021,21,Sc,Scandium,64,44.956,21,1556.968750,stable,391,7/2
SIS-022,22,Ti,Titanium,67,47.867,22,1631.104167,stable,365,0
SIS-023,23,V,Vanadium,70,50.942,23,1705.239583,stable,437,7/2
SIS-024,24,Cr,Chromium,74,51.996,24,1779.500000,stable,425,0
SIS-025,25,Mn,Manganese,79,54.938,25,1853.885417,stable,403,5/2
SIS-026,26,Fe,Iron,82,55.845,26,1928.020833,stable,372,0
SIS-027,27,Co,Cobalt,85,58.933,27,2002.156250,stable,345,7/2
SIS-028,28,Ni,Nickel,88,58.693,28,2076.291667,stable,352,0
SIS-029,29,Cu,Copper,91,63.546,29,2150.427083,stable,325,3/2
SIS-030,30,Zn,Zinc,95,65.38,30,2224.687500,stable,214,0
SIS-031,31,Ga,Gallium,98,69.723,31,2298.822917,stable,417,3/2
SIS-032,32,Ge,Germanium,101,72.63,32,2372.958333,stable,265,0
SIS-033,33,As,Arsenic,104,74.922,33,2447.093750,stable,235,3/2
SIS-034,34,Se,Selenium,107,78.971,34,2521.229167,stable,207,0
SIS-035,35,Br,Bromine,110,79.904,35,2595.364583,stable,478,3/2
SIS-036,36,Kr,Krypton,114,83.798,36,2669.625000,stable,557,0
SIS-037,37,Rb,Rubidium,120,85.468,37,2744.135417,stable,780,5/2
SIS-038,38,Sr,Strontium,123,87.62,38,2818.270833,stable,461,0
SIS-039,39,Y,Yttrium,126,88.906,39,2892.406250,stable,410,1/2
SIS-040,40,Zr,Zirconium,130,91.224,40,2966.666667,stable,360,0
SIS-041,41,Nb,Niobium,133,92.906,41,3040.802083,stable,405,9/2
SIS-042,42,Mo,Molybdenum,136,95.95,42,3114.937500,stable,313,0
SIS-043,43,Tc,Technetium,139,98.0,43,3189.072917,radioactive,363,9/2
SIS-044,44,Ru,Ruthenium,143,101.07,44,3263.333333,stable,349,5/2
SIS-045,45,Rh,Rhodium,146,102.91,45,3337.468750,stable,343,1/2
SIS-046,46,Pd,Palladium,149,106.42,46,3411.604167,stable,247,0
SIS-047,47,Ag,Silver,152,107.87,47,3485.739583,stable,328,1/2
SIS-048,48,Cd,Cadmium,156,112.41,48,3560.000000,stable,326,1/2
SIS-049,49,In,Indium,163,114.82,49,3634.635417,stable,451,9/2
SIS-050,50,Sn,Tin,166,118.71,50,3708.770833,stable,286,0
