census_index,assembly_template_id,opaque_token_id,disposition,template_class,structural_bucket,arity,partition_signature,component_labels,closure_depth,q_sign,q_abs,surface_sign,numeric_lane,dependency_class,M_native_source,M_native_fraction,M_native_fractional_digits,S_debit_or_credit_source,S_debit_or_credit_fraction,S_debit_or_credit_fractional_digits,M_observed_candidate_source,M_observed_candidate_fraction,M_observed_candidate_fractional_digits,qA_source_support_source,qA_source_support_fraction,qA_source_support_fractional_digits,tensor_carrier_support_source,tensor_carrier_support_fraction,tensor_carrier_support_fractional_digits,retained_write_support_source,retained_write_support_fraction,retained_write_support_fractional_digits,lift_excess_fraction,q_expected_fraction,rho_o_fraction,rho_q_fraction,rho_t_fraction,rho_r_fraction,rho_balance_fraction,raw_numeric_class_id,typed_raw_class_id,dependency_class_id,dependency_core_class_id,dependency_residual_subclass_id,scale_free_class_id,scale_lambda_fraction,scale_free_basis_q_preserved,membership_effect,particle_identity_assignment
26,TPL_e138a541b9cf2fe53c097a46,TOK_1057ef9e683332aa24c8c035,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,6+8+8,6|8|8,3,neutral,0,positive_debit,ZERO_FEE,LOCAL_R2_LIFT,5904,5904,0,3.630208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,1815104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,5900.369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,5900369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,5900.369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,5900369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,737.5462239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,3687731119791666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,5162.823567708333333333333333333333333333333333333333333333333333333333333333333333333333333333333334,2581411783854166666666666666666666666666666666666666666666666666666666666666666666666666666666666667/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,0,5900369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,167/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,1/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3/8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_e4b8051b788ccb41dd838b81,TYPEDRAW_d70ff5d9b330278b88dcc194,DEP_8d47b6a728194092e5a64f1c,DEPCORE_1ddba478d8ec28eeb05bdb5d,DEPRES_a1fbcb47e316d135212d657d,SHAPE_f5cd2498b4f4be3d15abbd87,5904,1|1815104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/2952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|5900369791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/5904000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|167/2952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1/236160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|1/15744000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,NONE,NONE
27,TPL_455002e038d432679393377e,TOK_106dea09d9dde05f332ce5d9,LEGAL_LOCAL_TEMPLATE,UNARY_CONJUGATE,ONE_BODY_CONJUGATE,1,9,9,0,positive,9,positive_debit,ACTIVE_LIFT,LOCAL_R2_LIFT,13.5,27/2,1,10.125,81/8,3,3.375,27/8,3,3.5859375,459/128,7,0.4482421875,459/1024,10,3.1376953125,3213/1024,10,27/128,459/128,0,0,0,0,0,RAWNUM_ddfbb5b5e1f87701ae5d31d9,TYPEDRAW_7cb550aa6dab1a7a272a2b00,DEP_d7945f77287c102a1654a0ba,DEPCORE_494340eb994e22beea17a306,DEPRES_73ca7a9ed16e954dab204089,SHAPE_f52c5242d548715ac179cc27,27/2,1|3/4|17/64|0|0|0,NONE,NONE
28,TPL_799a9189b5846009393d2799,TOK_106ee66b792f3f7952264242,REJECTED,UNORDERED_TRIAD,THREE_BODY_COLOR,3,9+9+12,9|9|12,0,neutral,0,positive_debit,ZERO_SUPPORT,ZERO_SUPPORT_NONLOCAL_OR_REJECTED,11016,11016,0,13770.00,13770,2,-2754.00,-2754,2,0,0,0,0,0,0,0,0,0,2754,0,0,0,0,0,0,RAWNUM_ace10b1b5e074b3a9d5df410,TYPEDRAW_562b32506f56a88731411156,DEP_a580a2c8b316932d53127569,DEPCORE_6ee0cdfcc1d7688b79a984d3,DEPRES_73ca7a9ed16e954dab204089,SHAPE_aca101b390433fda81ae9569,13770,4/5|1|0|0|0|0,NONE,NONE
29,TPL_d583169af4202d9990e1d277,TOK_1194830f6fd52263af2b5ee4,LEGAL_LOCAL_TEMPLATE,UNARY_DIRECT,ONE_BODY_DIRECT,1,6,6,0,neutral,0,zero_contact,ZERO_FEE,LOCAL_R2_LIFT,0.750,3/4,3,0,0,0,0.750,3/4,3,0.750,3/4,3,0.09375,3/32,5,0.65625,21/32,5,0,3/4,0,0,0,0,0,RAWNUM_99991b3c5b6dae2c6bc6a9c9,TYPEDRAW_66fd9fe00c7d7448b569d1e4,DEP_529ee4386802c854c2b742a5,DEPCORE_5d4cb1028f1838af8918ae6f,DEPRES_73ca7a9ed16e954dab204089,SHAPE_4a5a7e41bcde015a08457156,3/4,1|0|1|0|0|0,NONE,NONE
30,TPL_8e5f2ce5b23f91021304506a,TOK_12da1452e771bc64cfd3935c,LEGAL_LOCAL_TEMPLATE,ORDERED_PAIR,TWO_BODY_PAIR,2,2+8,2|8,3,negative,6,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,210,210,0,-0.09114583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333335,-1822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,101,210.0911458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,2100911458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,218.8449435763888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,2188449435763888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,27.35561794704861111111111111111111111111111111111111111111111111111111111111111111111111111111111111,2735561794704861111111111111111111111111111111111111111111111111111111111111111111111111111111111111/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,191.4893256293402777777777777777777777777777777777777777777777777777777777777777777777777777777777778,957446628146701388888888888888888888888888888888888888888888888888888888888888888888888888888888889/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,21884494357638888888888888888888888888888888888888888888888888888888888888888888888888888888888889/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2100911458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333/9600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-667/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,11/240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_8549d97538aeb39e7aebbdae,TYPEDRAW_9988ec11e1db9893937ca8a1,DEP_4a0c359013ba6b86ce68f8eb,DEPCORE_fb9b4f9678ccbf9e51d99d82,DEPRES_20783334513791f8144f7620,SHAPE_43b94367833e4e817cf43c8f,2188449435763888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/2188449435763888888888888888888888888888888888888888888888888888888888888888888888888888888888888889|-1822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/4376898871527777777777777777777777777777777777777777777777777777777777777777777777777777777777777778000|1|-667/4376898871527777777777777777777777777777777777777777777777777777777777777777777777777777777777777778000|-1/87537977430555555555555555555555555555555555555555555555555555555555555555555555555555555555555555560|1/17507595486111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112,NONE,NONE
31,TPL_5b749944892837dd61fae82e,TOK_1345864ec09dba3f42a2bb35,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,1+6+9,1|6|9,3,negative,5,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,4248,4248,0,-1.177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,-1177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,4249.177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889,4249177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,4396.718852478780864197530864197530864197530864197530864197530864197530864197530864197530864197530863,4396718852478780864197530864197530864197530864197530864197530864197530864197530864197530864197530863/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,549.5898565598476080246913580246913580246913580246913580246913580246913580246913580246913580246913579,5495898565598476080246913580246913580246913580246913580246913580246913580246913580246913580246913579/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,3847.128995918933256172839506172839506172839506172839506172839506172839506172839506172839506172839505,769425799183786651234567901234567901234567901234567901234567901234567901234567901234567901234567901/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,73770450544945987654320987654320987654320987654320987654320987654320987654320987654320987654320987/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,70347501639660493827160493827160493827160493827160493827160493827160493827160493827160493827160493829/16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,111/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-21/16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_79f4f2729dd9548fdf4ceef2,TYPEDRAW_e591863368a1fa07e3fa7897,DEP_032e5475f03a828965fd5ccb,DEPCORE_eeade9cd2c8c700ca410734f,DEPRES_3afa11f2ce1030379d204332,SHAPE_6873f692af0110b0102fcbca,4396718852478780864197530864197530864197530864197530864197530864197530864197530864197530864197530863/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4248000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/4396718852478780864197530864197530864197530864197530864197530864197530864197530864197530864197530863|-1177951388888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889/4396718852478780864197530864197530864197530864197530864197530864197530864197530864197530864197530863000|1|111/4396718852478780864197530864197530864197530864197530864197530864197530864197530864197530864197530863000|1/175868754099151234567901234567901234567901234567901234567901234567901234567901234567901234567901234520|-1/35173750819830246913580246913580246913580246913580246913580246913580246913580246913580246913580246904,NONE,NONE
32,TPL_fbe5076b3e6f59aa113aad68,TOK_1385f2f750fd057597ad27ba,LEGAL_LOCAL_TEMPLATE,ORDERED_PAIR,TWO_BODY_PAIR,2,3+1,3|1,3,positive,2,positive_debit,ACTIVE_LIFT,LOCAL_R2_LIFT,42,42,0,0.01012731481481481481481481481481481481481481481481481481481481481481481481481481481481481481481481482,506365740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740741/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,101,41.98987268518518518518518518518518518518518518518518518518518518518518518518518518518518518518518519,4198987268518518518518518518518518518518518518518518518518518518518518518518518518518518518518518519/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,42.57306536136831275720164609053497942386831275720164609053497942386831275720164609053497942386831277,4257306536136831275720164609053497942386831275720164609053497942386831275720164609053497942386831277/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,5.321633170171039094650205761316872427983539094650205761316872427983539094650205761316872427983539096,665204146271379886831275720164609053497942386831275720164609053497942386831275720164609053497942387/125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,37.25143219119727366255144032921810699588477366255144032921810699588477366255144032921810699588477368,465642902389965920781893004115226337448559670781893004115226337448559670781893004115226337448559671/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,29159633809156378600823045267489711934156378600823045267489711934156378600823045267489711934156379/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,102175356867283950617283950617283950617283950617283950617283950617283950617283950617283950617283950629/2400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,241/50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,19/2400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_f99b5c3e7eabd21211dd0b96,TYPEDRAW_21441f46ec277a88740d348b,DEP_770d728e7908d910e567968c,DEPCORE_d3519cc6dd3c1a81001caf3c,DEPRES_9c3f82e4108858b3e08e402e,SHAPE_680ff9f3e84e6d938d450949,4257306536136831275720164609053497942386831275720164609053497942386831275720164609053497942386831277/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/4257306536136831275720164609053497942386831275720164609053497942386831275720164609053497942386831277|506365740740740740740740740740740740740740740740740740740740740740740740740740740740740740740740741/2128653268068415637860082304526748971193415637860082304526748971193415637860082304526748971193415638500|1|241/2128653268068415637860082304526748971193415637860082304526748971193415637860082304526748971193415638500|-1/170292261445473251028806584362139917695473251028806584362139917695473251028806584362139917695473251080|5/34058452289094650205761316872427983539094650205761316872427983539094650205761316872427983539094650216,NONE,NONE
33,TPL_74a4063238305e1f612af188,TOK_1399fec107d2987eee897d14,LEGAL_LOCAL_TEMPLATE,ORDERED_PAIR,TWO_BODY_PAIR,2,4+9,4|9,3,negative,5,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,447,447,0,-0.1239510995370370370370370370370370370370370370370370370370370370370370370370370370370370370370370371,-1239510995370370370370370370370370370370370370370370370370370370370370370370370370370370370370370371/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100,447.1239510995370370370370370370370370370370370370370370370370370370370370370370370370370370370370370,447123951099537037037037037037037037037037037037037037037037037037037037037037037037037037037037037/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,462.6490882904931841563786008230452674897119341563786008230452674897119341563786008230452674897119340,231324544145246592078189300411522633744855967078189300411522633744855967078189300411522633744855967/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,57.83113603631164801954732510288065843621399176954732510288065843621399176954732510288065843621399175,231324544145246592078189300411522633744855967078189300411522633744855967078189300411522633744855967/4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,404.8179522541815361368312757201646090534979423868312757201646090534979423868312757201646090534979422,2024089761270907680684156378600823045267489711934156378600823045267489711934156378600823045267489711/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,15525137190956147119341563786008230452674897119341563786008230452674897119341563786008230452674897/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,66621468713831018518518518518518518518518518518518518518518518518518518518518518518518518518518518513/144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-371/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-17/144000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_fd1d19d7e65747bf4bd16cf1,TYPEDRAW_3da3487bb730901d05cf7cc6,DEP_92f183c908cc6a5a569a2c09,DEPCORE_75664a4405a356ae188f9d88,DEPRES_81213069647e3e1be0cd5729,SHAPE_3e03fc47d7c7fed449359db0,231324544145246592078189300411522633744855967078189300411522633744855967078189300411522633744855967/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,74500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/77108181381748864026063100137174211248285322359396433470507544581618655692729766803840877914951989|-413170331790123456790123456790123456790123456790123456790123456790123456790123456790123456790123457/1542163627634977280521262002743484224965706447187928669410150891632373113854595336076817558299039780000|1|-53/660927268986418834509112286890064667842445620223398001175778953556731334509112286890064667842445620000|0|-1/9252981765809863683127572016460905349794238683127572016460905349794238683127572016460905349794238680,NONE,NONE
34,TPL_15fcd6c5cca0ad61c791d65e,TOK_140fe0ef36174d538b4efdd5,LEGAL_LOCAL_TEMPLATE,UNARY_DIRECT,ONE_BODY_DIRECT,1,2,2,2,neutral,0,zero_contact,ZERO_FEE,LOCAL_R2_LIFT,36.000,36,3,0,0,0,36.000,36,3,36.000,36,3,4.500,9/2,3,31.500,63/2,3,0,36,0,0,0,0,0,RAWNUM_84f380e09d0a06d90a158599,TYPEDRAW_69fb45db4d44eaf25d9929f9,DEP_db98c3341dadb3eed62a3fe7,DEPCORE_c16fc35742d20446b600c61b,DEPRES_73ca7a9ed16e954dab204089,SHAPE_4a5a7e41bcde015a08457156,36,1|0|1|0|0|0,NONE,NONE
35,TPL_5047c569797686dcc05323e1,TOK_141592d087781df4b8d1dd05,LEGAL_LOCAL_TEMPLATE,UNARY_DIRECT,ONE_BODY_DIRECT,1,3,3,0,positive,3,zero_contact,ACTIVE_LIFT,LOCAL_R2_LIFT,3.75,15/4,2,0,0,0,3.75,15/4,2,3.828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,0.4785156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4785156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100,3.349609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3349609374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,78124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,245/64,0,-1/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_e25f7738ac66a2651a1779f2,TYPEDRAW_eb338bd7acd176a8d6a1e6b5,DEP_d4e43cd4fe65a6325ca68a5a,DEPCORE_498e91eea8b5e2fc40e48a82,DEPRES_af6c8ca56ec078e21e0fbf31,SHAPE_d069fa5a776e04bcfdaac43d,3828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/3828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999|0|1|0|1/153124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999960|-1/30624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999992,NONE,NONE
36,TPL_ef2ca78f4956c41b1a3af7dc,TOK_14a54b49e2f4549c007b00dd,LEGAL_LOCAL_TEMPLATE,UNARY_CONJUGATE,ONE_BODY_CONJUGATE,1,6,6,2,positive,6,positive_debit,ACTIVE_LIFT,LOCAL_R2_LIFT,1296.0,1296,1,4.50,9/2,2,1291.50,2583/2,2,1345.312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,21525/16,96,168.164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,21525/128,96,1177.148437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,150675/128,96,861/16,21525/16,0,0,0,0,0,RAWNUM_6d52ff9376a238fd73d4c329,TYPEDRAW_c0aebfc27b412a81afda88a1,DEP_6e7571b34e662c5cbb432f73,DEPCORE_da8903395c83de77bcab0464,DEPRES_73ca7a9ed16e954dab204089,SHAPE_8cc0a63fa4f3f7c0ecf567be,21525/16,6912/7175|24/7175|1|0|0|0,NONE,NONE
37,TPL_e62316fba9fd81f8638f4edf,TOK_15e2bee1eed8074d5771eacd,LEGAL_LOCAL_TEMPLATE,UNORDERED_TRIAD,THREE_BODY_COLOR,3,3+6+8,3|6|8,3,negative,1,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,3924,3924,0,-0.3311631944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444443,-3311631944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444443/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100,3924.331163194444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,981082790798611111111111111111111111111111111111111111111111111111111111111111111111111111111111111/250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,3951.583462938850308641975308641975308641975308641975308641975308641975308641975308641975308641975306,1975791731469425154320987654320987654320987654320987654320987654320987654320987654320987654320987653/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,493.9479328673562885802469135802469135802469135802469135802469135802469135802469135802469135802469132,1234869832168390721450617283950617283950617283950617283950617283950617283950617283950617283950617283/2500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,97,3457.635530071494020061728395061728395061728395061728395061728395061728395061728395061728395061728392,432204441258936752507716049382716049382716049382716049382716049382716049382716049382716049382716049/125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,96,13626149872202932098765432098765432098765432098765432098765432098765432098765432098765432098765431/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28451400933159722222222222222222222222222222222222222222222222222222222222222222222222222222222222219/7200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-4443/10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-79/36000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1/20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-3/4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/1250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_4091ad523be4e965d4e79610,TYPEDRAW_8a9e3eb97220cd97648a1a1b,DEP_cf5c3c417bc77556200a046c,DEPCORE_13615e51d504f1516005383d,DEPRES_d7001283df3c50d99dcfadb6,SHAPE_9db1d866e3c6a72ed869b197,1975791731469425154320987654320987654320987654320987654320987654320987654320987654320987654320987653/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1962000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/1975791731469425154320987654320987654320987654320987654320987654320987654320987654320987654320987653|-3311631944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444443/39515834629388503086419753086419753086419753086419753086419753086419753086419753086419753086419753060000|1|-4443/39515834629388503086419753086419753086419753086419753086419753086419753086419753086419753086419753060000|-1/79031669258777006172839506172839506172839506172839506172839506172839506172839506172839506172839506120|-3/15806333851755401234567901234567901234567901234567901234567901234567901234567901234567901234567901224,NONE,NONE
38,TPL_0350929040a21ba95d891e35,TOK_160174dd27c1be1aa1dead1a,LEGAL_LOCAL_TEMPLATE,UNARY_CONJUGATE,ONE_BODY_CONJUGATE,1,8,8,0,negative,8,negative_credit,ACTIVE_LIFT,LOCAL_R2_LIFT,10.00,10,2,-6.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,-6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,16.66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,17.59259259259259259259259259259259259259259259259259259259259259259259259259259259259259259259259260,87962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962963/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,2.199074074074074074074074074074074074074074074074074074074074074074074074074074074074074074074074075,87962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962963/40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99,15.39351851851851851851851851851851851851851851851851851851851851851851851851851851851851851851851852,384837962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962963/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,98,92592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592593/100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,31666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666673/1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3/1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7/1800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,-1/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1/200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,RAWNUM_a9c2add25a15ccd0ebac3fcd,TYPEDRAW_9d5ad2d74a7e0d68508eec79,DEP_b78adbc6c790e9c101f672a7,DEPCORE_baeb770c3e6b31a88456f75f,DEPRES_73314dc0293a95fb843dcb76,SHAPE_510e59780975641605e49bfd,87962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962963/5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000/87962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962962963|-6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667/17592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592600|1|3/17592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592592600|0|-1/3518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518518520,NONE,NONE
