consumer,candidate_id,id_column,present_in_consumer,descriptor_payload,behavior_payload
CR132_verification,QP093A-0301,candidate_id,yes,operator_class=ROAD_LIGHT_CARRIER|spin_class=transverse_vector,M_native_observed=0|M_native_predicted=0|S_debit_observed=0|S_debit_zero=True|diff=0|lattice_i=massless|lattice_j=massless|match=True|partition=1|structural=0 (massless)
CR132_verification,QP093A-0305,candidate_id,yes,operator_class=A_FIELD_CARRIER|spin_class=environmental_A_support,M_native_observed=0|M_native_predicted=0|S_debit_observed=0|S_debit_zero=True|diff=0|lattice_i=massless|lattice_j=massless|match=True|partition=1|structural=0 (massless)
CR124_crosswalk,QP093A-0301,candidate_id,yes,operator_class=ROAD_LIGHT_CARRIER,M_observed_signed_MeV=0.0|M_sam_abs_MeV=0.0|anchor_class_crosswalk=GAP_REGION|cern_reach=IN_REACH|cr124_new_window_matches=|known_identity_label=|mass_band=B0_sub_1MeV|nearest_anchor_M_MeV=-0.273|nearest_anchor_experiment=LHCb|nearest_anchor_id=EXO003|nearest_anchor_observable=Tcc+(3875) mass relative to D*+ D0 threshold|rel_dist=0.273|route_class=carrier_only|vault_reveal_status=NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL
CR124_crosswalk,QP093A-0305,candidate_id,yes,operator_class=A_FIELD_CARRIER,M_observed_signed_MeV=0.0|M_sam_abs_MeV=0.0|anchor_class_crosswalk=GAP_REGION|cern_reach=IN_REACH|cr124_new_window_matches=|known_identity_label=|mass_band=B0_sub_1MeV|nearest_anchor_M_MeV=-0.273|nearest_anchor_experiment=LHCb|nearest_anchor_id=EXO003|nearest_anchor_observable=Tcc+(3875) mass relative to D*+ D0 threshold|rel_dist=0.273|route_class=carrier_only|vault_reveal_status=NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL
CR119_vault_identity_assignments,QP093A-0301,row_id,yes,native_identity=QP093A-0301|carrier_only_rows|ROAD_LIGHT_CARRIER|carrier_only|p=1|d=3|q=neutral:0|vault_identity=QP093A-0301|carrier_only_rows|ROAD_LIGHT_CARRIER|carrier_only|p=1|d=3|q=neutral:0,identity_assignment_status=NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL|known_identity_label=|known_label_used_as_construction_input=no|known_name=|known_symbol=|layer=particle|matter_row_allowed=no|promotion_status=REJECT_MATTER_PROMOTION_CARRIER_ONLY|qA_source_support=0|retained_write_support=0|source_known_match=|tensor_carrier_support=0
CR119_vault_identity_assignments,QP093A-0305,row_id,yes,native_identity=QP093A-0305|carrier_only_rows|A_FIELD_CARRIER|carrier_only|p=1|d=3|q=neutral:0|vault_identity=QP093A-0305|carrier_only_rows|A_FIELD_CARRIER|carrier_only|p=1|d=3|q=neutral:0,identity_assignment_status=NATIVE_PARTICLE_IDENTITY_ASSIGNED_NO_KNOWN_LABEL|known_identity_label=|known_label_used_as_construction_input=no|known_name=|known_symbol=|layer=particle|matter_row_allowed=no|promotion_status=REJECT_MATTER_PROMOTION_CARRIER_ONLY|qA_source_support=0|retained_write_support=0|source_known_match=|tensor_carrier_support=0
CR060a_alphabet,QP093A-0301,candidate_id,yes,operator_class=ROAD_LIGHT_CARRIER,M_native=0|closure_depth=3|partition=1|q_abs=0|q_sign=neutral|role=1-body boson carrier (gauge/substrate-field broadcast)|stability_status=CARRIER_ONLY_NOT_MATTER|tier=1body_carrier
CR060a_alphabet,QP093A-0305,candidate_id,yes,operator_class=A_FIELD_CARRIER,M_native=0|closure_depth=3|partition=1|q_abs=0|q_sign=neutral|role=1-body boson carrier (gauge/substrate-field broadcast)|stability_status=CARRIER_ONLY_NOT_MATTER|tier=1body_carrier
