sample,x_plus,y_plus,radius,signed_quadrupole_second_difference
1,0,1,1,8
2,-1,0,1,-8
3,0,-1,1,8
4,1,0,1,-8
5,0,1,1,8
6,-1,0,1,-8
7,0,-1,1,8
8,1,0,1,-8
9,0,1,1,8
10,-1,0,1,-8
11,0,-1,1,8
12,1,0,1,-8
13,0,1,1,8
14,-1,0,1,-8
15,0,-1,1,8
16,1,0,1,-8
17,0,1,1,8
18,-1,0,1,-8
19,0,-1,1,8
20,1,0,1,-8
21,0,1,1,8
22,-1,0,1,-8
23,0,-1,1,8
24,1,0,1,-8
25,0,1,1,8
26,-1,0,1,-8
27,0,-1,1,8
28,1,0,1,-65793/8192
29,0,129/128,129/128,66827/8192
30,-131/128,0,131/128,-68919/8192
31,0,-67/64,67/64,71569/8192
32,17/16,0,17/16,-9113/1024
33,0,67/64,67/64,71569/8192
34,-131/128,0,131/128,-68919/8192
35,0,-129/128,129/128,66827/8192
36,1,0,1,-65793/8192
37,0,1,1,8
38,-1,0,1,-8
39,0,-1,1,8
40,1,0,1,-8
41,0,1,1,8
42,-1,0,1,-8
43,0,-1,1,8
44,1,0,1,-65793/8192
45,0,129/128,129/128,66827/8192
46,-131/128,0,131/128,-68919/8192
47,0,-67/64,67/64,71569/8192
48,17/16,0,17/16,-9113/1024
49,0,67/64,67/64,71569/8192
50,-131/128,0,131/128,-68919/8192
51,0,-129/128,129/128,66827/8192
52,1,0,1,-65793/8192
53,0,1,1,8
54,-1,0,1,-8
55,0,-1,1,8
56,1,0,1,-8
57,0,1,1,8
58,-1,0,1,-8
59,0,-1,1,8
60,1,0,1,-65793/8192
61,0,129/128,129/128,66827/8192
62,-131/128,0,131/128,-68919/8192
63,0,-67/64,67/64,71569/8192
64,17/16,0,17/16,-9113/1024
65,0,67/64,67/64,71569/8192
66,-131/128,0,131/128,-68919/8192
67,0,-129/128,129/128,66827/8192
68,1,0,1,-65793/8192
69,0,1,1,8
70,-1,0,1,-8
71,0,-1,1,8
72,1,0,1,-8
73,0,1,1,8
74,-1,0,1,-8
75,0,-1,1,8
76,1,0,1,-65793/8192
77,0,129/128,129/128,66827/8192
78,-131/128,0,131/128,-68919/8192
79,0,-67/64,67/64,71569/8192
