label,Z,off_substrate_atom
H,1,True
B,5,True
N,7,True
Ne,10,True
Na,11,True
Al,13,True
Si,14,True
P,15,True
Cl,17,True
K,19,True
Ca,20,True
Fe,26,True
Sn,50,True
Au,79,True
Pb,82,True
Rn,86,True
U,92,True
Og,118,True
