Z,symbol,hh_gravity,cr119_qA,qA_match,hh_graviton,cr119_tensor_carrier,graviton_match,gravity_over_8_match,known_label_status
1,H,74.135417,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,True,9.266927,9.26692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,KNOWN_Z_DOWNSTREAM
2,He,148.270833,148.2708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,18.533854,18.53385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
3,Li,222.406250,222.4062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,27.800781,27.80078124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
4,Be,296.541667,296.5416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,37.067708,37.06770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
5,B,370.677083,370.6770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,46.334635,46.33463541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,True,KNOWN_Z_DOWNSTREAM
6,C,444.812500,444.8124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,True,55.601562,55.60156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,True,True,KNOWN_Z_DOWNSTREAM
7,N,518.947917,518.9479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,64.868490,64.86848958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,True,True,KNOWN_Z_DOWNSTREAM
8,O,593.083333,593.0833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,True,74.135417,74.13541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,True,True,KNOWN_Z_DOWNSTREAM
9,F,667.218750,667.2187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,True,83.402344,83.40234374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,True,True,KNOWN_Z_DOWNSTREAM
10,Ne,741.354167,741.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,True,92.669271,92.6692708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,KNOWN_Z_DOWNSTREAM
11,Na,815.489583,815.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333330,True,101.936198,101.9361979166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
12,Mg,889.625000,889.6249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997,True,111.203125,111.2031250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,True,KNOWN_Z_DOWNSTREAM
13,Al,963.885417,963.8854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666663,True,120.485677,120.4856770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,KNOWN_Z_DOWNSTREAM
14,Si,1038.020833,1038.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,129.752604,129.7526041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
15,P,1112.156250,1112.156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,139.019531,139.019531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,True,KNOWN_Z_DOWNSTREAM
16,S,1186.291667,1186.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,148.286458,148.2864583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
17,Cl,1260.427083,1260.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,157.553385,157.5533854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
18,Ar,1334.562500,1334.562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,166.820312,166.820312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,True,KNOWN_Z_DOWNSTREAM
19,K,1408.697917,1408.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,176.087240,176.0872395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
20,Ca,1482.833333,1482.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,185.354167,185.3541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
21,Sc,1556.968750,1556.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,194.621094,194.6210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
22,Ti,1631.104167,1631.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,203.888021,203.8880208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
23,V,1705.239583,1705.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,213.154948,213.1549479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
24,Cr,1779.500000,1779.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,222.437500,222.4374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
25,Mn,1853.885417,1853.885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,231.735677,231.7356770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
26,Fe,1928.020833,1928.020833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,241.002604,241.0026041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
27,Co,2002.156250,2002.156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,250.269531,250.2695312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
28,Ni,2076.291667,2076.291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,259.536458,259.5364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
29,Cu,2150.427083,2150.427083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,268.803385,268.8033854166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,True,KNOWN_Z_DOWNSTREAM
30,Zn,2224.687500,2224.687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,278.085938,278.0859374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
31,Ga,2298.822917,2298.822916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,287.352865,287.3528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
32,Ge,2372.958333,2372.958333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,296.619792,296.6197916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,True,KNOWN_Z_DOWNSTREAM
33,As,2447.093750,2447.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,305.886719,305.8867187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
34,Se,2521.229167,2521.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,315.153646,315.1536458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
35,Br,2595.364583,2595.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,324.420573,324.4205729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,True,KNOWN_Z_DOWNSTREAM
36,Kr,2669.625000,2669.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,333.703125,333.7031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
37,Rb,2744.135417,2744.135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,343.016927,343.0169270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
38,Sr,2818.270833,2818.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,352.283854,352.2838541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,True,KNOWN_Z_DOWNSTREAM
39,Y,2892.406250,2892.406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,361.550781,361.5507812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
40,Zr,2966.666667,2966.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,370.833333,370.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
41,Nb,3040.802083,3040.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,380.100260,380.1002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,True,KNOWN_Z_DOWNSTREAM
42,Mo,3114.937500,3114.937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,389.367188,389.3671874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
43,Tc,3189.072917,3189.072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,True,398.634115,398.6341145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,True,KNOWN_Z_DOWNSTREAM
44,Ru,3263.333333,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,True,407.916667,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,True,True,KNOWN_Z_DOWNSTREAM
45,Rh,3337.468750,3337.468749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,417.183594,417.1835937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,True,True,KNOWN_Z_DOWNSTREAM
