galaxy,n_points,R_outer_kpc,rho_half,rho_90,c_SAM,f_halo_inner,f_halo_outer,slope_outer_log_X_log_r,M_halo_outer_measured,M_halo_outer_sealed_X_inf,Vbar_outer_kms,Vobs_outer_kms,config
CamB,9,1.79,0.858476756658194,,1.1648539022683804,0.0,0.6066875819905447,6.174821208002233,102011679.27252607,210304986.20757008,12.60563961090432,20.1,late_saturating_halo
D512-2,4,3.83,1.0,1.0,1.0,0.7579991800308918,0.792792343324462,0.25949153208793124,909885540.7344028,756241028.8101821,16.3417043174817,35.9,late_saturating_halo
D564-8,6,3.07,1.0,0.30380260366039347,1.0,0.5575895770831848,0.87388344,0.9962730265646025,389862575.7107217,178919334.60825735,8.878223358307675,25.0,late_saturating_halo
D631-7,16,7.19,0.24362317310570233,0.4438335891395683,4.104699841365762,0.0,0.898685738999601,1.6451823830332837,4932710524.284395,1768379536.24233,18.238533384019668,57.3,early_saturating_halo
DDO064,14,2.98,1.0,1.0,1.0,0.9837251447650774,0.7092207482235486,-0.5787589979063505,1080893803.6369045,1409263258.8405714,25.290333133432625,46.9,late_saturating_halo
DDO154,12,5.92,1.0,0.19171016757825898,1.0,0.5286932892249528,0.8723809201787224,0.6242872600868262,2485938062.410048,1156450036.6294577,16.25433480644471,45.5,late_saturating_halo
DDO161,31,13.37,0.07034171955556281,0.5275792756734403,14.216314390922753,0.5087248046875,0.8018543054694097,0.9859770010447498,10891042103.764084,8558265032.630303,29.423462576658103,66.1,early_saturating_halo
DDO168,10,4.12,0.29170581093928655,0.5102026271108593,3.4281113453997407,0.366012,0.7592100406804734,0.5731335107211668,1966552258.475532,1983394213.940771,25.51658382307475,52.0,early_saturating_halo
DDO170,8,12.33,1.0,1.0,1.0,0.6861936816588252,0.8106253941749982,0.512218569161626,8990910942.916733,6679321577.170877,27.067693843399365,62.2,late_saturating_halo
ESO079-G014,15,16.67,0.09410541080140539,0.3449671531336564,10.626381538361722,0.6153874383074468,0.7047094258931953,-0.021451310160506436,86541681693.29283,115316633132.85567,96.72634878873492,178.0,early_saturating_halo
ESO116-G012,15,9.86,1.0,0.2668808362815191,1.0,0.6563355921338797,0.82365390625,0.5175621071251177,23686307771.146107,16126702325.768272,47.032811950807286,112.0,late_saturating_halo
ESO444-G084,7,4.44,1.0,1.0,1.0,0.8339868314969094,0.9376329525422953,1.4097891174224513,3805314526.9256983,804896430.6716486,15.658318875281598,62.7,late_saturating_halo
ESO563-G021,30,42.41,0.09522985169348294,0.6972038408281751,10.500908929467911,0.0,0.7808388791296844,1.3675238541241759,749511904559.384,668971688946.1927,146.0616998052535,312.0,early_saturating_halo
F561-1,6,9.66,0.2655504489732335,,3.7657627914641423,0.20299117904887132,0.18182146006550765,-2.2730432267497784,1037344444.7802904,14844071883.09451,45.588423969249035,50.4,early_saturating_halo
F563-1,17,20.1,1.0,0.06032037045622089,1.0,0.6491361765729612,0.8671717648629406,-0.02350184337254975,45535757129.3052,22180174344.47594,38.63234460914843,106.0,late_saturating_halo
F563-V1,6,7.87,0.6081590784983201,,1.6443066219930849,0.42446249999999996,0.0889810006842975,-4.163164296125107,121349211.09718661,3950883520.257342,26.057117070006036,27.3,intermediate
F563-V2,10,10.47,1.0,1.0,1.0,0.8570249276181061,0.8362935147945992,-0.23164591431134515,28347128380.505527,17645880989.10696,47.743576531298956,118.0,late_saturating_halo
F565-V2,7,8.8,1.0,1.0,1.0,0.7930089829896578,0.8683065942038429,-0.4404825753756914,12268669411.82215,5917189996.34961,30.156646033668927,83.1,late_saturating_halo
F567-2,5,9.59,1.0,0.20846577120588103,1.0,0.6786214950042149,0.5842839763068658,-1.65157196162274,3549958161.5286074,8031989704.116107,33.65649491554342,52.2,late_saturating_halo
F568-1,12,13.23,1.0,1.0,1.0,0.7126560915250112,0.8266361386629637,-0.7134591654568487,51273216889.6815,34194941864.735607,59.124520294037055,142.0,late_saturating_halo
F568-3,18,17.98,1.0,0.11177258950442169,1.0,0.3930202913631634,0.8111089965277778,0.3713077947880226,48828236933.346664,36160149601.219284,52.15391116685306,120.0,late_saturating_halo
F568-V1,15,17.63,1.0,1.0,1.0,0.7562453758752806,0.8673780451019822,-0.08852973306296152,49506747780.585976,24071243021.021133,42.9724109167731,118.0,late_saturating_halo
F571-8,13,15.55,0.2619065519839498,0.34426337591744927,3.818155721668552,0.0,0.9197781225887346,1.1421102614707486,68956958593.0652,19125595409.26223,40.78579225661799,144.0,early_saturating_halo
F571-V1,7,13.59,1.0,0.1834765229999778,1.0,0.66277470703125,0.8319856631639062,0.36520085502797167,18505416589.04744,11883831512.131155,34.39023407887768,83.9,late_saturating_halo
F574-1,14,12.6,1.0,0.11737792295074222,1.0,0.6393158614208211,0.7826258665666006,-0.6313834099902442,22790544682.404423,20129616024.190228,46.48352880322233,99.7,late_saturating_halo
F574-2,5,10.83,0.38369855962830696,,2.6062125460379915,0.0,0.09179993749999994,0.1428053411698618,369854127.84736234,11635812972.589523,38.11981243395618,40.0,baryon_dominated_inner_closure
F579-V1,14,15.16,1.0,1.0,1.0,0.9093472290877136,0.7605252346875961,0.06500859079751839,34838719015.74318,34884734787.205505,55.7872212070112,114.0,late_saturating_halo
F583-1,25,16.26,0.04169482803202937,0.02660343809070181,23.983790009442284,0.9411155939200601,0.7676826698942084,-0.7979346312559327,21365669148.38953,20560964829.196613,41.35500634747866,85.8,early_saturating_halo
F583-4,12,7.29,1.0,1.0,1.0,0.8616040702244737,0.8121105564663191,0.6141543324016455,6725687444.517558,4948243072.126597,30.299004934155843,69.9,late_saturating_halo
IC2574,34,10.23,1.0,0.21622396228568408,1.0,0.56655622584598,0.7749268916323732,0.5085849402282542,8398148635.870084,7756638534.772876,32.023262638275945,67.5,late_saturating_halo
IC4202,32,25.9,0.21000158135918284,,4.761868903689913,0.0,0.6407952985625072,0.9797311379020412,235425029024.78784,419664707740.0038,148.0362105364765,247.0,early_saturating_halo
KK98-251,15,3.13,1.0,,1.0,0.57679723183391,0.6745927379364591,0.5900441291862167,574219394.1514704,880826872.5200015,19.5092119266771,34.2,late_saturating_halo
NGC0024,29,11.27,1.0,0.04238710487707404,1.0,0.4241929250891794,0.8989196983471075,1.5939003639659515,28501638607.759758,10191604947.71804,34.97244129310963,110.0,late_saturating_halo
NGC0055,21,13.5,0.15088168519754397,0.840646225384141,6.627709643425151,0.31473309133290434,0.6950606969828594,0.41629976866851115,16324066685.887407,22774358462.046406,47.766432774491335,86.5,early_saturating_halo
NGC0100,21,9.62,0.09540871583125946,0.39786262703431713,10.481222719406551,0.007789572646255257,0.8469884844375193,1.1946400783464377,15757303491.121649,9052231058.44112,35.674418005063515,91.2,early_saturating_halo
NGC0247,26,14.54,1.0,1.0,1.0,0.7876531958969561,0.7969221154685998,0.388545242617973,30845192599.24062,24995472906.812748,48.218655103600724,107.0,late_saturating_halo
NGC0289,28,71.12,0.024949316323822503,0.3896396069705813,40.081258621309956,0.4034670266954193,0.8150598567493113,0.5798475231434471,366934701528.7463,264763181665.42435,70.9577014847578,165.0,early_saturating_halo
NGC0300,25,11.8,1.0,0.13041786523184645,1.0,0.5465948649610719,0.8751127398553005,0.9899042673550683,20989828043.36757,9525551562.483288,33.04233118289325,93.5,late_saturating_halo
NGC0801,13,59.82,0.28718691698000604,,3.48205277077305,0.0,0.635856606867284,1.3270545903123914,412622346514.34235,751437926582.1747,130.34367706183528,216.0,early_saturating_halo
NGC0891,18,17.11,0.6889310785919744,,1.45152400737064,0.03467636459931347,0.49097445844119836,1.5228906389944203,84503602627.51373,278601223542.48145,148.3997339283329,208.0,rising_edge_halo
NGC1003,36,30.24,0.06490581975674681,0.22698398916437382,15.40693891160742,0.26321290176550477,0.8568403062381853,0.9869627975480989,79674069588.06393,42331630196.92113,43.51191733307095,115.0,early_saturating_halo
NGC1090,24,30.09,0.13575661824779034,,7.366123382469249,0.0,0.67234351953125,1.0042392868459242,120418446902.86476,186615486059.5967,91.5860573449911,160.0,early_saturating_halo
NGC1705,14,6.0,1.0,1.0,1.0,0.7682444723099633,0.922982463690156,0.7023750335744734,6582584290.301355,1746705634.8540196,19.842703948806978,71.5,late_saturating_halo
NGC2366,26,6.06,0.04708407096569445,0.4040414918110934,21.23860531789195,0.5697477324263038,0.6825178047501188,-0.36323300873791325,2346822009.528216,3471463968.364835,27.83470585438258,49.4,early_saturating_halo
NGC2403,73,20.87,1.0,0.2988378134977629,1.0,0.5512668887963348,0.852626567721096,1.150027765551766,74290033157.05283,40833631885.463776,51.44159163556275,134.0,late_saturating_halo
NGC2683,11,34.62,0.18854785251063175,0.7537037289005668,5.303693394989012,0.25907407323423215,0.7602181505197141,0.8443288683304601,139527186760.7088,139947140503.06097,73.94096259854885,151.0,early_saturating_halo
NGC2841,50,63.64,0.05673287741403507,0.30558092656931757,17.62646362358859,0.34131572668513394,0.8636584360683048,0.9588049157103461,1104603707613.319,554523388558.7898,108.55790814123125,294.0,early_saturating_halo
NGC2903,34,24.96,0.3025283313164371,0.7422332249666748,3.305475542236158,0.0,0.7499743194444445,1.1903047139576837,141018350077.54175,149499924931.75632,90.00462238129772,180.0,rising_edge_halo
NGC2915,30,10.04,0.12161225012986016,0.1570455860971393,8.222855830166605,0.0,0.9284589461726085,0.08275286847917243,16216916414.898243,3973635493.4095335,23.1362929182702,86.5,early_saturating_halo
NGC2955,24,35.43,0.40607453918520636,,2.4626020680994,0.2979627614579322,0.4629108304061791,0.27512407207809736,196498777964.98883,724996695244.2782,166.36005476075078,227.0,intermediate
NGC2976,27,2.27,0.1508071281864006,,6.630986293724659,0.0,0.504689977721551,0.34271055447834775,1938153836.9786856,6048780159.914995,60.03266027755225,85.3,early_saturating_halo
NGC2998,13,42.28,1.0,0.030622649133676464,1.0,0.8774324938271606,0.6939590756873498,0.6855450270152679,281125706367.7222,394251473097.2469,112.30156031863494,203.0,late_saturating_halo
NGC3109,25,6.45,1.0,1.0,1.0,0.869277076054824,0.8992380041905023,0.5339767160573813,6108071911.5257015,2176473428.48374,21.363059237852617,67.3,late_saturating_halo
NGC3198,43,44.08,0.04224905910626107,0.34866883728580333,23.66916615787559,0.0,0.8113691252646277,0.576230298421513,184617236416.4793,136487747542.33873,64.71316751635636,149.0,early_saturating_halo
NGC3521,41,17.74,0.4109067255261622,0.9556369186713557,2.4336423277557926,0.06462760037165637,0.7020500259213875,1.3369139636719496,122884119297.079,165843392646.51434,112.4446757298895,206.0,rising_edge_halo
