candidate,x,A,b_over_rs,offset_from_center
sam_schwarzschild_photon_lane,1.499,0.66711140760507,2.5980779464889165,-0.001
sam_schwarzschild_photon_lane,1.4999,0.6667111140742716,2.5980762286769035,-0.0001
sam_schwarzschild_photon_lane,1.5,0.6666666666666666,2.5980762113533156,0.0
sam_schwarzschild_photon_lane,1.5001,0.6666222251849877,2.5980762286707457,0.0001
sam_schwarzschild_photon_lane,1.501,0.6662225183211193,2.598077940330493,0.001
wrong_half_A_horizon_wrong,1.0001,0.9999000099990001,1.4142842783535425,0.0001
wrong_half_A_horizon_wrong,1.001,0.9990009990009991,1.4149211985138932,0.001
wrong_power_preserve_horizon,1.4132135623730953,0.707607134990115,2.000002004251911,-0.001
wrong_power_preserve_horizon,1.4141135623730952,0.7071567847223313,2.0000000200042436,-0.0001
wrong_power_preserve_horizon,1.4142135623730951,0.7071067811865475,2.0,0.0
wrong_power_preserve_horizon,1.4143135623730951,0.7070567847218314,2.0000000199957584,0.0001
wrong_power_preserve_horizon,1.415213562373095,0.7066071344901148,2.000001995766589,0.001
wrong_linear_shift_preserve_horizon,2.413213562373095,0.41438520634561016,3.750365461171466,-0.001
wrong_linear_shift_preserve_horizon,2.4141135623730947,0.414230720371328,3.751064513738009,-0.0001
wrong_linear_shift_preserve_horizon,2.414213562373095,0.4142135623730951,3.751142200965657,0.0
wrong_linear_shift_preserve_horizon,2.414313562373095,0.41419640579621836,3.7512198911352184,0.0001
wrong_linear_shift_preserve_horizon,2.415213562373095,0.4140420605362281,3.7519192349512744,0.001
wrong_photon_at_2rs,1.4132135623730953,0.707607134990115,2.000002004251911,-0.001
wrong_photon_at_2rs,1.4141135623730952,0.7071567847223313,2.0000000200042436,-0.0001
wrong_photon_at_2rs,1.4142135623730951,0.7071067811865475,2.0,0.0
wrong_photon_at_2rs,1.4143135623730951,0.7070567847218314,2.0000000199957584,0.0001
wrong_photon_at_2rs,1.415213562373095,0.7066071344901148,2.000001995766589,0.001
wrong_horizon_as_shadow,1.0001,0.9999000099990001,1.0,0.0001
wrong_horizon_as_shadow,1.001,0.9990009990009991,1.0,0.001
