native_id,partition_mode,generator_exponents,generator_exponent_alphaH,generator_exponent_D,depth,charge_sign,charge_magnitude,native_charge_axis,operator_class,route_class,native_mass_or_weight,native_mass_fraction,source_support,source_support_decimal,tensor_support,tensor_support_decimal,retained_support,retained_support_decimal,selector_rule,address_signature,route_combination,construction_hash
SAMN63-0012,4,alpha_H^2*D^0,2,0,0,negative,4,minus,V4_1_SINGLE_WRITE,single_write,6,6,145/24,6.041666666666666666666666666666666666666666666667,145/192,0.755208333333333333333333333333333333333333333333,1015/192,5.286458333333333333333333333333333333333333333333,DEPTH_0_1_ALL_PARTITION_MODES,p=4|d=0|q=negative:4,"negative_single_write[p=4,g=0]",e31a46a8d2afbaa9ba3a67414c67b0f5c6e7852920cbdb0fc6e2fc8e6115eab2
SAMN63-0013,6,alpha_H^1*D^1,1,1,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,0.75,3/4,3/4,0.75,3/32,0.09375,21/32,0.65625,DEPTH_0_1_ALL_PARTITION_MODES,p=6|d=0|q=neutral:0,"neutral_single_write[p=6,g=0]",d73d753b331dd431e6c2a2c6d529f6281a488744c8ac66dddec0625c4a605c9e
SAMN63-0014,6,alpha_H^1*D^1,1,1,0,positive,6,plus,V4_1_SINGLE_WRITE,single_write,7.5,15/2,725/96,7.552083333333333333333333333333333333333333333333,725/768,0.944010416666666666666666666666666666666666666667,5075/768,6.608072916666666666666666666666666666666666666667,DEPTH_0_1_ALL_PARTITION_MODES,p=6|d=0|q=positive:6,"positive_single_write[p=6,g=0]",64260ce077d8d45ab57942af318d17ad54635f53e7fcd9d7ee22ed01fd172ef9
SAMN63-0015,6,alpha_H^1*D^1,1,1,0,negative,6,minus,V4_1_SINGLE_WRITE,single_write,9,9,145/16,9.0625,145/128,1.1328125,1015/128,7.9296875,DEPTH_0_1_ALL_PARTITION_MODES,p=6|d=0|q=negative:6,"negative_single_write[p=6,g=0]",d6f7a9b6a06f5e8c388e007a0ec3be8e0548612fe7581796d030123c50162a74
SAMN63-0016,8,alpha_H^3*D^0,3,0,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,1,1,1,1,1/8,0.125,7/8,0.875,DEPTH_0_1_ALL_PARTITION_MODES,p=8|d=0|q=neutral:0,"neutral_single_write[p=8,g=0]",8054f19e0df622b62d7e794529f4df85bd07edc3cd3ca5b0c79d13ccffb439d0
SAMN63-0017,8,alpha_H^3*D^0,3,0,0,positive,8,plus,V4_1_SINGLE_WRITE,single_write,10,10,725/72,10.069444444444444444444444444444444444444444444444,725/576,1.258680555555555555555555555555555555555555555556,5075/576,8.810763888888888888888888888888888888888888888889,DEPTH_0_1_ALL_PARTITION_MODES,p=8|d=0|q=positive:8,"positive_single_write[p=8,g=0]",84afbd3b920083180972662564980f77d3f645bce0878834e64865012ff2487f
SAMN63-0018,8,alpha_H^3*D^0,3,0,0,negative,8,minus,V4_1_SINGLE_WRITE,single_write,12,12,145/12,12.083333333333333333333333333333333333333333333333,145/96,1.510416666666666666666666666666666666666666666667,1015/96,10.572916666666666666666666666666666666666666666667,DEPTH_0_1_ALL_PARTITION_MODES,p=8|d=0|q=negative:8,"negative_single_write[p=8,g=0]",9d501701804982e1f664dc17950703a0614f78ffe5d4ae3e3f45c7297e865d08
SAMN63-0019,9,alpha_H^0*D^2,0,2,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,1.125,9/8,9/8,1.125,9/64,0.140625,63/64,0.984375,DEPTH_0_1_ALL_PARTITION_MODES,p=9|d=0|q=neutral:0,"neutral_single_write[p=9,g=0]",7f38ec7da39462453676985f6a3a852eae0a511e5198555fa8d74dd8067114fd
SAMN63-0020,9,alpha_H^0*D^2,0,2,0,positive,9,plus,V4_1_SINGLE_WRITE,single_write,11.25,45/4,725/64,11.328125,725/512,1.416015625,5075/512,9.912109375,DEPTH_0_1_ALL_PARTITION_MODES,p=9|d=0|q=positive:9,"positive_single_write[p=9,g=0]",02abc9a8e0c5b2fbdfcaa1163aa71c749c6874393ee57fc8039f7f204313fd7d
SAMN63-0021,9,alpha_H^0*D^2,0,2,0,negative,9,minus,V4_1_SINGLE_WRITE,single_write,13.5,27/2,435/32,13.59375,435/256,1.69921875,3045/256,11.89453125,DEPTH_0_1_ALL_PARTITION_MODES,p=9|d=0|q=negative:9,"negative_single_write[p=9,g=0]",264abbb4dcae410b20b4863c480976dd7ed2872254edbc7379811b22f44db9d1
SAMN63-0022,12,alpha_H^2*D^1,2,1,0,neutral,0,neutral,OUTER_BINARY_NEUTRAL,outer_binary_neutral,1.5,3/2,3/2,1.5,3/16,0.1875,21/16,1.3125,DEPTH_0_1_ALL_PARTITION_MODES,p=12|d=0|q=neutral:0,"neutral_single_write[p=12,g=0]",4f7375bc18c33a282a2d6a50888f2777f4cf5a4d2cc2d90262ed84bdbfe1b5bc
SAMN63-0023,12,alpha_H^2*D^1,2,1,0,positive,12,plus,V4_1_SINGLE_WRITE,single_write,15,15,725/48,15.104166666666666666666666666666666666666666666667,725/384,1.888020833333333333333333333333333333333333333333,5075/384,13.216145833333333333333333333333333333333333333333,DEPTH_0_1_ALL_PARTITION_MODES,p=12|d=0|q=positive:12,"positive_single_write[p=12,g=0]",e89fea47b9af040ae5710b376191ba1ef1c91d1db21eeba197265b474799a075
SAMN63-0024,12,alpha_H^2*D^1,2,1,0,negative,12,minus,V4_1_SINGLE_WRITE,single_write,18,18,145/8,18.125,145/64,2.265625,1015/64,15.859375,DEPTH_0_1_ALL_PARTITION_MODES,p=12|d=0|q=negative:12,"negative_single_write[p=12,g=0]",10d9a9b557ac022e7b21616020f9aec3fbda8ad650bf3ba4a1c3d067159691db
