source,result_class,qubit_rows,top_protected_route,top_ticks_to_A_SIDE,top_ticks_to_A_SHARE,unknown_mode_rows,assigned_existing_carrier_rows,candidate_composite_carrier_rows,unassigned_boundary_rows
QP010,QP010_PRIVATE_PROTECTED_ROUTE_BOUNDARY_LAW_BUILT,7,QUBIT-NL-001,1009937.4558405371,2019874.9116810742,,,,
QP043,QP043_UNKNOWN_MODE_CARRIERS_ORGANIZED_ONE_EXACT_ASSIGNED,,,,,50,1,32,2
