candidate_id,bridge_role,bin,route_combination,operator_class,route_class,partition_signature,partition_sum,owner_count,owner_value,M_native,M_observed_candidate,q_sign,q_abs,qA_observed,qA_expected,T_observed,T_expected,W_observed,W_expected,matter_row_allowed,promotion_status,matter_gate_status,spin_or_hand_class,known_identity_label,binding_use,passed
QP093A-0262,pair_face_precursor,bound_composite_rows,pair_write[4|anti4],BOUND_COLOR_PAIR,two_owner_pair_closure,4+4,8,2,4,192,172,neutral,0,172,172,21.5,21.5,150.5,150.5,yes,BOUND_COMPOSITE_ROW_ALLOWED,PASS_BOUND_COMPOSITE_MATTER,boson_integer_write,,pair-face precursor,True
QP093A-0200,three_body_diamond_target,bound_composite_rows,color_triad[4+4+4],GROUND_BARYON_3BODY,three_owner_color_closure,4+4+4,12,3,4,1728,1152,positive,1,1160,1160,145,145,1015,1015,yes,BOUND_MATTER_ROW_ALLOWED,PASS_BOUND_COMPOSITE_MATTER,fermion_baryon_half_write,,three-body diamond target,True
