wavelength_label,wavelength_m,omega_drive_rad_per_s,T2_grav_seconds,T2_grav_picoseconds,formula
telecom_C_band_1550_nm,1.550e-06,1.215e+15,5.046260e-11,50.463,T2_grav = 16*pi*R^4/(17*omega) with R = 12
telecom_O_band_1310_nm,1.310e-06,1.438e+15,4.263704e-11,42.637,T2_grav = 16*pi*R^4/(17*omega) with R = 12
free_space_850_nm,8.500e-07,2.216e+15,2.766790e-11,27.668,T2_grav = 16*pi*R^4/(17*omega) with R = 12
