source,exists,bytes,sha256,role
09a_PARTICLE_MASS_CHAIN/CR222_CONSTANTS_ONLY_ELEMENT_GENERATOR/CR222_constants_only_elements_126.csv,True,62595,b523d9eacbeb7c0f70e6639f5d41105e19ddb198963c4735b541abd3eeb63a60,CR222 constants-only generated rows used as verification baseline
09a_PARTICLE_MASS_CHAIN/CR222_CONSTANTS_ONLY_ELEMENT_GENERATOR/CR222_summary.json,True,7661,1d8fe2c282dd9030513942f8fc9391a90cd60acf9a0a4b4a97499199a492d391,CR222 summary counts and boundary
09a_PARTICLE_MASS_CHAIN/CR222_CONSTANTS_ONLY_ELEMENT_GENERATOR/CR222_declared_constants.csv,True,981,2f240c7400606e8d66008fe20dd2f3e42c97885d4090798a2fe8eade72c37a45,CR222 declared constants reference
