ledger_instance_id,starbreaker_cell_id,slot_index,w9_block,k18_channel,dimension,side,route,h27_rank,h27_address,qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,decoded_content_points,relation_geometry,native_signature_id,payload_status,binding_role,authority,source_hashes
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,13,0,13,1,1,1,FACE,"[-1,-1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,14,0,14,2,0,2,FACE,"[-1,-1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,15,0,15,0,1,3,FACE,"[-1,-1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,16,0,16,1,0,4,FACE,"[-1,-1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,17,0,17,2,1,5,FACE,"[-1,-1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,18,1,0,0,0,6,EDGE,"[-1,0,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,19,1,1,1,1,7,EDGE,"[-1,0,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,20,1,2,2,0,8,EDGE,"[-1,0,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,21,1,3,0,1,9,EDGE,"[-1,0,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,22,1,4,1,0,10,EDGE,"[-1,0,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,23,1,5,2,1,11,EDGE,"[-1,0,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,24,1,6,0,0,0,POINT,"[-1,0,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,25,1,7,1,1,1,POINT,"[-1,0,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,26,1,8,2,0,2,POINT,"[-1,0,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,27,1,9,0,1,3,POINT,"[-1,0,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,28,1,10,1,0,4,POINT,"[-1,0,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,29,1,11,2,1,5,POINT,"[-1,0,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,30,1,12,0,0,6,EDGE,"[-1,0,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,31,1,13,1,1,7,EDGE,"[-1,0,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,32,1,14,2,0,8,EDGE,"[-1,0,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,33,1,15,0,1,9,EDGE,"[-1,0,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,34,1,16,1,0,10,EDGE,"[-1,0,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,35,1,17,2,1,11,EDGE,"[-1,0,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,36,2,0,0,0,0,FACE,"[-1,1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,37,2,1,1,1,1,FACE,"[-1,1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,38,2,2,2,0,2,FACE,"[-1,1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,39,2,3,0,1,3,FACE,"[-1,1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,40,2,4,1,0,4,FACE,"[-1,1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,41,2,5,2,1,5,FACE,"[-1,1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,42,2,6,0,0,6,EDGE,"[-1,1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,43,2,7,1,1,7,EDGE,"[-1,1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,44,2,8,2,0,8,EDGE,"[-1,1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,45,2,9,0,1,9,EDGE,"[-1,1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,46,2,10,1,0,10,EDGE,"[-1,1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,47,2,11,2,1,11,EDGE,"[-1,1,0]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,48,2,12,0,0,0,FACE,"[-1,1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,49,2,13,1,1,1,FACE,"[-1,1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,50,2,14,2,0,2,FACE,"[-1,1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,51,2,15,0,1,3,FACE,"[-1,1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,52,2,16,1,0,4,FACE,"[-1,1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,53,2,17,2,1,5,FACE,"[-1,1,1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,54,3,0,0,0,6,EDGE,"[0,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,55,3,1,1,1,7,EDGE,"[0,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
LEDGER_PROTOTYPE_001,SB_CELL_PROTOTYPE_001,56,3,2,2,0,8,EDGE,"[0,-1,-1]",,,,,,,,,UNASSIGNED,CR210d_ADDRESS_ONLY__QP_PHYSICAL_INCIDENCE_OPEN,"{""cr210d"":""010aa10f47184f0ef84db2e9b2e8118df6ee3f9ddc4b875e5672cac89179dfdc"",""qp_grammar"":""44683621a7c6c027fdce10cc1124e53ff488dae3d18383ce20565b54d74d88f0""}"
