qp_template_id,qp_source_row_id,qp_template_class,qp_partition_labels,charge_orientation,closure_depth,native_signature_id,payload_status,source_disposition,source_stability,source_closure
TPL_15ff2bf4d9ebf9da3c72080b,TOK_6dfd22712d3e4c092e1dae8c,PAIR,2|6,negative,3,TYPEDRAW_ac5a5b2a45283d6158f70163,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_17fca4225c7feb94950a04a7,TOK_df88b3374176d1cc200f6c9f,TRIAD,1|9|9,negative,3,TYPEDRAW_d8b952827fb3d3ad056c7770,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_18bcf7dbebf2aa9f11c22906,TOK_247a526fd41ad506d882aeb3,REJECTED,,neutral,0,TYPEDRAW_45c00561a33040b8291efd18,REJECTED,REJECTED,rejected_fake_closures,REJECT_FAKE_PARENT
TPL_1935e0ebfbe7fb09d72fe679,TOK_6cf98fa989f3dd4909ac2a8c,PAIR,4|4,neutral,1,TYPEDRAW_e9164319f16e58d9d1dd930c,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_19dcdd6fdc21c070157f35e7,TOK_f68ae6a04107eb2f6cff88ee,UNARY,8,neutral,1,TYPEDRAW_249baf7e6e068a6274c5b00d,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_19ddadd3f598cc7a595ff437,TOK_990dc6e3e18fdeff22d870a0,UNARY,2,negative,1,TYPEDRAW_b139f3d5473d9485a483bbce,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_1b4431891b02c2a33a2c33da,TOK_3c9cdc895c6cdd2008512ab3,TRIAD,2|6|6,negative,3,TYPEDRAW_077dbf4a2e718ce91935d228,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_1cc1c2eb1811ae46e9d39e8c,TOK_fe0362b72cca1ee0834d0431,PAIR,3|8,negative,3,TYPEDRAW_ad63e0510c627db03413fc42,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_PAIR_WRITE
TPL_1cca7a67625e8bcd526d015a,TOK_8cb9da310a6c2eda7fda08fb,UNARY,2,positive,2,TYPEDRAW_b09b15277c200d3736de357f,PAYLOAD,LEGAL_LOCAL_TEMPLATE,stable_matter_rows,CLOSED_WRITE
TPL_1ccf7de8aaced2977a3deb71,TOK_ffa33d7e050f01f6aee6ed07,SUPPORT,,positive,3,TYPEDRAW_969afebb7d12e5048dd8ff2c,INFRASTRUCTURE,NONLOCAL_NODE,hidden_source_support_rows,SOURCE_SUPPORT_ONLY
TPL_1f08064a2edb1bd16ca39bf5,TOK_6ecbebf0a8e75fda8d3b06de,SUPPORT,,positive,3,TYPEDRAW_378f67a7526b6389d647913a,INFRASTRUCTURE,NONLOCAL_NODE,hidden_source_support_rows,SOURCE_SUPPORT_ONLY
TPL_20fe545c214a5417b1c6b9e0,TOK_040bcfc6458cf4ccc60ecfe0,CARRIER,,neutral,3,TYPEDRAW_20373aa3fb9b80c611b58fd6,INFRASTRUCTURE,NONLOCAL_NODE,carrier_only_rows,CLOSED_CARRIER_SUPPORT
TPL_2118f940be12c8328bbd1436,TOK_f38e2afc6e288b1ed7c1cb03,UNARY,9,negative,0,TYPEDRAW_26cdbe31ad944c1b17da5d89,PAYLOAD,LEGAL_LOCAL_TEMPLATE,antimatter_conjugate_rows,CLOSED_CONJUGATE_WRITE
TPL_2298448fb1fddc1e7532afc0,TOK_360e725ca0ec28eab6672f8e,TRIAD,2|8|8,negative,0,TYPEDRAW_43b5c528ced77ba572221f95,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_231e81ee9fe7b75719b02b2a,TOK_78fd1d7a8f0137023ea8f408,TRIAD,1|8|9,negative,0,TYPEDRAW_ae29500710428424d4d93d06,PAYLOAD,LEGAL_LOCAL_TEMPLATE,bound_composite_rows,CLOSED_THREE_OWNER_WRITE
TPL_24109c44bf543e9fde29f80b,TOK_b70120bc7b3fa94c02fee9c3,CARRIER,,neutral,3,TYPEDRAW_7482c6f6a0db41eda0766db7,INFRASTRUCTURE,NONLOCAL_NODE,carrier_only_rows,CLOSED_CARRIER_SUPPORT
