selector_id,selector_column,description,input_class,predicted_stable_count_all_126,predicted_stable_count_known_118,scored_rows,reference_target,true_positive_stable,false_positive_radioactive,false_negative_stable,true_negative_radioactive,accuracy,precision,recall,false_positive_Z,false_negative_Z,boundary_note
WC1_NO_ALPHA_BRIDGE_WITH_MAIN_HOLES,selector_wc_no_alpha_bridge_with_main_holes,Drop alpha_H bridge from boundary: Z <= 81 with main holes,WRONG_CONTROL,79,79,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,79,0,2,37,0.983051,1.000000,0.975309,,82;83,CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities
WC2_NO_HOLE_REJECTOR,selector_wc_no_hole_rejector,Keep Z <= 83 but do not reject native holes,WRONG_CONTROL,83,83,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,81,2,0,35,0.983051,0.975904,1.000000,43;61,,CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities
WC3_HOLES_WITHOUT_ALPHA_OFFSET,selector_wc_holes_without_alpha_offset,Use H and H+T as holes instead of H-alpha_H and H-alpha_H+T,WRONG_CONTROL,81,81,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,79,2,2,35,0.966102,0.975309,0.975309,43;61,45;63,CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities
WC4_SINGLE_HOLE_NO_TENSOR_SHIFT,selector_wc_single_hole_no_tensor_shift,Reject only H-alpha_H and omit the tensor-shifted hole,WRONG_CONTROL,82,82,118,HH001_CLOCK_stable_vs_radioactive_Z001_Z118,81,1,0,36,0.991525,0.987805,1.000000,61,,CLOCK labels are comparator only; selector was constructed from native constants and carrier/hidden identities
