control,isotope,Z,N,A,qualifies,identity_broken,detail
W2_all_excess,Cu-63,29,34,63,True,True,dQ
W2_all_excess,Zn-64,30,34,64,True,True,dQ
W2_all_excess,Br-79,35,44,79,True,True,dQ
W2_all_excess,Kr-84,36,48,84,True,True,dQ
W2_all_excess,Ag-107,47,60,107,True,True,dQ
W2_all_excess,Sn-120,50,70,120,True,True,dQ
W2_all_excess,I-127,53,74,127,True,True,dQ
W2_all_excess,Xe-132,54,78,132,True,True,dQ
W2_all_excess,Cs-133,55,78,133,True,True,dQ
W2_all_excess,Au-197,79,118,197,True,True,dQ
W2_all_excess,Hg-200,80,120,200,True,True,dQ
W2_all_excess,Pb-208,82,126,208,True,True,dQ
W2_all_excess,Th-232,90,142,232,True,True,dQ
W2_all_excess,U-235,92,143,235,True,True,dQ
W2_all_excess,U-238,92,146,238,True,True,dQ
W2_all_excess,Ti-46,22,24,46,True,True,dQ
W2_all_excess,Cr-52,24,28,52,True,True,dQ
W2_all_excess,Mn-55,25,30,55,True,True,dQ
W2_all_excess,Co-59,27,32,59,True,True,dQ
W2_all_excess,Y-89,39,50,89,True,True,dQ
W2_all_excess,Zr-90,40,50,90,True,True,dQ
W2_all_excess,Ba-138,56,82,138,True,True,dQ
W2_all_excess,Nd-142,60,82,142,True,True,dQ
W2_all_excess,Sm-152,62,90,152,True,True,dQ
W2_all_excess,Gd-158,64,94,158,True,True,dQ
W2_all_excess,Dy-162,66,96,162,True,True,dQ
W2_all_excess,Er-166,68,98,166,True,True,dQ
W2_all_excess,Yb-172,70,102,172,True,True,dQ
W2_all_excess,Hf-178,72,106,178,True,True,dQ
W2_all_excess,W-184,74,110,184,True,True,dQ
W2_all_excess,Os-190,76,114,190,True,True,dQ
W2_all_excess,Pt-194,78,116,194,True,True,dQ
W2_all_excess,Hg-202,80,122,202,True,True,dQ
W2_all_excess,Pb-206,82,124,206,True,True,dQ
W2_all_excess,U-234,92,142,234,True,True,dQ
