trial_index,time_index,t_over_T2,sensor_p0,sensor_threshold_prob,packet_checksum,g_protocol,fired,block_reason,a_leak_truth
0,0,0.000000,0.238597,0.004011,162,1,False,sensor_prob_below_p_alarm,0.007609
0,1,0.010000,0.248508,0.094810,162,1,False,sensor_prob_below_p_alarm,0.022101
0,2,0.020000,0.254775,0.451185,162,1,False,sensor_prob_below_p_alarm,0.036151
0,3,0.025000,0.257728,0.684586,162,1,False,sensor_prob_below_p_alarm,0.043013
0,4,0.030000,0.262016,0.898864,162,1,True,,0.049769
0,5,0.035000,0.264424,0.951499,162,1,False,already_fired,0.056419
0,6,0.040000,0.269660,0.990967,162,1,False,already_fired,0.062965
0,7,0.050000,0.276592,0.999068,162,1,False,already_fired,0.075747
0,8,0.070000,0.290581,0.999991,162,1,False,already_fired,0.100108
0,9,0.100000,0.312471,1.000000,162,1,False,already_fired,0.133772
1,0,0.000000,0.238890,0.004415,162,1,False,sensor_prob_below_p_alarm,0.007609
1,1,0.010000,0.247005,0.060071,162,1,False,sensor_prob_below_p_alarm,0.022973
1,2,0.020000,0.253691,0.365356,162,1,False,sensor_prob_below_p_alarm,0.037834
1,3,0.025000,0.259016,0.768234,162,1,True,,0.045080
1,4,0.030000,0.263644,0.938196,162,1,False,already_fired,0.052204
1,5,0.035000,0.268183,0.985405,162,1,False,already_fired,0.059208
1,6,0.040000,0.271319,0.994746,162,1,False,already_fired,0.066094
1,7,0.050000,0.279424,0.999632,162,1,False,already_fired,0.079516
1,8,0.070000,0.293712,0.999997,162,1,False,already_fired,0.104999
1,9,0.100000,0.315393,1.000000,162,1,False,already_fired,0.139981
2,0,0.000000,0.238487,0.003869,162,1,False,sensor_prob_below_p_alarm,0.007609
2,1,0.010000,0.247461,0.069104,162,1,False,sensor_prob_below_p_alarm,0.021945
2,2,0.020000,0.253796,0.373375,162,1,False,sensor_prob_below_p_alarm,0.035846
2,3,0.025000,0.257838,0.692338,162,1,False,sensor_prob_below_p_alarm,0.042636
2,4,0.030000,0.259639,0.802691,162,1,True,,0.049321
2,5,0.035000,0.267403,0.981218,162,1,False,already_fired,0.055903
2,6,0.040000,0.269351,0.990011,162,1,False,already_fired,0.062381
2,7,0.050000,0.275838,0.998806,162,1,False,already_fired,0.075033
2,8,0.070000,0.289623,0.999987,162,1,False,already_fired,0.099151
2,9,0.100000,0.309518,1.000000,162,1,False,already_fired,0.132491
3,0,0.000000,0.237712,0.003002,162,1,False,sensor_prob_below_p_alarm,0.007609
3,1,0.010000,0.248136,0.084828,162,1,False,sensor_prob_below_p_alarm,0.022411
3,2,0.020000,0.255466,0.507831,162,1,False,sensor_prob_below_p_alarm,0.036752
3,3,0.025000,0.258979,0.766081,162,1,True,,0.043753
3,4,0.030000,0.263073,0.926380,162,1,False,already_fired,0.050642
3,5,0.035000,0.266314,0.973347,162,1,False,already_fired,0.057421
3,6,0.040000,0.269016,0.988860,162,1,False,already_fired,0.064091
3,7,0.050000,0.275780,0.998783,162,1,False,already_fired,0.077108
3,8,0.070000,0.293869,0.999997,162,1,False,already_fired,0.101888
3,9,0.100000,0.311916,1.000000,162,1,False,already_fired,0.136060
4,0,0.000000,0.239152,0.004810,162,1,False,sensor_prob_below_p_alarm,0.007609
4,1,0.010000,0.245948,0.043190,162,1,False,sensor_prob_below_p_alarm,0.022098
4,2,0.020000,0.254257,0.409437,162,1,False,sensor_prob_below_p_alarm,0.036142
4,3,0.025000,0.258382,0.729105,162,1,False,sensor_prob_below_p_alarm,0.042999
4,4,0.030000,0.261550,0.884062,162,1,True,,0.049749
4,5,0.035000,0.266476,0.974697,162,1,False,already_fired,0.056392
4,6,0.040000,0.268283,0.985868,162,1,False,already_fired,0.062929
4,7,0.050000,0.274963,0.998408,162,1,False,already_fired,0.075692
4,8,0.070000,0.292958,0.999996,162,1,False,already_fired,0.100004
4,9,0.100000,0.311408,1.000000,162,1,False,already_fired,0.133566
5,0,0.000000,0.238869,0.004385,162,1,False,sensor_prob_below_p_alarm,0.007609
5,1,0.010000,0.246801,0.056390,162,1,False,sensor_prob_below_p_alarm,0.022500
5,2,0.020000,0.253016,0.315563,162,1,False,sensor_prob_below_p_alarm,0.036923
5,3,0.025000,0.260068,0.824095,162,1,True,,0.043962
5,4,0.030000,0.261743,0.890432,162,1,False,already_fired,0.050888
5,5,0.035000,0.265812,0.968708,162,1,False,already_fired,0.057702
5,6,0.040000,0.269099,0.989160,162,1,False,already_fired,0.064405
5,7,0.050000,0.278272,0.999463,162,1,False,already_fired,0.077485
5,8,0.070000,0.293848,0.999997,162,1,False,already_fired,0.102372
5,9,0.100000,0.313131,1.000000,162,1,False,already_fired,0.136665
6,0,0.000000,0.238398,0.003758,162,1,False,sensor_prob_below_p_alarm,0.007609
6,1,0.010000,0.248366,0.090896,162,1,False,sensor_prob_below_p_alarm,0.022686
6,2,0.020000,0.254607,0.437586,162,1,False,sensor_prob_below_p_alarm,0.037287
6,3,0.025000,0.257738,0.685329,162,1,False,sensor_prob_below_p_alarm,0.044412
6,4,0.030000,0.260628,0.849223,162,1,True,,0.051422
