Z,N,A,P_address,G_CR220,GR_CR220,kappa_floor_fraction,kappa_floor_decimal,neutron_excess_N_minus_Z,neutron_excess_term_fraction,neutron_excess_term_decimal,G_from_Z_kappa_floor_plus_excess_fraction,G_from_Z_kappa_floor_plus_excess_decimal,GR_from_formula_fraction,GR_from_formula_decimal,kappa_effective_fraction,kappa_effective_decimal,kappa_delta_from_floor_fraction,kappa_delta_from_floor_decimal,formula_matches_G,formula_matches_GR,kappa_eff_matches_G_over_Z,kappa_kind
38,47,85,38p+47n+38e,352.2838541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,2818.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,9,9/64,0.140625,135277/384,352.2838541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,135277/48,2818.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,135277/14592,9.270627741228070175438596491228070175438596491228070175438596491228070175438596491228070175438596491,9/2432,0.003700657894736842105263157894736842105263157894736842105263157894736842105263157894736842105263157895,True,True,True,effective_element_quotient
39,48,87,39p+48n+39e,361.5507812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,2892.406249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,9,9/64,0.140625,92557/256,361.55078125,92557/32,2892.40625,92557/9984,9.270532852564102564102564102564102564102564102564102564102564102564102564102564102564102564102564103,3/832,0.003605769230769230769230769230769230769230769230769230769230769230769230769230769230769230769230769231,True,True,True,effective_element_quotient
40,50,90,40p+50n+40e,370.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,2966.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,10,5/32,0.15625,2225/6,370.8333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,8900/3,2966.666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,445/48,9.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/256,0.00390625,True,True,True,effective_element_quotient
41,51,92,41p+51n+41e,380.1002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3040.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,10,5/32,0.15625,291917/768,380.1002604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,291917/96,3040.802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,291917/31488,9.270738058943089430894308943089430894308943089430894308943089430894308943089430894308943089430894309,5/1312,0.003810975609756097560975609756097560975609756097560975609756097560975609756097560975609756097560975610,True,True,True,effective_element_quotient
42,52,94,42p+52n+42e,389.3671874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3114.937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,10,5/32,0.15625,49839/128,389.3671875,49839/16,3114.9375,16613/1792,9.270647321428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571,5/1344,0.003720238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095238095,True,True,True,effective_element_quotient
43,53,96,43p+53n+43e,398.6341145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,3189.072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,10,5/32,0.15625,306151/768,398.6341145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,306151/96,3189.072916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,306151/33024,9.270560804263565891472868217054263565891472868217054263565891472868217054263565891472868217054263566,5/1376,0.003633720930232558139534883720930232558139534883720930232558139534883720930232558139534883720930232558,True,True,True,effective_element_quotient
44,55,99,44p+55n+44e,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,11,11/64,0.171875,4895/12,407.9166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,9790/3,3263.333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,445/48,9.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/256,0.00390625,True,True,True,effective_element_quotient
45,56,101,45p+56n+45e,417.1835937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3337.468749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,11,11/64,0.171875,106799/256,417.18359375,106799/32,3337.46875,106799/11520,9.270746527777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778,11/2880,0.003819444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,True,True,True,effective_element_quotient
46,57,103,46p+57n+46e,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,11,11/64,0.171875,163757/384,426.4505208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,163757/48,3411.604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,163757/17664,9.270663496376811594202898550724637681159420289855072463768115942028985507246376811594202898550724638,11/2944,0.003736413043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304348,True,True,True,effective_element_quotient
47,58,105,47p+58n+47e,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,11,11/64,0.171875,334631/768,435.7174479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,334631/96,3485.739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,334631/36096,9.270583998226950354609929078014184397163120567375886524822695035460992907801418439716312056737588652,11/3008,0.003656914893617021276595744680851063829787234042553191489361702127659574468085106382978723404255319149,True,True,True,effective_element_quotient
48,60,108,48p+60n+48e,444.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3559.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,12,3/16,0.1875,445,445,3560,3560,445/48,9.270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/256,0.00390625,True,True,True,effective_element_quotient
49,65,114,49p+65n+49e,454.3294270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,3634.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,16,1/4,0.25,348925/768,454.3294270833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,348925/96,3634.635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,348925/37632,9.272029124149659863945578231292517006802721088435374149659863945578231292517006802721088435374149660,1/196,0.005102040816326530612244897959183673469387755102040816326530612244897959183673469387755102040816326531,True,True,True,effective_element_quotient
50,66,116,50p+66n+50e,463.5963541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3708.770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,16,1/4,0.25,178021/384,463.5963541666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,178021/48,3708.770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,178021/19200,9.271927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/200,0.005,True,True,True,effective_element_quotient
51,68,119,51p+68n+51e,472.8789062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,3783.031249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,17,17/64,0.265625,121057/256,472.87890625,121057/32,3783.03125,7121/768,9.272135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1/192,0.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,True,effective_element_quotient
52,69,121,52p+69n+52e,482.1458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,3857.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,17,17/64,0.265625,23143/48,482.1458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,23143/6,3857.166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,23143/2496,9.272035256410256410256410256410256410256410256410256410256410256410256410256410256410256410256410256,17/3328,0.005108173076923076923076923076923076923076923076923076923076923076923076923076923076923076923076923077,True,True,True,effective_element_quotient
53,70,123,53p+70n+53e,491.4127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,3931.302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,17,17/64,0.265625,377405/768,491.4127604166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,377405/96,3931.302083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,377405/40704,9.271938875786163522012578616352201257861635220125786163522012578616352201257861635220125786163522013,17/3392,0.005011792452830188679245283018867924528301886792452830188679245283018867924528301886792452830188679245,True,True,True,effective_element_quotient
54,72,126,54p+72n+54e,500.6953124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,4005.562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18,9/32,0.28125,64089/128,500.6953125,64089/16,4005.5625,7121/768,9.272135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1/192,0.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,True,effective_element_quotient
55,73,128,55p+73n+55e,509.9622395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4079.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18,9/32,0.28125,391651/768,509.9622395833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,391651/96,4079.697916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,391651/42240,9.272040719696969696969696969696969696969696969696969696969696969696969696969696969696969696969696970,9/1760,0.005113636363636363636363636363636363636363636363636363636363636363636363636363636363636363636363636364,True,True,True,effective_element_quotient
56,74,130,56p+74n+56e,519.2291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4153.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,18,9/32,0.28125,24923/48,519.2291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,24923/6,4153.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,24923/2688,9.271949404761904761904761904761904761904761904761904761904761904761904761904761904761904761904761905,9/1792,0.005022321428571428571428571428571428571428571428571428571428571428571428571428571428571428571428571429,True,True,True,effective_element_quotient
57,76,133,57p+76n+57e,528.5117187499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4228.093749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,19,19/64,0.296875,135299/256,528.51171875,135299/32,4228.09375,7121/768,9.272135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1/192,0.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,True,effective_element_quotient
58,77,135,58p+77n+58e,537.7786458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4302.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,19,19/64,0.296875,206507/384,537.7786458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,206507/48,4302.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,206507/22272,9.272045617816091954022988505747126436781609195402298850574712643678160919540229885057471264367816092,19/3712,0.005118534482758620689655172413793103448275862068965517241379310344827586206896551724137931034482758621,True,True,True,effective_element_quotient
59,78,137,59p+78n+59e,547.0455729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4376.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,19,19/64,0.296875,420131/768,547.0455729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,420131/96,4376.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,420131/45312,9.271958862994350282485875706214689265536723163841807909604519774011299435028248587570621468926553672,19/3776,0.005031779661016949152542372881355932203389830508474576271186440677966101694915254237288135593220338983,True,True,True,effective_element_quotient
60,80,140,60p+80n+60e,556.3281249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4450.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,20,5/16,0.3125,35605/64,556.328125,35605/8,4450.625,7121/768,9.272135416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,1/192,0.005208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,True,effective_element_quotient
61,86,147,61p+86n+61e,565.6731770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4525.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,25,25/64,0.390625,434437/768,565.6731770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,434437/96,4525.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,434437/46848,9.273330771857923497267759562841530054644808743169398907103825136612021857923497267759562841530054645,25/3904,0.006403688524590163934426229508196721311475409836065573770491803278688524590163934426229508196721311475,True,True,True,effective_element_quotient
62,87,149,62p+87n+62e,574.9401041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4599.520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,25,25/64,0.390625,220777/384,574.9401041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,220777/48,4599.520833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,220777/23808,9.273227486559139784946236559139784946236559139784946236559139784946236559139784946236559139784946237,25/3968,0.006300403225806451612903225806451612903225806451612903225806451612903225806451612903225806451612903226,True,True,True,effective_element_quotient
63,89,152,63p+89n+63e,584.2226562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4673.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,26,13/32,0.40625,149561/256,584.22265625,149561/32,4673.78125,149561/16128,9.273375496031746031746031746031746031746031746031746031746031746031746031746031746031746031746031746,13/2016,0.006448412698412698412698412698412698412698412698412698412698412698412698412698412698412698412698412698,True,True,True,effective_element_quotient
64,90,154,64p+90n+64e,593.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4747.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,26,13/32,0.40625,56975/96,593.4895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,56975/12,4747.916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,56975/6144,9.273274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,13/2048,0.00634765625,True,True,True,effective_element_quotient
65,92,157,65p+92n+65e,602.7721354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,4822.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,27,27/64,0.421875,462929/768,602.7721354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,462929/96,4822.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,462929/49920,9.273417467948717948717948717948717948717948717948717948717948717948717948717948717948717948717948718,27/4160,0.006490384615384615384615384615384615384615384615384615384615384615384615384615384615384615384615384615,True,True,True,effective_element_quotient
66,93,159,66p+93n+66e,612.0390624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,4896.312499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,27,27/64,0.421875,78341/128,612.0390625,78341/16,4896.3125,78341/8448,9.273319128787878787878787878787878787878787878787878787878787878787878787878787878787878787878787879,9/1408,0.006392045454545454545454545454545454545454545454545454545454545454545454545454545454545454545454545455,True,True,True,effective_element_quotient
67,94,161,67p+94n+67e,621.3059895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,4970.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,27,27/64,0.421875,477163/768,621.3059895833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,477163/96,4970.447916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,477163/51456,9.273223725124378109452736318407960199004975124378109452736318407960199004975124378109452736318407960,27/4288,0.006296641791044776119402985074626865671641791044776119402985074626865671641791044776119402985074626866,True,True,True,effective_element_quotient
68,96,164,68p+96n+68e,630.5885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,5044.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333332,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,28,7/16,0.4375,121073/192,630.5885416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,121073/24,5044.708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,121073/13056,9.273360906862745098039215686274509803921568627450980392156862745098039215686274509803921568627450980,7/1088,0.006433823529411764705882352941176470588235294117647058823529411764705882352941176470588235294117647059,True,True,True,effective_element_quotient
69,97,166,69p+97n+69e,639.8554687499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5118.843749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,28,7/16,0.4375,163803/256,639.85546875,163803/32,5118.84375,54601/5888,9.273267663043478260869565217391304347826086956521739130434782608695652173913043478260869565217391304,7/1104,0.006340579710144927536231884057971014492753623188405797101449275362318840579710144927536231884057971014,True,True,True,effective_element_quotient
70,99,169,70p+99n+70e,649.1380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5193.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,29,29/64,0.453125,249269/384,649.1380208333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,249269/48,5193.104166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,249269/26880,9.273400297619047619047619047619047619047619047619047619047619047619047619047619047619047619047619048,29/4480,0.006473214285714285714285714285714285714285714285714285714285714285714285714285714285714285714285714286,True,True,True,effective_element_quotient
71,100,171,71p+100n+71e,658.4049479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5267.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,29,29/64,0.453125,505655/768,658.4049479166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,505655/96,5267.239583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,505655/54528,9.273309125586854460093896713615023474178403755868544600938967136150234741784037558685446009389671362,29/4544,0.006382042253521126760563380281690140845070422535211267605633802816901408450704225352112676056338028169,True,True,True,effective_element_quotient
72,102,174,72p+102n+72e,667.6874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5341.499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,30,15/32,0.46875,10683/16,667.6875,10683/2,5341.5,1187/128,9.2734375,5/768,0.006510416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,True,True,True,effective_element_quotient
73,109,182,73p+109n+73e,677.0481770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5416.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,36,9/16,0.5625,519973/768,677.0481770833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,519973/96,5416.385416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,519973/56064,9.274632562785388127853881278538812785388127853881278538812785388127853881278538812785388127853881279,9/1168,0.007705479452054794520547945205479452054794520547945205479452054794520547945205479452054794520547945205,True,True,True,effective_element_quotient
74,111,185,74p+111n+74e,686.3307291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5490.645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,37,37/64,0.578125,263551/384,686.3307291666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,263551/48,5490.645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7123/768,9.274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/128,0.0078125,True,True,True,effective_element_quotient
75,112,187,75p+112n+75e,695.5976562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5564.781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,37,37/64,0.578125,178073/256,695.59765625,178073/32,5564.78125,178073/19200,9.274635416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,37/4800,0.007708333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,True,True,True,effective_element_quotient
76,114,190,76p+114n+76e,704.8802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5639.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,38,19/32,0.59375,135337/192,704.8802083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,135337/24,5639.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7123/768,9.274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/128,0.0078125,True,True,True,effective_element_quotient
77,115,192,77p+115n+77e,714.1471354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5713.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,38,19/32,0.59375,548465/768,714.1471354166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,548465/96,5713.177083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,548465/59136,9.274638122294372294372294372294372294372294372294372294372294372294372294372294372294372294372294372,19/2464,0.007711038961038961038961038961038961038961038961038961038961038961038961038961038961038961038961038961,True,True,True,effective_element_quotient
78,117,195,78p+117n+78e,723.4296874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,5787.437499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,39,39/64,0.609375,92599/128,723.4296875,92599/16,5787.4375,7123/768,9.274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/128,0.0078125,True,True,True,effective_element_quotient
79,118,197,79p+118n+79e,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666665,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,39,39/64,0.609375,562711/768,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,562711/96,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,562711/60672,9.274640690928270042194092827004219409282700421940928270042194092827004219409282700421940928270042194,39/5056,0.007713607594936708860759493670886075949367088607594936708860759493670886075949367088607594936708860759,True,True,True,effective_element_quotient
80,120,200,80p+120n+80e,741.9791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,5935.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,40,5/8,0.625,35615/48,741.9791666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,35615/6,5935.833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,7123/768,9.274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/128,0.0078125,True,True,True,effective_element_quotient
81,121,202,81p+121n+81e,751.2460937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6009.968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,40,5/8,0.625,192319/256,751.24609375,192319/32,6009.96875,192319/20736,9.274643132716049382716049382716049382716049382716049382716049382716049382716049382716049382716049383,5/648,0.007716049382716049382716049382716049382716049382716049382716049382716049382716049382716049382716049383,True,True,True,effective_element_quotient
82,123,205,82p+123n+82e,760.528645833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,6084.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,41,41/64,0.640625,292043/384,760.5286458333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,292043/48,6084.229166666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,7123/768,9.274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/128,0.0078125,True,True,True,effective_element_quotient
83,124,207,83p+124n+83e,769.7955729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666664,6158.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333331,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,41,41/64,0.640625,591203/768,769.7955729166666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,591203/96,6158.364583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,591203/63744,9.274645456827309236947791164658634538152610441767068273092369477911646586345381526104417670682730924,41/5312,0.007718373493975903614457831325301204819277108433734939759036144578313253012048192771084337349397590361,True,True,True,effective_element_quotient
84,126,210,84p+126n+84e,779.0781249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,6232.624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,7117/768,9.266927083333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,42,21/32,0.65625,49861/64,779.078125,49861/8,6232.625,7123/768,9.274739583333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,1/128,0.0078125,True,True,True,effective_element_quotient
