candidate_id,partition_p,lift_formula,expected_M_native_fraction,expected_M_native_decimal,observed_M_native_decimal,abs_difference,match
QP093A-0306,1,m(p) = p + p^2/R^2 with R^2=144,145/144,1.0069444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,1.006944444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,4.444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444E-100,True
QP093A-0307,2,m(p) = p + p^2/R^2 with R^2=144,73/36,2.0277777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778,2.027777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777777778,2.222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222E-100,True
QP093A-0308,3,m(p) = p + p^2/R^2 with R^2=144,49/16,3.0625,3.062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,1E-99,True
QP093A-0309,4,m(p) = p + p^2/R^2 with R^2=144,37/9,4.1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,4.111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112,8.888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888889E-100,True
QP093A-0310,6,m(p) = p + p^2/R^2 with R^2=144,25/4,6.25,6.250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002,2E-99,True
QP093A-0311,8,m(p) = p + p^2/R^2 with R^2=144,76/9,8.4444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444,8.444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444448,3.5555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555556E-99,True
QP093A-0312,9,m(p) = p + p^2/R^2 with R^2=144,153/16,9.5625,9.5625,0.0000,True
QP093A-0313,12,m(p) = p + p^2/R^2 with R^2=144,13,13,13.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0E-98,True
