event_id,class,M_total_msun,E_rad_msun_c2,f_rad,cap,margin,within_cap,near_boundary_within_0p005,source
GW150914,BBH,65.3,3.1,0.04747320061255743,0.125,0.07752679938744257,True,False,Abbott+2016 PRL 116 061102
GW151012,BBH,37.2,1.6,0.04301075268817204,0.125,0.08198924731182797,True,False,GWTC-1
GW151226,BBH,21.5,1.0,0.046511627906976744,0.125,0.07848837209302326,True,False,GWTC-1
GW170104,BBH,49.1,2.2,0.044806517311608965,0.125,0.08019348268839104,True,False,GWTC-1
GW170608,BBH,18.6,0.85,0.04569892473118279,0.125,0.07930107526881722,True,False,GWTC-1
GW170729,BBH,80.3,4.8,0.05977584059775841,0.125,0.06522415940224159,True,False,GWTC-1
GW170809,BBH,56.4,2.7,0.04787234042553192,0.125,0.07712765957446807,True,False,GWTC-1
GW170814,BBH,53.2,2.7,0.05075187969924812,0.125,0.07424812030075188,True,False,GWTC-1
GW170817,BNS,2.74,0.025,0.009124087591240875,0.125,0.11587591240875912,True,False,Abbott+2017 PRL 119 161101
GW170818,BBH,62.5,2.7,0.0432,0.125,0.0818,True,False,GWTC-1
GW170823,BBH,68.9,3.3,0.0478955007256894,0.125,0.0771044992743106,True,False,GWTC-1
GW190412,BBH-asym,37.3,1.7,0.045576407506702415,0.125,0.07942359249329758,True,False,Abbott+2020 PRD 102 043015
GW190425,BNS,3.4,0.01,0.0029411764705882353,0.125,0.12205882352941176,True,False,Abbott+2020 ApJL 892 L3
GW190521,BBH-IMBH,150.0,7.6,0.050666666666666665,0.125,0.07433333333333333,True,False,Abbott+2020 PRL 125 101102
GW190814,NSBH?,25.8,0.8,0.031007751937984496,0.125,0.0939922480620155,True,False,Abbott+2020 ApJL 896 L44
GW200115,NSBH,6.6,0.025,0.0037878787878787884,0.125,0.12121212121212122,True,False,Abbott+2021 ApJL 915 L5
