candidate_id,q_abs,M_obs_exact,qA_exact,G_exact,W_exact
QP093A-0257,6,3421113281/10000000,3421113281/9600000,3421113281/76800000,23947792967/76800000
QP093A-0024,0,3/2,3/2,3/16,21/16
QP093A-0022,12,15,65/4,65/32,455/32
QP093A-0023,12,18,39/2,39/16,273/16
QP093A-0048,0,18,18,9/4,63/4
QP093A-0046,12,180,195,195/8,1365/8
QP093A-0047,12,216,234,117/4,819/4
QP093A-0285,6,3418886719/10000000,3418886719/9600000,3418886719/76800000,23932207033/76800000
QP093A-0278,4,1979331597/5000000,8137252121/20000000,8137252121/160000000,56960764847/160000000
QP093A-0271,0,387,387,387/8,2709/8
QP093A-0200,1,1152,1160,145,1015
QP093A-0155,2,1512,1533,1533/8,10731/8
QP093A-0265,5,4471239511/10000000,666214687139/1440000000,666214687139/11520000000,4663502809973/11520000000
QP093A-0286,5,4468760489/10000000,665845312861/1440000000,665845312861/11520000000,4660917190027/11520000000
QP093A-0272,2,1455350839/2500000,106240611247/180000000,106240611247/1440000000,743684278729/1440000000
QP093A-0279,2,1454649161/2500000,106189388753/180000000,106189388753/1440000000,743325721271/1440000000
QP093A-0142,3,5454,44541/8,44541/64,311787/64
QP093A-0190,3,4374,35721/8,35721/64,250047/64
QP093A-0273,3,6571188151/10000000,321988219399/480000000,321988219399/3840000000,2253917535793/3840000000
QP093A-0287,3,6568811849/10000000,321871780601/480000000,321871780601/3840000000,2253102464207/3840000000
QP093A-0187,1,2136,12905/6,12905/48,90335/48
QP093A-0280,0,688,688,86,602
QP093A-0281,1,4335365849/5000000,125725609621/144000000,125725609621/1152000000,880079267347/1152000000
QP093A-0288,1,4334634151/5000000,125704390379/144000000,125704390379/1152000000,879930732653/1152000000
QP093A-0173,4,7524,7733,7733/8,54131/8
QP093A-0289,0,14175/16,14175/16,14175/128,99225/128
QP093A-0225,2,4032,4088,511,3577
