bin_index,label,ell_center,X_data,X_sig,X_model,residual,residual_over_sigma
0,deep_TT_00,600.5,0.04356246079851873,0.003097388604616046,0.03908451472866639,0.004477946069852336,1.445716583052847
1,deep_TT_01,650.5,0.02902848423134536,0.002113758426140405,0.027691366347409208,0.0013371178839361522,0.6325783814272705
2,deep_TT_02,700.5,0.02358085227998905,0.001849143978300684,0.024078503422263024,-0.0004976511422739756,-0.26912514553426187
3,deep_TT_03,750.5,0.02645376878473908,0.00171632564203634,0.02513414297475778,0.0013196258099812987,0.7688668033972996
4,deep_TT_04,800.5,0.02555434317405336,0.001600040185928668,0.025061234640529378,0.000493108533523981,0.30818509301238545
5,deep_TT_05,850.5,0.0206249251190573,0.001292419129075322,0.02108506195204297,-0.0004601368329856699,-0.3560275630668518
6,deep_TT_06,900.5,0.01561550275898073,0.0009376190909881905,0.014778512512190181,0.0008369902467905491,0.8926761995731283
7,deep_TT_07,950.5,0.009425219955919311,0.0006033349863007398,0.009351312853213643,7.390710270566841e-05,0.12249762467583555
8,deep_TT_08,1000.5,0.005678406051513739,0.0004197897329053358,0.006665010575305996,-0.0009866045237922573,-2.3502350020902973
9,deep_TT_09,1050.5,0.006166804440638516,0.0003684784326514345,0.006237252342890306,-7.044790225179016e-05,-0.19118595827949308
10,deep_TT_10,1100.5,0.006550000721917022,0.0003544462465800603,0.006363896339917773,0.00018610438199924938,0.525056715355041
11,deep_TT_11,1150.5,0.005838208539334592,0.0003159456444785315,0.00582180589939217,1.6402639942421533e-05,0.05191601855912305
12,deep_TT_12,1200.5,0.004039759014162701,0.0002523484235768081,0.004585262287454457,-0.0005455032732917557,-2.1617066814198624
13,deep_TT_13,1250.5,0.003483902697684243,0.0001887162511212055,0.0033581461725134248,0.00012575652517081816,0.6663788858864591
14,deep_TT_14,1300.5,0.002574357404006296,0.0001428069892649051,0.0027039568603146693,-0.00012959945630837324,-0.9075148000492326
15,deep_TT_15,1350.5,0.002733601502657402,0.0001365691484208952,0.0025979610229766308,0.00013564047968077104,0.9932000107574658
16,deep_TT_16,1400.5,0.002742778968466446,0.0001350850517766498,0.0026175841050312437,0.00012519486343520216,0.9267854717352434
17,deep_TT_17,1450.5,0.002296885475547169,0.0001172619498401234,0.002402546827742322,-0.00010566135219515277,-0.901071083494799
18,deep_TT_18,1500.5,0.002009061138723046,9.329516036311151e-05,0.0019209112070044817,8.814993171856432e-05,0.9448499940991409
19,deep_TT_19,1550.5,0.001223593263196235,7.101467826526701e-05,0.0013927974061415124,-0.00016920414294527742,-2.382664360081097
20,deep_TT_20,1600.5,0.001178693684496102,5.262267137282039e-05,0.0010356683027532123,0.00014302538174288965,2.71794224830559
21,deep_TT_21,1650.5,0.0009339160880009877,4.518018071939257e-05,0.0008946452119477999,3.927087605318778e-05,0.8692058205143842
22,deep_TT_22,1700.5,0.0008224250808983925,4.193511678863616e-05,0.0008622993456034097,-3.98742647050172e-05,-0.9508561739792883
23,deep_TT_23,1750.5,0.0008099230241045007,3.816806860302576e-05,0.0008100206063571409,-9.75822526402088e-08,-0.002556646333225072
