test,verdict,primary_high_l_delta_chi2_per_point,wrong_control_high_l_delta_chi2_per_point,primary_tt_peak_mean_abs_amp_frac,primary_ee_peak_mean_abs_amp_frac,primary_delta_chi2_per_point,omega_b_h2_primary,eta10_primary
G379,G379_PASS_SAM_CMB_PARAMETER_CARD_FROZEN,,,,,,,
G380,G380_PASS_FIXED_BACKGROUND_CMB_SPECTRUM_SMOKE,,,,,,,
G381,G381_PASS_PLANCK_LITE_DIAGONAL_CONTACT,0.0008836165765404745,1.472411841957094,,,,,
G382,G382_PASS_RESIDUALS_LOCALIZED_PRIMARY_STABLE,,,0.0015698796382597052,0.0019127289321981286,,,
G383,G383_PASS_GROSS_WRONG_CONTROLS__BOUNDARY_MATTER_RESPONSE_SELECTOR_OPEN,,,,,0.0008836165765404745,,
G384,TOE_G22B_PASS_CONDITIONAL_IMPORTED_PERTURBATION_SPECTRUM__MATTER_RESPONSE_SELECTOR_OPEN,,,,,,,
G396,G396_PASS_TOE_G23_SCOPED_BBN_COMPATIBILITY__PRECISION_LIGHT_ELEMENTS_OPEN,,,,,,0.022368783502886305,6.126809801440558
