body,mass_kg,r_s_m,landmark,r_m,r_over_rs,A,target_A,absolute_error
Earth,5.9722e+24,0.0088701028718461,horizon,0.0088701028718461,1.0,1.0,1.0,0.0
Earth,5.9722e+24,0.0088701028718461,photon_sphere,0.01330515430776915,1.5,0.6666666666666666,0.6666666666666666,0.0
Earth,5.9722e+24,0.0088701028718461,isco,0.0266103086155383,3.0,0.3333333333333333,0.3333333333333333,0.0
Sun,1.98847e+30,2953.3393820668784,horizon,2953.3393820668784,1.0,1.0,1.0,0.0
Sun,1.98847e+30,2953.3393820668784,photon_sphere,4430.009073100317,1.5,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16
Sun,1.98847e+30,2953.3393820668784,isco,8860.018146200635,3.0,0.33333333333333337,0.3333333333333333,5.551115123125783e-17
10_solar_mass,1.98847e+31,29533.393820668785,horizon,29533.393820668785,1.0,1.0,1.0,0.0
10_solar_mass,1.98847e+31,29533.393820668785,photon_sphere,44300.090731003176,1.5,0.6666666666666667,0.6666666666666666,1.1102230246251565e-16
10_solar_mass,1.98847e+31,29533.393820668785,isco,88600.18146200635,3.0,0.33333333333333337,0.3333333333333333,5.551115123125783e-17
