candidate,landmark,A,lapse,redshift,exact_redshift,relative_to_exact,closed
sam_sqrt_lapse_log_road,isco,0.3333333333333333,0.816496580927726,0.22474487139158894,0.22474487139158894,0.0,False
sam_sqrt_lapse_log_road,photon_sphere,0.6666666666666666,0.5773502691896258,0.732050807568877,0.732050807568877,0.0,False
sam_sqrt_lapse_log_road,horizon,1.0,0.0,Infinity,Infinity,0.0,True
wrong_weak_linear_clock,isco,0.3333333333333333,0.8333333333333334,0.19999999999999996,0.22474487139158894,0.11010205144336414,False
wrong_weak_linear_clock,photon_sphere,0.6666666666666666,0.6666666666666667,0.4999999999999998,0.732050807568877,0.3169872981077807,False
wrong_weak_linear_clock,horizon,1.0,0.5,1.0,Infinity,Infinity,False
wrong_flat_clock,isco,0.3333333333333333,1.0,0.0,0.22474487139158894,1.0,False
wrong_flat_clock,photon_sphere,0.6666666666666666,1.0,0.0,0.732050807568877,1.0,False
wrong_flat_clock,horizon,1.0,1.0,0.0,Infinity,Infinity,False
wrong_shift_photon_closure,isco,0.3333333333333333,0.7071067811865476,0.4142135623730949,0.22474487139158894,0.8430389971007669,False
wrong_shift_photon_closure,photon_sphere,0.6666666666666666,0.0,Infinity,0.732050807568877,Infinity,True
wrong_shift_photon_closure,horizon,1.0,0.0,Infinity,Infinity,0.0,True
wrong_shift_isco_closure,isco,0.3333333333333333,0.0,Infinity,0.22474487139158894,Infinity,True
wrong_shift_isco_closure,photon_sphere,0.6666666666666666,0.0,Infinity,0.732050807568877,Infinity,True
wrong_shift_isco_closure,horizon,1.0,0.0,Infinity,Infinity,0.0,True
wrong_finite_horizon_cap,isco,0.3333333333333333,0.816496580927726,0.22474487139158894,0.22474487139158894,0.0,False
wrong_finite_horizon_cap,photon_sphere,0.6666666666666666,0.5773502691896258,0.732050807568877,0.732050807568877,0.0,False
wrong_finite_horizon_cap,horizon,1.0,0.0,1000.0,Infinity,Infinity,True
wrong_no_road_stretch,isco,0.3333333333333333,0.816496580927726,0.22474487139158894,0.22474487139158894,0.0,False
wrong_no_road_stretch,photon_sphere,0.6666666666666666,0.5773502691896258,0.732050807568877,0.732050807568877,0.0,False
wrong_no_road_stretch,horizon,1.0,0.0,Infinity,Infinity,0.0,True
