ledger_slot,kind,w9_block,w9_role,w9_coordinate,k18_offset,k18_role,microcycle_q,residue_r,dimension,side,fiber_residue,fiber_j,ternary_coordinate,ternary_rank,route_parity_0,route_parity_1
53,matter,2,oriented_face,"[-1,1,-1]",17,point,2,5,2,1,5,8,"[-1,1,1]",3,5,11
54,matter,3,oriented_face,"[1,1,-1]",0,edge,0,0,0,0,0,9,"[0,-1,-1]",2,6,0
55,matter,3,oriented_face,"[1,1,-1]",1,edge,0,1,1,1,1,9,"[0,-1,-1]",2,7,1
56,matter,3,oriented_face,"[1,1,-1]",2,edge,0,2,2,0,2,9,"[0,-1,-1]",2,8,2
57,matter,3,oriented_face,"[1,1,-1]",3,edge,0,3,0,1,3,9,"[0,-1,-1]",2,9,3
58,matter,3,oriented_face,"[1,1,-1]",4,edge,0,4,1,0,4,9,"[0,-1,-1]",2,10,4
59,matter,3,oriented_face,"[1,1,-1]",5,edge,0,5,2,1,5,9,"[0,-1,-1]",2,11,5
60,matter,3,oriented_face,"[1,1,-1]",6,edge,1,0,0,0,0,10,"[0,-1,0]",1,0,6
61,matter,3,oriented_face,"[1,1,-1]",7,edge,1,1,1,1,1,10,"[0,-1,0]",1,1,7
62,matter,3,oriented_face,"[1,1,-1]",8,edge,1,2,2,0,2,10,"[0,-1,0]",1,2,8
63,matter,3,oriented_face,"[1,1,-1]",9,edge,1,3,0,1,3,10,"[0,-1,0]",1,3,9
64,matter,3,oriented_face,"[1,1,-1]",10,edge,1,4,1,0,4,10,"[0,-1,0]",1,4,10
65,matter,3,oriented_face,"[1,1,-1]",11,edge,1,5,2,1,5,10,"[0,-1,0]",1,5,11
66,matter,3,oriented_face,"[1,1,-1]",12,point,2,0,0,0,0,11,"[0,-1,1]",2,6,0
67,matter,3,oriented_face,"[1,1,-1]",13,point,2,1,1,1,1,11,"[0,-1,1]",2,7,1
68,matter,3,oriented_face,"[1,1,-1]",14,point,2,2,2,0,2,11,"[0,-1,1]",2,8,2
69,matter,3,oriented_face,"[1,1,-1]",15,point,2,3,0,1,3,11,"[0,-1,1]",2,9,3
70,matter,3,oriented_face,"[1,1,-1]",16,point,2,4,1,0,4,11,"[0,-1,1]",2,10,4
71,matter,3,oriented_face,"[1,1,-1]",17,point,2,5,2,1,5,11,"[0,-1,1]",2,11,5
72,matter,4,oriented_face,"[-1,-1,1]",0,edge,0,0,0,0,0,12,"[0,0,-1]",1,0,6
73,matter,4,oriented_face,"[-1,-1,1]",1,edge,0,1,1,1,1,12,"[0,0,-1]",1,1,7
74,matter,4,oriented_face,"[-1,-1,1]",2,edge,0,2,2,0,2,12,"[0,0,-1]",1,2,8
75,matter,4,oriented_face,"[-1,-1,1]",3,edge,0,3,0,1,3,12,"[0,0,-1]",1,3,9
76,matter,4,oriented_face,"[-1,-1,1]",4,edge,0,4,1,0,4,12,"[0,0,-1]",1,4,10
