permutation_id,permutation,dimension_preserving,side_flipping,both_typed_constraints,involutive,is_frozen_candidate
0,"[0,1,2,3,4,5]",True,False,False,True,False
1,"[0,1,2,3,5,4]",False,False,False,True,False
2,"[0,1,2,4,3,5]",False,False,False,True,False
3,"[0,1,2,4,5,3]",False,False,False,False,False
4,"[0,1,2,5,3,4]",False,False,False,False,False
5,"[0,1,2,5,4,3]",False,False,False,True,False
6,"[0,1,3,2,4,5]",False,False,False,True,False
7,"[0,1,3,2,5,4]",False,False,False,True,False
8,"[0,1,3,4,2,5]",False,False,False,False,False
9,"[0,1,3,4,5,2]",False,False,False,False,False
10,"[0,1,3,5,2,4]",False,False,False,False,False
11,"[0,1,3,5,4,2]",False,False,False,False,False
12,"[0,1,4,2,3,5]",False,False,False,False,False
13,"[0,1,4,2,5,3]",False,False,False,False,False
14,"[0,1,4,3,2,5]",False,False,False,True,False
15,"[0,1,4,3,5,2]",False,False,False,False,False
16,"[0,1,4,5,2,3]",False,False,False,True,False
17,"[0,1,4,5,3,2]",False,False,False,False,False
18,"[0,1,5,2,3,4]",False,False,False,False,False
19,"[0,1,5,2,4,3]",False,False,False,False,False
20,"[0,1,5,3,2,4]",False,False,False,False,False
21,"[0,1,5,3,4,2]",True,False,False,True,False
22,"[0,1,5,4,2,3]",False,False,False,False,False
23,"[0,1,5,4,3,2]",False,False,False,True,False
24,"[0,2,1,3,4,5]",False,False,False,True,False
25,"[0,2,1,3,5,4]",False,False,False,True,False
26,"[0,2,1,4,3,5]",False,False,False,True,False
27,"[0,2,1,4,5,3]",False,False,False,False,False
28,"[0,2,1,5,3,4]",False,False,False,False,False
29,"[0,2,1,5,4,3]",False,False,False,True,False
30,"[0,2,3,1,4,5]",False,False,False,False,False
31,"[0,2,3,1,5,4]",False,False,False,False,False
32,"[0,2,3,4,1,5]",False,False,False,False,False
33,"[0,2,3,4,5,1]",False,False,False,False,False
34,"[0,2,3,5,1,4]",False,False,False,False,False
35,"[0,2,3,5,4,1]",False,False,False,False,False
36,"[0,2,4,1,3,5]",False,False,False,False,False
37,"[0,2,4,1,5,3]",False,False,False,False,False
38,"[0,2,4,3,1,5]",False,False,False,False,False
39,"[0,2,4,3,5,1]",False,False,False,False,False
40,"[0,2,4,5,1,3]",False,False,False,False,False
41,"[0,2,4,5,3,1]",False,False,False,False,False
42,"[0,2,5,1,3,4]",False,False,False,False,False
43,"[0,2,5,1,4,3]",False,False,False,False,False
44,"[0,2,5,3,1,4]",False,False,False,False,False
45,"[0,2,5,3,4,1]",False,False,False,False,False
46,"[0,2,5,4,1,3]",False,False,False,False,False
47,"[0,2,5,4,3,1]",False,False,False,False,False
48,"[0,3,1,2,4,5]",False,False,False,False,False
49,"[0,3,1,2,5,4]",False,False,False,False,False
50,"[0,3,1,4,2,5]",False,False,False,False,False
51,"[0,3,1,4,5,2]",False,False,False,False,False
52,"[0,3,1,5,2,4]",False,False,False,False,False
53,"[0,3,1,5,4,2]",False,False,False,False,False
54,"[0,3,2,1,4,5]",False,False,False,True,False
55,"[0,3,2,1,5,4]",False,False,False,True,False
56,"[0,3,2,4,1,5]",False,False,False,False,False
57,"[0,3,2,4,5,1]",False,False,False,False,False
58,"[0,3,2,5,1,4]",False,False,False,False,False
59,"[0,3,2,5,4,1]",False,False,False,False,False
60,"[0,3,4,1,2,5]",False,False,False,True,False
61,"[0,3,4,1,5,2]",False,False,False,False,False
62,"[0,3,4,2,1,5]",False,False,False,False,False
63,"[0,3,4,2,5,1]",False,False,False,False,False
64,"[0,3,4,5,1,2]",False,False,False,False,False
65,"[0,3,4,5,2,1]",False,False,False,False,False
66,"[0,3,5,1,2,4]",False,False,False,False,False
67,"[0,3,5,1,4,2]",False,False,False,True,False
68,"[0,3,5,2,1,4]",False,False,False,False,False
69,"[0,3,5,2,4,1]",False,False,False,False,False
